,nlayers,valAccuracy,dropoutFn,layerForm,learningrate,activationFn,testAccuracy,nstart,dR
65,4,0.8924528539180756,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8947368860244751,1024,0.5
66,4,0.8792453169822695,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8872179985046387,256,0.0
67,4,0.8679245710372927,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8270676732063293,256,0.5
68,4,0.8867924809455873,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8872181177139282,512,0.0
69,4,0.8679245710372927,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8571428656578064,512,0.5
70,4,0.8867924809455873,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.902255654335022,1024,0.0
71,4,0.8679245710372927,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8496240377426147,1024,0.5
72,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.0
73,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,256,0.5
74,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,512,0.0
75,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,512,0.5
76,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,1024,0.0
77,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,1024,0.5
78,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.0
79,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.5
80,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,512,0.0
81,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,512,0.5
82,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.0
83,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.5
84,8,0.8943396449089052,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9097744226455688,256,0.0
85,8,0.6320754885673523,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.6390976905822754,256,0.5
86,8,0.2792452856898308,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,512,0.0
87,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,512,0.5
88,8,0.205660380423069,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,1024,0.0
89,8,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,1024,0.5
90,8,0.9245283007621764,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8796992301940918,256,0.0
91,8,0.7679245710372924,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.7894736528396606,256,0.5
92,8,0.9245283007621764,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.902255654335022,512,0.0
93,8,0.8301886916160583,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8270677328109741,512,0.5
94,8,0.9113207638263703,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.902255654335022,1024,0.0
95,8,0.8301886916160583,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.834586501121521,1024,0.5
96,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.0
97,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,256,0.5
98,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,512,0.0
99,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,512,0.5
100,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,1024,0.0
101,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,1024,0.5
102,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,256,0.0
103,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.5
104,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,512,0.0
105,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,512,0.5
106,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,1024,0.0
107,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.5
108,16,0.1754717007279396,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,256,0.0
109,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,256,0.5
110,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,512,0.0
111,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,512,0.5
112,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,1024,0.0
113,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.16541354358196259,1024,0.5
114,16,0.9377358734607697,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8947368860244751,256,0.0
115,16,0.05094339698553085,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.04511278122663498,256,0.5
116,16,0.9301886737346649,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8796992301940918,512,0.0
117,16,0.49056604206562043,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.4135338366031647,512,0.5
118,16,0.922641509771347,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.902255654335022,1024,0.0
119,16,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.1654135286808014,1024,0.5
120,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.0
121,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.5
122,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,512,0.0
123,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,512,0.5
124,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,1024,0.0
125,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,1024,0.5
126,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,256,0.0
127,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.5
128,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,512,0.0
129,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,512,0.5
130,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.0
131,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,1024,0.5
132,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,256,0.0
133,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.16541354358196259,256,0.5
134,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,512,0.0
135,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,512,0.5
136,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.1654135286808014,1024,0.0
137,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.16541354358196259,1024,0.5
138,32,0.9056603908538818,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8872179985046387,256,0.0
139,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.1654135286808014,256,0.5
140,32,0.9075471818447114,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8421052694320679,512,0.0
141,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.1654135286808014,512,0.5
142,32,0.9000000178813935,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8796992301940918,1024,0.0
143,32,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.16541354358196259,1024,0.5
