,nstart,activationFn,nlayers,layerForm,valAccuracy,learningrate,dR,dropoutFn,testAccuracy
26,256,3,8,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
27,256,3,8,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
28,256,3,8,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
29,256,3,8,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
30,256,3,8,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
31,256,3,8,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
32,256,3,16,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
33,256,3,16,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
34,256,3,16,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
35,256,3,16,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
36,256,3,16,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
37,256,3,16,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
38,256,3,16,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,1.0
39,256,3,16,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
40,256,3,32,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
41,256,3,32,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
42,256,3,32,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
43,256,3,32,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
44,256,3,32,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
45,256,3,32,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
46,256,3,32,rect,0.85,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.25
47,256,3,32,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
48,512,3,2,rect,0.1,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.25
49,512,3,2,rect,0.1,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.25
50,512,3,2,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.25
51,512,3,2,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
52,512,3,2,rect,0.9999999999999999,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
53,512,3,2,rect,0.1,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
54,512,3,2,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
55,512,3,2,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.5
56,512,3,3,rect,0.1,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.25
57,512,3,3,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
58,512,3,3,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
59,512,3,3,rect,0.1,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.25
60,512,3,3,rect,0.15000000000000002,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.5
61,512,3,3,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
62,512,3,3,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
63,512,3,3,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
64,512,3,4,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
65,512,3,4,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
66,512,3,4,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
67,512,3,4,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
68,512,3,4,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
69,512,3,4,rect,0.1,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.25
70,512,3,4,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.5
71,512,3,4,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
72,512,3,8,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
73,512,3,8,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
74,512,3,8,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
75,512,3,8,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
76,512,3,8,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
77,512,3,8,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
78,512,3,8,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
79,512,3,8,rect,0.1,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
80,512,3,16,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
81,512,3,16,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
82,512,3,16,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
83,512,3,16,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
84,512,3,16,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
85,512,3,16,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
86,512,3,16,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
87,512,3,16,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
88,512,3,32,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
89,512,3,32,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
90,512,3,32,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
91,512,3,32,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
92,512,3,32,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
93,512,3,32,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
94,512,3,32,rect,0.5,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
95,512,3,32,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
96,1024,3,2,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
97,1024,3,2,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
98,1024,3,2,rect,0.1,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.25
99,1024,3,2,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
100,1024,3,2,rect,0.4,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
101,1024,3,2,rect,0.2,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.25
102,1024,3,2,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.5
103,1024,3,2,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
104,1024,3,3,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
105,1024,3,3,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
106,1024,3,3,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
107,1024,3,3,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
108,1024,3,3,rect,0.1,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.25
109,1024,3,3,rect,0.1,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.25
110,1024,3,3,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
111,1024,3,3,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,1.0
112,1024,3,4,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
113,1024,3,4,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
114,1024,3,4,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
115,1024,3,4,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
116,1024,3,4,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
117,1024,3,4,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
118,1024,3,4,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.5
119,1024,3,4,rect,0.44999999999999996,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
120,1024,3,8,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
121,1024,3,8,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
122,1024,3,8,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
123,1024,3,8,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
124,1024,3,8,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
125,1024,3,8,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
126,1024,3,8,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.5
127,1024,3,8,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
128,1024,3,16,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
129,1024,3,16,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
130,1024,3,16,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
131,1024,3,16,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
132,1024,3,16,rect,0.1,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.25
133,1024,3,16,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
134,1024,3,16,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
135,1024,3,16,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
136,1024,3,32,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
137,1024,3,32,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
138,1024,3,32,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
139,1024,3,32,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
140,1024,3,32,rect,0.0,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
141,1024,3,32,rect,0.0,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.75
142,1024,3,32,rect,0.8999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.5
143,1024,3,32,rect,0.0,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
