,activationFn,nlayers,dR,learningrate,dropoutFn,nstart,valAccuracy,layerForm,testAccuracy
43,3,3,0.5,0.1,<function dropout at 0x7f2106835a60>,512,0.751612889766693,rect,0.7402597069740295
44,3,3,0.5,0.1,<function dropout at 0x7f2106835a60>,1024,0.7612903118133545,rect,0.7142857313156128
45,3,3,0.5,0.01,<function dropout at 0x7f2106835a60>,256,0.8161290049552916,rect,0.7922077775001526
46,3,3,0.5,0.01,<function dropout at 0x7f2106835a60>,512,0.7483870983123778,rect,0.8051947951316833
47,3,3,0.5,0.01,<function dropout at 0x7f2106835a60>,1024,0.7354838609695434,rect,0.8181818127632141
48,3,4,0.0,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
49,3,4,0.0,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
50,3,4,0.0,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
51,3,4,0.0,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
52,3,4,0.0,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
53,3,4,0.0,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
54,3,4,0.0,0.1,<function dropout at 0x7f2106835a60>,256,0.8032257795333861,rect,0.8051947951316833
55,3,4,0.0,0.1,<function dropout at 0x7f2106835a60>,512,0.8129031956195832,rect,0.8051947951316833
56,3,4,0.0,0.1,<function dropout at 0x7f2106835a60>,1024,0.3322580605745316,rect,0.19480520486831665
57,3,4,0.0,0.01,<function dropout at 0x7f2106835a60>,256,0.7580644965171813,rect,0.8181818127632141
58,3,4,0.0,0.01,<function dropout at 0x7f2106835a60>,512,0.7483870863914489,rect,0.8181818127632141
59,3,4,0.0,0.01,<function dropout at 0x7f2106835a60>,1024,0.796774160861969,rect,0.7922077775001526
60,3,4,0.5,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
61,3,4,0.5,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
62,3,4,0.5,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
63,3,4,0.5,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
64,3,4,0.5,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
65,3,4,0.5,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
66,3,4,0.5,0.1,<function dropout at 0x7f2106835a60>,256,0.7903225541114806,rect,0.8181818127632141
67,3,4,0.5,0.1,<function dropout at 0x7f2106835a60>,512,0.7709677159786225,rect,0.8051947951316833
68,3,4,0.5,0.1,<function dropout at 0x7f2106835a60>,1024,0.2645161211490631,rect,0.19480520486831665
69,3,4,0.5,0.01,<function dropout at 0x7f2106835a60>,256,0.7967741489410399,rect,0.7792207598686218
70,3,4,0.5,0.01,<function dropout at 0x7f2106835a60>,512,0.751612901687622,rect,0.8051947951316833
71,3,4,0.5,0.01,<function dropout at 0x7f2106835a60>,1024,0.7451612949371337,rect,0.8311688303947449
72,3,8,0.0,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
73,3,8,0.0,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
74,3,8,0.0,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
75,3,8,0.0,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
76,3,8,0.0,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
77,3,8,0.0,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
78,3,8,0.0,0.1,<function dropout at 0x7f2106835a60>,256,0.7838709414005279,rect,0.8441558480262756
79,3,8,0.0,0.1,<function dropout at 0x7f2106835a60>,512,0.27419354021549225,rect,0.19480520486831665
80,3,8,0.0,0.1,<function dropout at 0x7f2106835a60>,1024,0.2612903147935867,rect,0.19480520486831665
81,3,8,0.0,0.01,<function dropout at 0x7f2106835a60>,256,0.7709677219390868,rect,0.8181818127632141
82,3,8,0.0,0.01,<function dropout at 0x7f2106835a60>,512,0.7870967388153076,rect,0.8051947951316833
83,3,8,0.0,0.01,<function dropout at 0x7f2106835a60>,1024,0.7806451320648192,rect,0.7922077775001526
84,3,8,0.5,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
85,3,8,0.5,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
86,3,8,0.5,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
87,3,8,0.5,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
88,3,8,0.5,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
89,3,8,0.5,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
90,3,8,0.5,0.1,<function dropout at 0x7f2106835a60>,256,0.2774193465709687,rect,0.19480520486831665
91,3,8,0.5,0.1,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
92,3,8,0.5,0.1,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
93,3,8,0.5,0.01,<function dropout at 0x7f2106835a60>,256,0.6967741727828979,rect,0.7402597665786743
94,3,8,0.5,0.01,<function dropout at 0x7f2106835a60>,512,0.7322580456733703,rect,0.7532467246055603
95,3,8,0.5,0.01,<function dropout at 0x7f2106835a60>,1024,0.7806451320648192,rect,0.7792207598686218
96,3,16,0.0,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
97,3,16,0.0,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
98,3,16,0.0,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
99,3,16,0.0,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
100,3,16,0.0,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
101,3,16,0.0,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
102,3,16,0.0,0.1,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
103,3,16,0.0,0.1,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
104,3,16,0.0,0.1,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
105,3,16,0.0,0.01,<function dropout at 0x7f2106835a60>,256,0.7645161092281341,rect,0.8051947951316833
106,3,16,0.0,0.01,<function dropout at 0x7f2106835a60>,512,0.7806451380252837,rect,0.8441558480262756
107,3,16,0.0,0.01,<function dropout at 0x7f2106835a60>,1024,0.7806451320648192,rect,0.8311688303947449
108,3,16,0.5,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
109,3,16,0.5,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
110,3,16,0.5,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
111,3,16,0.5,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
112,3,16,0.5,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
113,3,16,0.5,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
114,3,16,0.5,0.1,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
115,3,16,0.5,0.1,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
116,3,16,0.5,0.1,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
117,3,16,0.5,0.01,<function dropout at 0x7f2106835a60>,256,0.4387096643447876,rect,0.4675324559211731
118,3,16,0.5,0.01,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
119,3,16,0.5,0.01,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
120,3,32,0.0,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
121,3,32,0.0,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
122,3,32,0.0,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
123,3,32,0.0,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
124,3,32,0.0,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
125,3,32,0.0,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
126,3,32,0.0,0.1,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
127,3,32,0.0,0.1,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
128,3,32,0.0,0.1,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
129,3,32,0.0,0.01,<function dropout at 0x7f2106835a60>,256,0.7709677219390868,rect,0.8051947951316833
130,3,32,0.0,0.01,<function dropout at 0x7f2106835a60>,512,0.7516128957271575,rect,0.8571428656578064
131,3,32,0.0,0.01,<function dropout at 0x7f2106835a60>,1024,0.7387096643447876,rect,0.8181818127632141
132,3,32,0.5,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
133,3,32,0.5,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
134,3,32,0.5,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
135,3,32,0.5,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
136,3,32,0.5,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
137,3,32,0.5,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
138,3,32,0.5,0.1,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
139,3,32,0.5,0.1,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
140,3,32,0.5,0.1,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
141,3,32,0.5,0.01,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
142,3,32,0.5,0.01,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
143,3,32,0.5,0.01,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
