,layerForm,nstart,nlayers,dR,dropoutFn,learningrate,valAccuracy,testAccuracy,activationFn
20,rect,256,4,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
21,rect,256,4,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
22,rect,256,4,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9126950919628144,0.9162266254425049,3
23,rect,256,4,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8874207437038422,0.889470636844635,3
24,rect,256,8,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
25,rect,256,8,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
26,rect,256,8,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.924245148897171,0.9267138838768005,3
27,rect,256,8,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9307197749614716,0.9299429655075073,3
28,rect,256,8,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
29,rect,256,8,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
30,rect,256,8,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9142040193080901,0.908691942691803,3
31,rect,256,8,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8889090895652771,0.8907930850982666,3
32,rect,256,16,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
33,rect,256,16,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
34,rect,256,16,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
35,rect,256,16,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9259392619132996,0.9251761436462402,3
36,rect,256,16,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060027956962585,3
37,rect,256,16,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
38,rect,256,16,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
39,rect,256,16,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.7193413972854613,0.7194002270698547,3
40,rect,256,32,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
41,rect,256,32,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
42,rect,256,32,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
43,rect,256,32,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9178528130054474,0.9133051037788391,3
44,rect,256,32,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
45,rect,256,32,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
46,rect,256,32,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.2806585133075714,0.28060024976730347,3
47,rect,256,32,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.2806585133075714,0.28060024976730347,3
48,rect,512,2,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
49,rect,512,2,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
50,rect,512,2,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9234083592891694,0.9246533513069153,3
51,rect,512,2,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9187170147895813,0.9199479222297668,3
52,rect,512,2,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
53,rect,512,2,0.5,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
54,rect,512,2,0.5,<function dropout at 0x7fd64b923a60>,0.1,0.9102739632129669,0.9105064272880554,3
55,rect,512,2,0.5,<function dropout at 0x7fd64b923a60>,0.01,0.8879694640636444,0.8889170289039612,3
56,rect,512,3,0.0,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
57,rect,512,3,0.0,<function dropout at 0x7fd64b923a60>,1.0,0.2806585133075714,0.28060024976730347,3
58,rect,512,3,0.0,<function dropout at 0x7fd64b923a60>,0.1,0.9273452699184419,0.9281592965126038,3
59,rect,512,3,0.0,<function dropout at 0x7fd64b923a60>,0.01,0.9227362155914307,0.9180718660354614,3
60,rect,512,3,0.5,<function dropout at 0x7fd64b923a60>,10.0,0.2806585133075714,0.28060024976730347,3
