,nlayers,layerForm,dR,valAccuracy,testAccuracy,activationFn,nstart,learningrate,dropoutFn
92,8,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
93,8,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
94,8,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
95,8,cone,0.5,0.4230769276618957,0.07999999821186066,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
96,16,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
97,16,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
98,16,cone,0.0,0.6923077106475829,0.6799999475479126,3,256,0.1,<function dropout at 0x7fbea79b5a60>
99,16,cone,0.0,0.6192307949066161,0.5600000023841858,3,256,0.01,<function dropout at 0x7fbea79b5a60>
100,16,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
101,16,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
102,16,cone,0.0,0.5923077464103699,0.5600000023841858,3,512,0.1,<function dropout at 0x7fbea79b5a60>
103,16,cone,0.0,0.6115384876728058,0.6000000238418579,3,512,0.01,<function dropout at 0x7fbea79b5a60>
104,16,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
105,16,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
106,16,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
107,16,cone,0.0,0.6961538672447204,0.6399999856948853,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
108,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
109,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
110,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,0.1,<function dropout at 0x7fbea79b5a60>
111,16,cone,0.5,0.43846156001090997,0.0,3,256,0.01,<function dropout at 0x7fbea79b5a60>
112,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
113,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
114,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,0.1,<function dropout at 0x7fbea79b5a60>
115,16,cone,0.5,0.2961538642644882,0.0,3,512,0.01,<function dropout at 0x7fbea79b5a60>
116,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
117,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
118,16,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
119,16,cone,0.5,0.011538461968302728,0.1599999964237213,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
120,32,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
