,nlayers,nstart,dR,activationFn,layerForm,learningrate,dropoutFn,testAccuracy,valAccuracy
27,3,256,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2623809278011322,0.8666666746139527
28,3,256,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
29,3,256,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
30,3,256,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.2914285659790039,0.8911111474037171
31,3,256,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.29571428894996643,0.8733333706855774
32,3,512,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
33,3,512,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.18444444984197617
34,3,512,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.3023809492588043,0.906666672229767
35,3,512,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2914285957813263,0.8888889551162719
36,3,512,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
37,3,512,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
38,3,512,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.2923809587955475,0.8933333873748779
39,3,512,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2928571403026581,0.8711111307144166
40,3,1024,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
41,3,1024,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
42,3,1024,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.28190475702285767,0.906666672229767
43,3,1024,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.28238096833229065,0.8888889551162719
44,3,1024,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
45,3,1024,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
46,3,1024,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.20476189255714417,0.5111111551523209
47,3,1024,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2923809587955475,0.8888889551162719
48,4,256,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
49,4,256,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
50,4,256,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.26999998092651367,0.897777819633484
51,4,256,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.28190475702285767,0.8666666746139527
52,4,256,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
53,4,256,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
54,4,256,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.29571428894996643,0.895555579662323
55,4,256,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.28904762864112854,0.8755555868148804
56,4,512,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
57,4,512,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
58,4,512,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.28142857551574707,0.906666684150696
59,4,512,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.3204761743545532,0.8844444990158081
60,4,512,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
61,4,512,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
62,4,512,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.28857141733169556,0.795555591583252
63,4,512,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.37857142090797424,0.8666666746139527
64,4,1024,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
65,4,1024,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
66,4,1024,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.3328571319580078,0.8622222661972045
67,4,1024,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.29523810744285583,0.9222222566604614
68,4,1024,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
69,4,1024,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
70,4,1024,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.22222223430871965
71,4,1024,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2928571403026581,0.8844444990158081
72,8,256,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
73,8,256,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
74,8,256,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.15714286267757416,0.9000000119209292
75,8,256,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1671428382396698,0.9222222566604614
76,8,256,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
77,8,256,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
78,8,256,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
79,8,256,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.09714286029338837,0.7111111640930176
80,8,512,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
81,8,512,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
82,8,512,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.18000000417232515
83,8,512,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.21904760599136353,0.911111116409302
84,8,512,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
85,8,512,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
86,8,512,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
87,8,512,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2800000011920929,0.6444444656372071
88,8,1024,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
89,8,1024,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
90,8,1024,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
91,8,1024,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.24904760718345642,0.906666684150696
92,8,1024,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
93,8,1024,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
94,8,1024,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
95,8,1024,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.29428571462631226,0.8288889288902284
96,16,256,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
97,16,256,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
98,16,256,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.1822222262620926
99,16,256,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.12952381372451782,0.9266667127609253
100,16,256,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
101,16,256,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
102,16,256,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
103,16,256,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1428571492433548,0.26000001877546314
104,16,512,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
105,16,512,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
106,16,512,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
107,16,512,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.142380952835083,0.9333333849906921
108,16,512,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
109,16,512,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
110,16,512,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
111,16,512,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1428571492433548,0.1288888953626156
112,16,1024,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
113,16,1024,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
114,16,1024,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
115,16,1024,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.16333331167697906,0.8844444751739504
116,16,1024,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
117,16,1024,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
118,16,1024,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
119,16,1024,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
120,32,256,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
121,32,256,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
122,32,256,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
123,32,256,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.10380952060222626,0.8733333706855775
124,32,256,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
125,32,256,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
126,32,256,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
127,32,256,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
128,32,512,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
129,32,512,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
130,32,512,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
131,32,512,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1666666567325592,0.8444445013999939
132,32,512,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
133,32,512,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
134,32,512,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
135,32,512,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
136,32,1024,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
137,32,1024,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
138,32,1024,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
139,32,1024,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.16285714507102966,0.886666715145111
140,32,1024,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
141,32,1024,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
142,32,1024,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
143,32,1024,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
