,layerForm,learningrate,nlayers,activationFn,dropoutFn,nstart,dR,testAccuracy,valAccuracy
74,rect,0.1,2,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.9230205416679382,0.9035031914710999
75,rect,0.1,2,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.8885630965232849,0.8684713304042816
76,rect,0.1,2,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.9142228960990906,0.9019108474254607
77,rect,0.1,2,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.8878299593925476,0.8778662502765656
78,rect,0.1,3,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.910557210445404,0.9062102019786834
79,rect,0.1,3,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.8687683343887329,0.8587579607963564
80,rect,0.1,3,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.9112903475761414,0.9030255258083343
81,rect,0.1,3,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.8819648623466492,0.8785031914710999
82,rect,0.1,3,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.9142228960990906,0.9007961869239808
83,rect,0.1,3,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.895894467830658,0.8761146724224093
84,rect,0.1,4,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.9090909361839294,0.8976114749908447
85,rect,0.1,4,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.8717009425163269,0.8538216531276702
86,rect,0.1,4,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.8988270163536072,0.892515915632248
87,rect,0.1,4,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.876099705696106,0.8687898218631743
88,rect,0.1,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.912756621837616,0.9006369411945343
89,rect,0.1,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.8482404947280884,0.868630588054657
90,rect,0.1,8,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.9076246619224548,0.9060509860515595
91,rect,0.1,8,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.8453079462051392,0.8356687903404235
92,rect,0.1,8,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.9061583876609802,0.8990446090698243
93,rect,0.1,8,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.7140762805938721,0.6955413937568665
94,rect,0.1,8,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.40469205379486084,0.4299363166093827
95,rect,0.1,8,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363166093827
96,rect,0.1,16,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.4299363195896149
97,rect,0.1,16,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363195896149
98,rect,0.1,16,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363195896149
