,nlayers,layerForm,dropoutFn,dR,valAccuracy,nstart,learningrate,activationFn,testAccuracy
82,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9772727489471434,1024,0.1,3,0.9913420081138611
83,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9659091234207152,1024,0.01,3,0.9913420081138611
84,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,10.0,3,0.09090909361839294
85,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,1.0,3,0.09090908616781235
86,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.18409091383218765,256,0.1,3,0.20346319675445557
87,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.18750000596046446,256,0.01,3,0.17099566757678986
88,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,10.0,3,0.09090908616781235
89,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,1.0,3,0.09090909361839294
90,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.18863636702299116,512,0.1,3,0.19480518996715546
91,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.14659091532230378,512,0.01,3,0.12987013161182404
92,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,10.0,3,0.09090909361839294
93,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,1.0,3,0.09090908616781235
94,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.1909090965986252,1024,0.1,3,0.25974026322364807
95,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.14772727116942408,1024,0.01,3,0.14718614518642426
96,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,10.0,3,0.09090909361839294
97,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,1.0,3,0.09090908616781235
98,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9772727489471434,256,0.1,3,0.9935064315795898
99,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9659091234207152,256,0.01,3,0.9870129227638245
100,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,10.0,3,0.09090909361839294
101,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,1.0,3,0.09090908616781235
102,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9568182110786437,512,0.1,3,0.9913419485092163
103,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9875000119209288,512,0.01,3,0.9978354573249817
104,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,10.0,3,0.09090908616781235
105,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,1.0,3,0.09090908616781235
106,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9613636732101439,1024,0.1,3,0.9935064315795898
107,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9772727489471434,1024,0.01,3,0.9935064315795898
108,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,10.0,3,0.09090909361839294
109,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,1.0,3,0.09090908616781235
110,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,0.1,3,0.09090909361839294
111,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07272727489471437,256,0.01,3,0.07792207598686218
112,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,10.0,3,0.09090908616781235
113,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,1.0,3,0.09090909361839294
114,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,0.1,3,0.09090909361839294
115,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.0795454539358616,512,0.01,3,0.09090908616781235
116,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,10.0,3,0.09090908616781235
117,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,1.0,3,0.09090908616781235
118,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,0.1,3,0.09090908616781235
119,16,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.126136364787817,1024,0.01,3,0.06493506580591202
120,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,10.0,3,0.09090909361839294
121,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,1.0,3,0.09090908616781235
122,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.3488636434078217,256,0.1,3,0.27272725105285645
123,32,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9386364221572875,256,0.01,3,0.9696969985961914
