,activationFn,dR,learningrate,dropoutFn,nlayers,testAccuracy,nstart,valAccuracy,layerForm
28,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,512,0.8000000119209291,rect
29,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,1024,0.8000000119209291,rect
30,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,256,0.8000000119209291,rect
31,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,512,0.8000000119209291,rect
32,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,1024,0.8000000119209291,rect
33,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,256,0.8000000119209291,rect
34,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,512,0.8000000119209291,rect
35,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,1024,0.8000000119209291,rect
36,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,256,0.860000002384186,rect
37,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,2,0.8367346525192261,512,0.8250000119209292,rect
38,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,2,0.795918345451355,1024,0.8150000154972078,rect
39,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,3,0.8367346525192261,256,0.8750000000000001,rect
40,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,3,0.7551020383834839,512,0.8250000119209291,rect
41,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,3,0.8367346525192261,1024,0.8550000190734864,rect
42,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,4,0.8367346525192261,256,0.8899999916553498,rect
43,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,4,0.795918345451355,512,0.8250000178813935,rect
44,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,4,0.795918345451355,1024,0.8550000190734864,rect
45,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,8,0.8163264989852905,256,0.8899999856948854,rect
46,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,512,0.8000000119209291,rect
47,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,1024,0.8000000119209291,rect
48,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,256,0.8000000119209291,rect
49,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,512,0.8000000119209291,rect
50,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,1024,0.8000000119209291,rect
51,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,256,0.8000000119209291,rect
52,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,512,0.8000000119209291,rect
53,3,0.0,0.1,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,1024,0.8000000119209291,rect
54,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,2,0.8367346525192261,256,0.8999999880790712,rect
55,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,2,0.8367346525192261,512,0.8400000214576723,rect
56,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,2,0.8367346525192261,1024,0.8650000035762788,rect
57,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,3,0.8163264989852905,256,0.850000023841858,rect
58,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,3,0.8163264989852905,512,0.8300000190734865,rect
59,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,3,0.8163264989852905,1024,0.8450000166893007,rect
60,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,4,0.795918345451355,256,0.9449999868869782,rect
61,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,4,0.795918345451355,512,0.8350000202655794,rect
62,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,4,0.8367346525192261,1024,0.8200000166893007,rect
63,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,8,0.8163264989852905,256,0.884999990463257,rect
64,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,8,0.795918345451355,512,0.8499999940395355,rect
65,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,8,0.8571428060531616,1024,0.8849999845027925,rect
66,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,16,0.714285671710968,256,0.949999988079071,rect
67,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,16,0.8775509595870972,512,0.850000023841858,rect
68,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,16,0.8571428656578064,1024,0.929999989271164,rect
69,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,32,0.8367346525192261,256,0.850000023841858,rect
70,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,32,0.8367346525192261,512,0.850000023841858,rect
71,3,0.0,0.01,<function dropout at 0x7f720a9fda60>,32,0.8163264989852905,1024,0.8999999761581422,rect
72,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,256,0.8000000119209291,rect
73,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,512,0.8000000119209291,rect
74,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,1024,0.8000000119209291,rect
75,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,256,0.8000000119209291,rect
76,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,512,0.8000000119209291,rect
77,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,1024,0.8000000119209291,rect
78,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,256,0.8000000119209291,rect
79,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,512,0.8000000119209291,rect
80,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,1024,0.8000000119209291,rect
81,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,256,0.8000000119209291,rect
82,3,0.5,10.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,512,0.8000000119209291,rect
