,activationFn,nlayers,layerForm,learningrate,dropoutFn,valAccuracy,dR,nstart,testAccuracy
27,3,3,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
28,3,3,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
29,3,3,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
30,3,3,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
31,3,3,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
32,3,3,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
33,3,3,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
34,3,3,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
35,3,3,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
36,3,3,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5900000214576722,0.0,256,0.6363636255264282
37,3,3,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.6300000309944153,0.0,512,0.6363636255264282
38,3,3,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5200000166893006,0.0,1024,0.5909091234207153
39,3,3,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
40,3,3,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
41,3,3,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
42,3,3,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.5700000166893006,0.0,256,0.7727273106575012
43,3,3,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6100000262260437,0.0,512,0.7272727489471436
44,3,3,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.5900000214576722,0.0,1024,0.6363636255264282
45,3,3,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.600000023841858,0.5,256,0.5909091234207153
46,3,3,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.5400000154972077,0.5,512,0.7272727489471436
47,3,3,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.45000000894069675,0.5,1024,0.5909091234207153
48,3,4,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
49,3,4,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
50,3,4,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
51,3,4,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
52,3,4,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
53,3,4,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
54,3,4,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
55,3,4,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
56,3,4,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
57,3,4,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
58,3,4,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
59,3,4,rect,1.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
60,3,4,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.6200000286102295,0.0,256,0.7272727489471436
61,3,4,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.5800000220537186,0.0,512,0.5
62,3,4,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.710000044107437,0.0,1024,0.7272727489471436
63,3,4,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
64,3,4,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
65,3,4,rect,0.1,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
66,3,4,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.69000004529953,0.0,256,0.7272727489471436
67,3,4,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6600000381469726,0.0,512,0.7727273106575012
68,3,4,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.6100000262260438,0.0,1024,0.6363636255264282
69,3,4,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.5100000083446503,0.5,256,0.6818181872367859
70,3,4,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.560000017285347,0.5,512,0.6363636255264282
71,3,4,rect,0.01,<function dropout at 0x7ff045a4fa60>,0.49000001847743996,0.5,1024,0.5454545617103577
72,3,8,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,256,0.7272727489471436
73,3,8,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,512,0.7272727489471436
74,3,8,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.0,1024,0.7272727489471436
75,3,8,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,256,0.7272727489471436
76,3,8,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,512,0.7272727489471436
77,3,8,rect,10.0,<function dropout at 0x7ff045a4fa60>,0.7000000476837157,0.5,1024,0.7272727489471436
