,dR,dropoutFn,nstart,valAccuracy,nlayers,activationFn,testAccuracy,learningrate,layerForm
51,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.7813953936100005,2,3,0.8333333730697632,0.01,rect
52,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,3,3,0.4523809552192688,10.0,rect
53,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,3,3,0.4523809552192688,1.0,rect
54,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.7860465526580811,3,3,0.8571428656578064,0.1,rect
55,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.8023256301879882,3,3,0.8214285969734192,0.01,rect
56,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,4,3,0.4523809552192688,10.0,rect
57,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,4,3,0.4523809552192688,1.0,rect
58,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.7767442286014556,4,3,0.8333333730697632,0.1,rect
59,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.7906977117061614,4,3,0.8095238208770752,0.01,rect
60,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,8,3,0.4523809552192688,10.0,rect
61,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,8,3,0.4523809552192688,1.0,rect
62,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,8,3,0.4523809552192688,0.1,rect
63,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.7930233001708984,8,3,0.8452381491661072,0.01,rect
64,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,16,3,0.4523809552192688,10.0,rect
65,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,16,3,0.4523809552192688,1.0,rect
66,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,16,3,0.4523809552192688,0.1,rect
67,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.753488427400589,16,3,0.8095238208770752,0.01,rect
68,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,32,3,0.4523809552192688,10.0,rect
69,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,32,3,0.4523809552192688,1.0,rect
70,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,32,3,0.4523809552192688,0.1,rect
71,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.725581443309784,32,3,0.8095238208770752,0.01,rect
72,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,2,3,0.4523809552192688,10.0,rect
73,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,2,3,0.4523809552192688,1.0,rect
74,0.5,<function dropout at 0x7f8ac4634a60>,256,0.8046512007713319,2,3,0.8571429252624512,0.1,rect
75,0.5,<function dropout at 0x7f8ac4634a60>,256,0.7860465407371521,2,3,0.8333333730697632,0.01,rect
76,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,3,3,0.4523809552192688,10.0,rect
77,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,3,3,0.4523809552192688,1.0,rect
78,0.5,<function dropout at 0x7f8ac4634a60>,256,0.8069767832756042,3,3,0.8095238208770752,0.1,rect
79,0.5,<function dropout at 0x7f8ac4634a60>,256,0.7767442047595978,3,3,0.8333333730697632,0.01,rect
80,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,4,3,0.4523809552192688,10.0,rect
81,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,4,3,0.4523809552192688,1.0,rect
82,0.5,<function dropout at 0x7f8ac4634a60>,256,0.7674419045448303,4,3,0.821428656578064,0.1,rect
83,0.5,<function dropout at 0x7f8ac4634a60>,256,0.7651163399219514,4,3,0.8333333730697632,0.01,rect
84,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,8,3,0.4523809552192688,10.0,rect
85,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,8,3,0.4523809552192688,1.0,rect
86,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,8,3,0.4523809552192688,0.1,rect
87,0.5,<function dropout at 0x7f8ac4634a60>,256,0.6790697991847993,8,3,0.8095238208770752,0.01,rect
88,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,16,3,0.4523809552192688,10.0,rect
89,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,16,3,0.4523809552192688,1.0,rect
90,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,16,3,0.4523809552192688,0.1,rect
91,0.5,<function dropout at 0x7f8ac4634a60>,256,0.3418604731559754,16,3,0.4761905074119568,0.01,rect
92,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,32,3,0.4523809552192688,10.0,rect
93,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,32,3,0.4523809552192688,1.0,rect
94,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,32,3,0.4523809552192688,0.1,rect
95,0.5,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,32,3,0.4523809552192688,0.01,rect
96,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,2,3,0.4523809552192688,10.0,rect
97,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,2,3,0.4523809552192688,1.0,rect
98,0.5,<function dropout at 0x7f8ac4634a60>,512,0.7744186520576477,2,3,0.8333333730697632,0.1,rect
99,0.5,<function dropout at 0x7f8ac4634a60>,512,0.7837209522724151,2,3,0.797619104385376,0.01,rect
100,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,3,3,0.4523809552192688,10.0,rect
101,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,3,3,0.4523809552192688,1.0,rect
102,0.5,<function dropout at 0x7f8ac4634a60>,512,0.7651163160800935,3,3,0.8333333730697632,0.1,rect
103,0.5,<function dropout at 0x7f8ac4634a60>,512,0.7813953757286072,3,3,0.821428656578064,0.01,rect
104,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,4,3,0.4523809552192688,10.0,rect
105,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,4,3,0.4523809552192688,1.0,rect
106,0.5,<function dropout at 0x7f8ac4634a60>,512,0.7139535248279572,4,3,0.8452381491661072,0.1,rect
107,0.5,<function dropout at 0x7f8ac4634a60>,512,0.8069767713546754,4,3,0.8333333730697632,0.01,rect
108,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,8,3,0.4523809552192688,10.0,rect
109,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,8,3,0.4523809552192688,1.0,rect
110,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,8,3,0.4523809552192688,0.1,rect
111,0.5,<function dropout at 0x7f8ac4634a60>,512,0.7069767832756043,8,3,0.8095238208770752,0.01,rect
112,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,16,3,0.4523809552192688,10.0,rect
113,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,16,3,0.4523809552192688,1.0,rect
114,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,16,3,0.4523809552192688,0.1,rect
115,0.5,<function dropout at 0x7f8ac4634a60>,512,0.30465116873383524,16,3,0.4761904776096344,0.01,rect
116,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,32,3,0.4523809552192688,10.0,rect
117,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,32,3,0.4523809552192688,1.0,rect
118,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,32,3,0.4523809552192688,0.1,rect
119,0.5,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,32,3,0.4523809552192688,0.01,rect
120,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,2,3,0.4523809552192688,10.0,rect
121,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,2,3,0.4523809552192688,1.0,rect
122,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.7767442107200623,2,3,0.7857142686843872,0.1,rect
123,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.790697693824768,2,3,0.8214285373687744,0.01,rect
124,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,3,3,0.4523809552192688,10.0,rect
125,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,3,3,0.4523809552192688,1.0,rect
126,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.7302326083183288,3,3,0.8095238208770752,0.1,rect
127,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.8000000417232513,3,3,0.8095238208770752,0.01,rect
128,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,4,3,0.4523809552192688,10.0,rect
129,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,4,3,0.4523809552192688,1.0,rect
130,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.40930233299732216,4,3,0.4523809552192688,0.1,rect
131,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.7860465407371521,4,3,0.8333333730697632,0.01,rect
132,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,8,3,0.4523809552192688,10.0,rect
133,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,8,3,0.4523809552192688,1.0,rect
134,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,8,3,0.4523809552192688,0.1,rect
135,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.7069767832756042,8,3,0.8452381491661072,0.01,rect
136,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,16,3,0.4523809552192688,10.0,rect
137,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,16,3,0.4523809552192688,1.0,rect
138,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,16,3,0.4523809552192688,0.1,rect
139,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,16,3,0.4523809552192688,0.01,rect
140,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,32,3,0.4523809552192688,10.0,rect
141,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,32,3,0.4523809552192688,1.0,rect
142,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,32,3,0.4523809552192688,0.1,rect
143,0.5,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,32,3,0.4523809552192688,0.01,rect
