,layerForm,valAccuracy,activationFn,nlayers,learningrate,dR,testAccuracy,dropoutFn,nstart
35,cone,0.08461538702249527,3,3,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
36,cone,0.7776923239231108,3,3,0.1,0.0,0.7240000367164612,<function dropout at 0x7f3452e45a60>,256
37,cone,0.7730769395828246,3,3,0.1,0.0,0.7200000882148743,<function dropout at 0x7f3452e45a60>,512
38,cone,0.7569230914115906,3,3,0.1,0.0,0.6759999990463257,<function dropout at 0x7f3452e45a60>,1024
39,cone,0.7907692313194274,3,3,0.1,0.5,0.7279999852180481,<function dropout at 0x7f3452e45a60>,256
40,cone,0.7715384662151336,3,3,0.1,0.5,0.7279999852180481,<function dropout at 0x7f3452e45a60>,512
41,cone,0.7761538565158843,3,3,0.1,0.5,0.7360000610351562,<function dropout at 0x7f3452e45a60>,1024
42,cone,0.784615397453308,3,3,0.01,0.0,0.7279999852180481,<function dropout at 0x7f3452e45a60>,256
43,cone,0.7715384781360626,3,3,0.01,0.0,0.7079999446868896,<function dropout at 0x7f3452e45a60>,512
44,cone,0.7646153926849365,3,3,0.01,0.0,0.7399999499320984,<function dropout at 0x7f3452e45a60>,1024
45,cone,0.7646154046058654,3,3,0.01,0.5,0.7360000014305115,<function dropout at 0x7f3452e45a60>,256
46,cone,0.7830769419670105,3,3,0.01,0.5,0.7039999961853027,<function dropout at 0x7f3452e45a60>,512
47,cone,0.7769230782985687,3,3,0.01,0.5,0.7160000205039978,<function dropout at 0x7f3452e45a60>,1024
48,cone,0.08461538702249527,3,4,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
49,cone,0.08461538702249527,3,4,10.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
50,cone,0.08461538702249527,3,4,10.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
51,cone,0.08461538702249527,3,4,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
52,cone,0.08461538702249527,3,4,10.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
53,cone,0.08461538702249527,3,4,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
54,cone,0.08615384846925736,3,4,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
55,cone,0.08461538702249527,3,4,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
56,cone,0.08461538702249527,3,4,1.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
57,cone,0.10384615808725357,3,4,1.0,0.5,0.12399999797344208,<function dropout at 0x7f3452e45a60>,256
58,cone,0.08615384846925736,3,4,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
59,cone,0.09538461863994599,3,4,1.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
60,cone,0.7546154081821442,3,4,0.1,0.0,0.7079999446868896,<function dropout at 0x7f3452e45a60>,256
61,cone,0.7761538624763488,3,4,0.1,0.0,0.7239999771118164,<function dropout at 0x7f3452e45a60>,512
62,cone,0.764615398645401,3,4,0.1,0.0,0.7199999094009399,<function dropout at 0x7f3452e45a60>,1024
63,cone,0.7769230782985687,3,4,0.1,0.5,0.7319999933242798,<function dropout at 0x7f3452e45a60>,256
64,cone,0.7730769336223603,3,4,0.1,0.5,0.7239999771118164,<function dropout at 0x7f3452e45a60>,512
65,cone,0.7730769336223602,3,4,0.1,0.5,0.7120000720024109,<function dropout at 0x7f3452e45a60>,1024
66,cone,0.7692307829856871,3,4,0.01,0.0,0.7240000367164612,<function dropout at 0x7f3452e45a60>,256
67,cone,0.7876923322677611,3,4,0.01,0.0,0.7240000367164612,<function dropout at 0x7f3452e45a60>,512
68,cone,0.7823077023029327,3,4,0.01,0.0,0.7160000205039978,<function dropout at 0x7f3452e45a60>,1024
69,cone,0.6830769538879394,3,4,0.01,0.5,0.6480000615119934,<function dropout at 0x7f3452e45a60>,256
70,cone,0.746153873205185,3,4,0.01,0.5,0.7040000557899475,<function dropout at 0x7f3452e45a60>,512
71,cone,0.7492307722568513,3,4,0.01,0.5,0.6920000314712524,<function dropout at 0x7f3452e45a60>,1024
72,cone,0.08461538702249527,3,8,10.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,256
73,cone,0.08461538702249527,3,8,10.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
74,cone,0.08461538702249527,3,8,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
75,cone,0.08461538702249527,3,8,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
76,cone,0.08461538702249527,3,8,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
