,nlayers,testAccuracy,dR,dropoutFn,activationFn,learningrate,layerForm,nstart,valAccuracy
30,3,0.7837837934494019,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.9200000643730163
31,3,0.7837838530540466,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.8000000715255738
32,3,0.8108108639717102,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.8666667342185974
33,3,0.8108108639717102,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.8000000715255738
34,3,0.8108108043670654,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.8133334040641786
35,3,0.7837837934494019,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8000000715255738
36,3,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
37,3,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
38,3,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
39,3,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.08666667118668558
40,3,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.08666667118668558
41,3,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.12000000551342967
42,3,0.8108108639717102,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.7866667389869691
43,3,0.8378378748893738,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.8666667342185974
44,3,0.8108108639717102,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.8666667342185974
45,3,0.8378378748893738,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.8200000703334809
46,3,0.7837838530540466,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.766666740179062
47,3,0.8378378748893738,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8533334016799927
48,4,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
49,4,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
50,4,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
51,4,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.12000000551342967
52,4,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.06666667014360429
53,4,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.08666667118668558
54,4,0.8648648858070374,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.7600000739097597
55,4,0.7837838530540466,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.8666667342185974
56,4,0.7567567825317383,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.7733334064483645
57,4,0.8378378748893738,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.7333334088325502
58,4,0.7837838530540466,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.7600000739097597
59,4,0.8648648858070374,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8600000679492951
60,4,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
61,4,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
62,4,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
63,4,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.06666667014360429
64,4,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.06666667014360429
65,4,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.06666667014360429
66,4,0.8108108639717102,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.7000000774860382
67,4,0.8108108639717102,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.7333334088325502
68,4,0.7837838530540466,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.7733334064483645
69,4,0.8378379344940186,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.8000000715255738
70,4,0.8378378748893738,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.746666741371155
71,4,0.8108108639717102,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.7333334088325502
72,8,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
73,8,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
74,8,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
75,8,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.12000000551342967
76,8,0.4054054319858551,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.43333335220813757
77,8,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.06666667014360429
78,8,0.8108108639717102,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.8666667342185974
79,8,0.8108108043670654,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.8666667342185974
80,8,0.8378378748893738,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.8666667342185974
81,8,0.7027027606964111,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.7333334088325502
82,8,0.8108108043670654,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.8000000715255738
83,8,0.8108108639717102,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8933333992958069
84,8,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
85,8,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
86,8,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
87,8,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.06666667014360429
88,8,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.06666667014360429
89,8,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.06666667014360429
90,8,0.5675676465034485,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.4000000178813935
91,8,0.5675676465034485,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.36666668355464943
92,8,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.10666667222976686
93,8,0.4864864945411682,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.6000000238418579
94,8,0.5945945978164673,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.2933333516120911
95,8,0.7567568421363831,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.6400000572204589
96,16,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
97,16,0.4054054319858551,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.5333333551883698
98,16,0.5675676465034485,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.43333335220813757
99,16,0.5675676465034485,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.4000000178813935
100,16,0.5675676465034485,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.26666668057441717
101,16,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.06666667014360429
102,16,0.7567567825317383,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.8666667342185974
103,16,0.8108108043670654,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.8333334028720857
104,16,0.7837837934494019,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.8666667342185974
105,16,0.6216216683387756,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.7333334088325502
106,16,0.7027027606964111,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.7533333659172057
107,16,0.8378378748893738,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8000000715255738
108,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
109,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
110,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
111,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.06666667014360429
112,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.06666667014360429
113,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.06666667014360429
114,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.06666667014360429
115,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.06666667014360429
116,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.06666667014360429
117,16,0.5675676465034485,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.2933333486318589
118,16,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.28000001162290566
119,16,0.4054054319858551,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.2533333502709866
120,32,0.4054054319858551,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.43333335220813757
121,32,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
122,32,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
123,32,0.5675676465034485,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.43333335220813757
124,32,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.06666667014360429
125,32,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.06666667014360429
126,32,0.6756756901741028,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.6866666823625563
127,32,0.5675676465034485,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.4400000274181367
128,32,0.6486486792564392,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.7400000393390654
129,32,0.8108108639717102,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.7333334088325502
130,32,0.7297297716140747,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.7800000727176668
131,32,0.8108108639717102,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8666667342185974
132,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
133,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
134,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
135,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.06666667014360429
136,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.06666667014360429
137,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.06666667014360429
138,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.06666667014360429
139,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.06666667014360429
140,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.06666667014360429
141,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.10666667297482493
142,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.06666667014360429
143,32,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.06666667014360429
