,dR,nstart,valAccuracy,dropoutFn,learningrate,layerForm,activationFn,nlayers,testAccuracy
58,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,16,0.8459672331809998
59,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,32,0.8459672331809998
60,0.0,1024,0.9913448095321654,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,2,0.9933292865753174
61,0.0,1024,0.994806832075119,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,3,0.9945421814918518
62,0.0,1024,0.991078495979309,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,4,0.9933293461799622
63,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,8,0.8459672331809998
64,0.0,1024,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,16,0.8459672927856445
65,0.0,1024,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,32,0.8459672331809998
66,0.0,1024,0.9748335123062135,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,2,0.9836264252662659
67,0.0,1024,0.9886817216873168,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,3,0.9848393201828003
68,0.0,1024,0.9842875719070434,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,4,0.9896906614303589
69,0.0,1024,0.9878827333450316,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,8,0.9921165108680725
70,0.0,1024,0.9826896786689757,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,16,0.9896907806396484
71,0.0,1024,0.9826896786689757,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,32,0.983020007610321
72,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,2,0.8459672927856445
73,0.5,256,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,3,0.8459672927856445
74,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,4,0.8459672331809998
75,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,8,0.8459672331809998
76,0.5,256,0.8428761303424835,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,16,0.8459672331809998
77,0.5,256,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,32,0.8459672927856445
