,activationFn,valAccuracy,nstart,nlayers,layerForm,dR,learningrate,testAccuracy,dropoutFn
51,3,0.759259283542633,512,2,rect,0.0,0.01,0.6371681094169617,<function dropout at 0x7f26f9045a60>
52,3,0.5555555820465087,512,2,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
53,3,0.5555555820465087,512,2,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
54,3,0.7666666924953461,512,2,rect,0.5,0.1,0.6283186078071594,<function dropout at 0x7f26f9045a60>
55,3,0.7351851999759675,512,2,rect,0.5,0.01,0.6371681094169617,<function dropout at 0x7f26f9045a60>
56,3,0.5555555820465087,512,3,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
57,3,0.5555555820465087,512,3,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
58,3,0.7777777910232543,512,3,rect,0.0,0.1,0.6371681094169617,<function dropout at 0x7f26f9045a60>
59,3,0.7962963581085204,512,3,rect,0.0,0.01,0.6194689869880676,<function dropout at 0x7f26f9045a60>
60,3,0.5555555820465087,512,3,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
61,3,0.5555555820465087,512,3,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
62,3,0.7777778089046478,512,3,rect,0.5,0.1,0.6548672914505005,<function dropout at 0x7f26f9045a60>
63,3,0.7222222149372103,512,3,rect,0.5,0.01,0.6725663542747498,<function dropout at 0x7f26f9045a60>
64,3,0.5555555820465087,512,4,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
65,3,0.5555555820465087,512,4,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
66,3,0.8222222328186036,512,4,rect,0.0,0.1,0.6283185482025146,<function dropout at 0x7f26f9045a60>
67,3,0.759259283542633,512,4,rect,0.0,0.01,0.6548672318458557,<function dropout at 0x7f26f9045a60>
68,3,0.5555555820465087,512,4,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
69,3,0.5555555820465087,512,4,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
70,3,0.7703703761100769,512,4,rect,0.5,0.1,0.6548672318458557,<function dropout at 0x7f26f9045a60>
71,3,0.6907407462596894,512,4,rect,0.5,0.01,0.6194690465927124,<function dropout at 0x7f26f9045a60>
72,3,0.5555555820465087,512,8,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
73,3,0.5555555820465087,512,8,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
74,3,0.7833333611488341,512,8,rect,0.0,0.1,0.6725663542747498,<function dropout at 0x7f26f9045a60>
75,3,0.7222222089767457,512,8,rect,0.0,0.01,0.6371681094169617,<function dropout at 0x7f26f9045a60>
76,3,0.5555555820465087,512,8,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
77,3,0.5555555820465087,512,8,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
78,3,0.5555555820465087,512,8,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
79,3,0.5666666865348816,512,8,rect,0.5,0.01,0.5044248104095459,<function dropout at 0x7f26f9045a60>
80,3,0.5555555820465087,512,16,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
