,learningrate,testAccuracy,activationFn,dR,nstart,layerForm,valAccuracy,dropoutFn,nlayers
26,10.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
27,10.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
28,10.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
29,10.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
30,10.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
31,10.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
32,10.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
33,10.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
34,10.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
35,10.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
36,1.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
37,1.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
38,1.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
39,1.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
40,1.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
41,1.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
42,1.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
43,1.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
44,1.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
45,1.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
46,1.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
47,1.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
48,1.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
49,1.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
50,1.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
51,1.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
52,1.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
53,1.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
54,1.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
55,1.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
56,1.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
57,1.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
58,1.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
59,1.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
60,1.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
61,1.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
62,1.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
63,1.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
64,1.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
65,1.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
66,1.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
67,1.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
68,1.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
69,1.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
70,1.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
71,1.0,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
72,0.1,0.6603773832321167,3,0.0,256,rect,0.7321428775787353,<function dropout at 0x7ff6836f7a60>,2
73,0.1,0.6792452931404114,3,0.0,256,rect,0.7000000238418579,<function dropout at 0x7ff6836f7a60>,3
74,0.1,0.7169811129570007,3,0.0,256,rect,0.760714304447174,<function dropout at 0x7ff6836f7a60>,4
75,0.1,0.7547169923782349,3,0.0,256,rect,0.846428644657135,<function dropout at 0x7ff6836f7a60>,8
76,0.1,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
77,0.1,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
78,0.1,0.698113203048706,3,0.0,512,rect,0.7678571701049803,<function dropout at 0x7ff6836f7a60>,2
79,0.1,0.6603773832321167,3,0.0,512,rect,0.7535714268684387,<function dropout at 0x7ff6836f7a60>,3
80,0.1,0.698113203048706,3,0.0,512,rect,0.7571428775787353,<function dropout at 0x7ff6836f7a60>,4
81,0.1,0.3207547068595886,3,0.0,512,rect,0.3321428835391999,<function dropout at 0x7ff6836f7a60>,8
82,0.1,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
83,0.1,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
84,0.1,0.6792452931404114,3,0.0,1024,rect,0.7464285910129547,<function dropout at 0x7ff6836f7a60>,2
85,0.1,0.6037735939025879,3,0.0,1024,rect,0.7642857372760774,<function dropout at 0x7ff6836f7a60>,3
86,0.1,0.7169811725616455,3,0.0,1024,rect,0.7714285790920258,<function dropout at 0x7ff6836f7a60>,4
87,0.1,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
88,0.1,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
89,0.1,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
90,0.1,0.6037735939025879,3,0.5,256,rect,0.685714316368103,<function dropout at 0x7ff6836f7a60>,2
91,0.1,0.698113203048706,3,0.5,256,rect,0.6892857432365418,<function dropout at 0x7ff6836f7a60>,3
92,0.1,0.6037735939025879,3,0.5,256,rect,0.6071428894996643,<function dropout at 0x7ff6836f7a60>,4
93,0.1,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
94,0.1,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
95,0.1,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
96,0.1,0.5849056839942932,3,0.5,512,rect,0.667857164144516,<function dropout at 0x7ff6836f7a60>,2
97,0.1,0.6603773832321167,3,0.5,512,rect,0.5785714566707612,<function dropout at 0x7ff6836f7a60>,3
98,0.1,0.3207547068595886,3,0.5,512,rect,0.3607143044471741,<function dropout at 0x7ff6836f7a60>,4
99,0.1,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
100,0.1,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
101,0.1,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
102,0.1,0.6792452931404114,3,0.5,1024,rect,0.7285714507102966,<function dropout at 0x7ff6836f7a60>,2
103,0.1,0.3962264060974121,3,0.5,1024,rect,0.4964285910129547,<function dropout at 0x7ff6836f7a60>,3
104,0.1,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
105,0.1,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
106,0.1,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
107,0.1,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
108,0.01,0.6603773832321167,3,0.0,256,rect,0.7749999880790712,<function dropout at 0x7ff6836f7a60>,2
109,0.01,0.6792452931404114,3,0.0,256,rect,0.7821428418159486,<function dropout at 0x7ff6836f7a60>,3
110,0.01,0.698113203048706,3,0.0,256,rect,0.7785714149475098,<function dropout at 0x7ff6836f7a60>,4
111,0.01,0.7169811725616455,3,0.0,256,rect,0.7428571462631225,<function dropout at 0x7ff6836f7a60>,8
112,0.01,0.698113203048706,3,0.0,256,rect,0.8142857551574707,<function dropout at 0x7ff6836f7a60>,16
113,0.01,0.6603773832321167,3,0.0,256,rect,0.7535714387893676,<function dropout at 0x7ff6836f7a60>,32
114,0.01,0.6415094137191772,3,0.0,512,rect,0.7321428656578064,<function dropout at 0x7ff6836f7a60>,2
115,0.01,0.6792452931404114,3,0.0,512,rect,0.7178571581840515,<function dropout at 0x7ff6836f7a60>,3
116,0.01,0.7169811725616455,3,0.0,512,rect,0.7321428656578064,<function dropout at 0x7ff6836f7a60>,4
117,0.01,0.7735849618911743,3,0.0,512,rect,0.7571428835391998,<function dropout at 0x7ff6836f7a60>,8
118,0.01,0.7358490228652954,3,0.0,512,rect,0.7714286088943482,<function dropout at 0x7ff6836f7a60>,16
119,0.01,0.6792452931404114,3,0.0,512,rect,0.7642857313156128,<function dropout at 0x7ff6836f7a60>,32
120,0.01,0.698113203048706,3,0.0,1024,rect,0.7035714507102966,<function dropout at 0x7ff6836f7a60>,2
121,0.01,0.6603773832321167,3,0.0,1024,rect,0.7214285850524901,<function dropout at 0x7ff6836f7a60>,3
122,0.01,0.698113203048706,3,0.0,1024,rect,0.7571428656578063,<function dropout at 0x7ff6836f7a60>,4
123,0.01,0.7169811725616455,3,0.0,1024,rect,0.735714292526245,<function dropout at 0x7ff6836f7a60>,8
124,0.01,0.7358490824699402,3,0.0,1024,rect,0.8071429193019867,<function dropout at 0x7ff6836f7a60>,16
125,0.01,0.6792452931404114,3,0.0,1024,rect,0.792857176065445,<function dropout at 0x7ff6836f7a60>,32
126,0.01,0.6226415038108826,3,0.5,256,rect,0.7392857193946838,<function dropout at 0x7ff6836f7a60>,2
127,0.01,0.5660377740859985,3,0.5,256,rect,0.7035714507102966,<function dropout at 0x7ff6836f7a60>,3
128,0.01,0.5283018946647644,3,0.5,256,rect,0.6714286029338836,<function dropout at 0x7ff6836f7a60>,4
129,0.01,0.5283018946647644,3,0.5,256,rect,0.5714285850524902,<function dropout at 0x7ff6836f7a60>,8
130,0.01,0.30188679695129395,3,0.5,256,rect,0.35357144474983215,<function dropout at 0x7ff6836f7a60>,16
131,0.01,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
132,0.01,0.6603773832321167,3,0.5,512,rect,0.7642857134342195,<function dropout at 0x7ff6836f7a60>,2
133,0.01,0.6792452931404114,3,0.5,512,rect,0.7071428716182708,<function dropout at 0x7ff6836f7a60>,3
134,0.01,0.641509473323822,3,0.5,512,rect,0.7214285850524901,<function dropout at 0x7ff6836f7a60>,4
135,0.01,0.4716981053352356,3,0.5,512,rect,0.5035714268684387,<function dropout at 0x7ff6836f7a60>,8
136,0.01,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
137,0.01,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
138,0.01,0.6226415038108826,3,0.5,1024,rect,0.7178571581840515,<function dropout at 0x7ff6836f7a60>,2
139,0.01,0.698113203048706,3,0.5,1024,rect,0.7071428775787354,<function dropout at 0x7ff6836f7a60>,3
140,0.01,0.6226415634155273,3,0.5,1024,rect,0.7071428775787353,<function dropout at 0x7ff6836f7a60>,4
141,0.01,0.6037735939025879,3,0.5,1024,rect,0.685714316368103,<function dropout at 0x7ff6836f7a60>,8
142,0.01,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
143,0.01,0.3207547068595886,3,0.5,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
