,learningrate,dR,nlayers,testAccuracy,dropoutFn,layerForm,valAccuracy,nstart,activationFn
39,1.0,0.0,3,0.8601769804954529,<function dropout at 0x7fe22eb9ba60>,cone,0.9117043554782867,256,3
40,1.0,0.0,3,0.882300853729248,<function dropout at 0x7fe22eb9ba60>,cone,0.9041068255901336,512,3
41,1.0,0.0,3,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
42,1.0,0.0,4,0.8946902751922607,<function dropout at 0x7fe22eb9ba60>,cone,0.9086242735385894,256,3
43,1.0,0.0,4,0.1150442510843277,<function dropout at 0x7fe22eb9ba60>,cone,0.10472279712557792,512,3
44,1.0,0.0,4,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772915363312,1024,3
45,1.0,0.0,8,0.8929203748703003,<function dropout at 0x7fe22eb9ba60>,cone,0.9110883355140685,256,3
46,1.0,0.0,8,0.8858407139778137,<function dropout at 0x7fe22eb9ba60>,cone,0.9010267436504364,512,3
47,1.0,0.0,8,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772974967956,1024,3
48,1.0,0.0,16,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
49,1.0,0.0,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.9096509814262389,512,3
50,1.0,0.0,16,0.1150442510843277,<function dropout at 0x7fe22eb9ba60>,cone,0.10472279787063597,1024,3
51,1.0,0.0,32,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772974967956,256,3
52,1.0,0.0,32,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
53,1.0,0.0,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772855758667,1024,3
54,1.0,0.5,2,0.8902655243873596,<function dropout at 0x7fe22eb9ba60>,cone,0.9069815754890441,256,3
55,1.0,0.5,2,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
56,1.0,0.5,2,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
57,1.0,0.5,3,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772915363312,256,3
58,1.0,0.5,3,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772855758667,512,3
59,1.0,0.5,3,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
60,1.0,0.5,4,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
61,1.0,0.5,4,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,512,3
62,1.0,0.5,4,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772974967956,1024,3
63,1.0,0.5,8,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,256,3
64,1.0,0.5,8,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
65,1.0,0.5,8,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
66,1.0,0.5,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772855758667,256,3
67,1.0,0.5,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
68,1.0,0.5,16,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772855758667,1024,3
69,1.0,0.5,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
70,1.0,0.5,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
71,1.0,0.5,32,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772796154023,1024,3
72,0.1,0.0,2,0.886725664138794,<function dropout at 0x7fe22eb9ba60>,cone,0.9170432031154634,256,3
73,0.1,0.0,2,0.8876106142997742,<function dropout at 0x7fe22eb9ba60>,cone,0.9254620611667633,512,3
74,0.1,0.0,2,0.8893805146217346,<function dropout at 0x7fe22eb9ba60>,cone,0.9197125554084777,1024,3
75,0.1,0.0,3,0.8876106142997742,<function dropout at 0x7fe22eb9ba60>,cone,0.9219712972640991,256,3
76,0.1,0.0,3,0.8946902751922607,<function dropout at 0x7fe22eb9ba60>,cone,0.9156058132648468,512,3
77,0.1,0.0,3,0.8920354247093201,<function dropout at 0x7fe22eb9ba60>,cone,0.9207392692565918,1024,3
78,0.1,0.0,4,0.8876106142997742,<function dropout at 0x7fe22eb9ba60>,cone,0.9219713270664217,256,3
79,0.1,0.0,4,0.8938052654266357,<function dropout at 0x7fe22eb9ba60>,cone,0.9170431613922118,512,3
80,0.1,0.0,4,0.8867257237434387,<function dropout at 0x7fe22eb9ba60>,cone,0.9147844374179839,1024,3
81,0.1,0.0,8,0.8938052654266357,<function dropout at 0x7fe22eb9ba60>,cone,0.9086242854595185,256,3
82,0.1,0.0,8,0.8893805146217346,<function dropout at 0x7fe22eb9ba60>,cone,0.9078029394149779,512,3
83,0.1,0.0,8,0.8823007941246033,<function dropout at 0x7fe22eb9ba60>,cone,0.9117043614387511,1024,3
84,0.1,0.0,16,0.8814159631729126,<function dropout at 0x7fe22eb9ba60>,cone,0.9002053856849671,256,3
85,0.1,0.0,16,0.887610673904419,<function dropout at 0x7fe22eb9ba60>,cone,0.9090349674224854,512,3
86,0.1,0.0,16,0.8858407139778137,<function dropout at 0x7fe22eb9ba60>,cone,0.9094456136226654,1024,3
87,0.1,0.0,32,0.8964601755142212,<function dropout at 0x7fe22eb9ba60>,cone,0.9049281597137452,256,3
88,0.1,0.0,32,0.885840654373169,<function dropout at 0x7fe22eb9ba60>,cone,0.9108829736709595,512,3
89,0.1,0.0,32,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
90,0.1,0.5,2,0.884070873260498,<function dropout at 0x7fe22eb9ba60>,cone,0.8993840336799622,256,3
91,0.1,0.5,2,0.895575225353241,<function dropout at 0x7fe22eb9ba60>,cone,0.906776225566864,512,3
92,0.1,0.5,2,0.8938052654266357,<function dropout at 0x7fe22eb9ba60>,cone,0.9180698454380034,1024,3
93,0.1,0.5,3,0.8938052654266357,<function dropout at 0x7fe22eb9ba60>,cone,0.902874779701233,256,3
94,0.1,0.5,3,0.8973451256752014,<function dropout at 0x7fe22eb9ba60>,cone,0.9078029036521912,512,3
95,0.1,0.5,3,0.8858407139778137,<function dropout at 0x7fe22eb9ba60>,cone,0.9139630675315856,1024,3
96,0.1,0.5,4,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772855758667,256,3
97,0.1,0.5,4,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8950719237327576,512,3
98,0.1,0.5,4,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,1024,3
99,0.1,0.5,8,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
100,0.1,0.5,8,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,512,3
101,0.1,0.5,8,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
102,0.1,0.5,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,256,3
103,0.1,0.5,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772915363312,512,3
104,0.1,0.5,16,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
105,0.1,0.5,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,256,3
106,0.1,0.5,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772915363312,512,3
107,0.1,0.5,32,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
108,0.01,0.0,2,0.8946903347969055,<function dropout at 0x7fe22eb9ba60>,cone,0.9219713509082795,256,3
109,0.01,0.0,2,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.924846053123474,512,3
110,0.01,0.0,2,0.8920353651046753,<function dropout at 0x7fe22eb9ba60>,cone,0.924230092763901,1024,3
111,0.01,0.0,3,0.8964601755142212,<function dropout at 0x7fe22eb9ba60>,cone,0.9172484755516052,256,3
112,0.01,0.0,3,0.8911504745483398,<function dropout at 0x7fe22eb9ba60>,cone,0.9262834072113036,512,3
113,0.01,0.0,3,0.8884956240653992,<function dropout at 0x7fe22eb9ba60>,cone,0.9236140251159668,1024,3
114,0.01,0.0,4,0.8946902751922607,<function dropout at 0x7fe22eb9ba60>,cone,0.9287474989891052,256,3
115,0.01,0.0,4,0.8893805742263794,<function dropout at 0x7fe22eb9ba60>,cone,0.9229980051517485,512,3
116,0.01,0.0,4,0.8858407139778137,<function dropout at 0x7fe22eb9ba60>,cone,0.9260780572891235,1024,3
117,0.01,0.0,8,0.8778761029243469,<function dropout at 0x7fe22eb9ba60>,cone,0.9190965712070465,256,3
118,0.01,0.0,8,0.8902654647827148,<function dropout at 0x7fe22eb9ba60>,cone,0.9250513195991515,512,3
119,0.01,0.0,8,0.8805310130119324,<function dropout at 0x7fe22eb9ba60>,cone,0.9223820209503173,1024,3
120,0.01,0.0,16,0.8973451256752014,<function dropout at 0x7fe22eb9ba60>,cone,0.9281314730644227,256,3
121,0.01,0.0,16,0.8991150259971619,<function dropout at 0x7fe22eb9ba60>,cone,0.9121150732040404,512,3
122,0.01,0.0,16,0.8929203748703003,<function dropout at 0x7fe22eb9ba60>,cone,0.9016427338123322,1024,3
123,0.01,0.0,32,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8958932936191558,256,3
124,0.01,0.0,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.9119096577167511,512,3
125,0.01,0.0,32,0.874336302280426,<function dropout at 0x7fe22eb9ba60>,cone,0.9014374017715454,1024,3
126,0.01,0.5,2,0.8964601755142212,<function dropout at 0x7fe22eb9ba60>,cone,0.9043121337890625,256,3
127,0.01,0.5,2,0.894690215587616,<function dropout at 0x7fe22eb9ba60>,cone,0.9084188938140869,512,3
128,0.01,0.5,2,0.897345244884491,<function dropout at 0x7fe22eb9ba60>,cone,0.9071868836879731,1024,3
129,0.01,0.5,3,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8989733576774597,256,3
130,0.01,0.5,3,0.8999999761581421,<function dropout at 0x7fe22eb9ba60>,cone,0.8997946977615356,512,3
131,0.01,0.5,3,0.8911504745483398,<function dropout at 0x7fe22eb9ba60>,cone,0.8989733278751374,1024,3
132,0.01,0.5,4,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
133,0.01,0.5,4,0.883185863494873,<function dropout at 0x7fe22eb9ba60>,cone,0.8975359797477722,512,3
134,0.01,0.5,4,0.8902654647827148,<function dropout at 0x7fe22eb9ba60>,cone,0.9043121397495271,1024,3
135,0.01,0.5,8,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772796154023,256,3
136,0.01,0.5,8,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772736549378,512,3
137,0.01,0.5,8,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772855758667,1024,3
138,0.01,0.5,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772736549378,256,3
139,0.01,0.5,16,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772796154022,512,3
140,0.01,0.5,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
141,0.01,0.5,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
142,0.01,0.5,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
143,0.01,0.5,32,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952773034572601,1024,3
