,nlayers,valAccuracy,dropoutFn,dR,nstart,layerForm,activationFn,testAccuracy,learningrate
24,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9716088771820068,10.0
25,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9716088771820068,1.0
26,3,0.9764150977134705,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9747635126113892,0.1
27,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9684543609619141,0.01
28,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9716088771820068,10.0
29,3,0.9764150738716126,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9716089367866516,1.0
30,3,0.9773584604263305,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.973186194896698,0.1
31,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9716088771820068,0.01
32,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9716088771820068,10.0
33,3,0.02515723183751106,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.028391169384121895,1.0
34,3,0.9795597195625305,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9637224674224854,0.1
35,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9716088771820068,0.01
36,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,10.0
37,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,1.0
38,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,0.1
39,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,0.01
40,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,10.0
41,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,1.0
42,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,0.1
43,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,0.01
44,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716089963912964,10.0
45,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716088771820068,1.0
46,3,0.9754716992378237,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9731862545013428,0.1
47,3,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716088771820068,0.01
48,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9716088771820068,10.0
49,4,0.9783018350601195,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9684543609619141,1.0
50,4,0.9823898792266844,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9747635126113892,0.1
51,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,256,cone,3,0.9716088771820068,0.01
52,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9716089963912964,10.0
53,4,0.02515723183751106,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.028391169384121895,1.0
54,4,0.9798741817474366,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9684543609619141,0.1
55,4,0.9761006355285644,<function dropout at 0x7fd65964ba60>,0.0,512,cone,3,0.9700316190719604,0.01
56,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9716088771820068,10.0
57,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9716088771820068,1.0
58,4,0.9827043652534486,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9747635126113892,0.1
59,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.0,1024,cone,3,0.9716089367866516,0.01
60,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,10.0
61,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,1.0
62,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716089963912964,0.1
63,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,256,cone,3,0.9716088771820068,0.01
64,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,10.0
65,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716089963912964,1.0
66,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,0.1
67,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,512,cone,3,0.9716088771820068,0.01
68,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716089963912964,10.0
69,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716088771820068,1.0
70,4,0.9748427867889407,<function dropout at 0x7fd65964ba60>,0.5,1024,cone,3,0.9716088771820068,0.1
