,layerForm,nstart,testAccuracy,valAccuracy,learningrate,dropoutFn,activationFn,nlayers,dR
98,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
99,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
100,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
101,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
102,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
103,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
104,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
105,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
106,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
107,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
108,cone,1024,0.3449999988079071,0.039682537317276,1.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
109,cone,1024,0.3974999785423279,0.053439152985811235,1.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
110,cone,1024,0.3974999785423279,0.42010580897331234,1.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
111,cone,1024,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
112,cone,1024,0.4325000047683716,0.41904762387275696,1.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
113,cone,1024,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
114,cone,1024,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
115,cone,1024,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
116,cone,1024,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
117,cone,1024,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
118,cone,1024,0.4325000047683716,0.41904760897159576,1.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
119,cone,1024,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
120,cone,1024,0.5874999761581421,0.6719576597213744,0.1,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
121,cone,1024,0.5974999070167542,0.6629629552364349,0.1,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
122,cone,1024,0.6000000238418579,0.6497354328632355,0.1,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
123,cone,1024,0.6024999618530273,0.6338624179363251,0.1,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
124,cone,1024,0.5724999904632568,0.6513227462768555,0.1,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
125,cone,1024,0.5874999165534973,0.6740740478038788,0.1,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
126,cone,1024,0.559999942779541,0.6301587164402009,0.1,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
127,cone,1024,0.4350000023841858,0.44444444775581365,0.1,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
128,cone,1024,0.5924999713897705,0.6402116119861604,0.1,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
129,cone,1024,0.004999999888241291,0.0,0.1,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
130,cone,1024,0.5849999785423279,0.6142857134342193,0.1,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
131,cone,1024,0.004999999888241291,0.0,0.1,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
132,cone,1024,0.5699999928474426,0.6666666328907013,0.01,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
133,cone,1024,0.5849999785423279,0.6428571283817291,0.01,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
134,cone,1024,0.5924999713897705,0.6730158686637879,0.01,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
135,cone,1024,0.5824999809265137,0.6089946925640106,0.01,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
136,cone,1024,0.5774999856948853,0.7058201014995574,0.01,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
137,cone,1024,0.5849999785423279,0.633862429857254,0.01,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
138,cone,1024,0.5799999833106995,0.6560846567153931,0.01,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
139,cone,1024,0.4399999976158142,0.5026454895734787,0.01,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
140,cone,1024,0.5975000262260437,0.6873015761375427,0.01,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
141,cone,1024,0.38749995827674866,0.4634920626878738,0.01,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
142,cone,1024,0.6349999904632568,0.6550264477729798,0.01,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
143,cone,1024,0.004999999888241291,0.0,0.01,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
