,nstart,activationFn,nlayers,testAccuracy,layerForm,valAccuracy,dR,learningrate,dropoutFn
35,256,3,16,0.9747635126113892,rect,0.9551470518112183,0.0,0.01,<function dropout at 0x7fc77080ba60>
36,256,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
37,256,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
38,256,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,0.1,<function dropout at 0x7fc77080ba60>
39,256,3,16,0.9668771028518677,rect,0.949999976158142,0.5,0.01,<function dropout at 0x7fc77080ba60>
40,256,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
41,256,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
42,256,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,0.1,<function dropout at 0x7fc77080ba60>
43,256,3,32,0.9731862545013428,rect,0.9566176414489748,0.0,0.01,<function dropout at 0x7fc77080ba60>
44,256,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
45,256,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
46,256,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,0.1,<function dropout at 0x7fc77080ba60>
47,256,3,32,0.9716089963912964,rect,0.9558823108673097,0.5,0.01,<function dropout at 0x7fc77080ba60>
48,512,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
49,512,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
50,512,3,2,0.9747635126113892,rect,0.9569852709770204,0.0,0.1,<function dropout at 0x7fc77080ba60>
51,512,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,0.01,<function dropout at 0x7fc77080ba60>
52,512,3,2,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
53,512,3,2,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
54,512,3,2,0.9652998447418213,rect,0.951838231086731,0.5,0.1,<function dropout at 0x7fc77080ba60>
55,512,3,2,0.973186194896698,rect,0.9558823108673097,0.5,0.01,<function dropout at 0x7fc77080ba60>
56,512,3,3,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
57,512,3,3,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
58,512,3,3,0.9716088771820068,rect,0.9569852590560914,0.0,0.1,<function dropout at 0x7fc77080ba60>
59,512,3,3,0.9716089963912964,rect,0.9555146694183351,0.0,0.01,<function dropout at 0x7fc77080ba60>
60,512,3,3,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
61,512,3,3,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
62,512,3,3,0.9290221333503723,rect,0.9242646455764771,0.5,0.1,<function dropout at 0x7fc77080ba60>
63,512,3,3,0.962145209312439,rect,0.9566176414489747,0.5,0.01,<function dropout at 0x7fc77080ba60>
64,512,3,4,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
65,512,3,4,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
66,512,3,4,0.9747635126113892,rect,0.956249988079071,0.0,0.1,<function dropout at 0x7fc77080ba60>
67,512,3,4,0.9747635126113892,rect,0.9555146694183351,0.0,0.01,<function dropout at 0x7fc77080ba60>
68,512,3,4,0.9716089963912964,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
69,512,3,4,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
70,512,3,4,0.8785489797592163,rect,0.8716911435127259,0.5,0.1,<function dropout at 0x7fc77080ba60>
71,512,3,4,0.9132493138313293,rect,0.93125,0.5,0.01,<function dropout at 0x7fc77080ba60>
72,512,3,8,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
73,512,3,8,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
74,512,3,8,0.9747635126113892,rect,0.9577206015586852,0.0,0.1,<function dropout at 0x7fc77080ba60>
75,512,3,8,0.9763407707214355,rect,0.9580882430076598,0.0,0.01,<function dropout at 0x7fc77080ba60>
76,512,3,8,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
77,512,3,8,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
78,512,3,8,0.820189356803894,rect,0.8919117629528046,0.5,0.1,<function dropout at 0x7fc77080ba60>
79,512,3,8,0.7917981743812561,rect,0.8272059082984926,0.5,0.01,<function dropout at 0x7fc77080ba60>
80,512,3,16,0.9716089367866516,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
81,512,3,16,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
82,512,3,16,0.9716089367866516,rect,0.9558823108673097,0.0,0.1,<function dropout at 0x7fc77080ba60>
83,512,3,16,0.9668771028518677,rect,0.958823525905609,0.0,0.01,<function dropout at 0x7fc77080ba60>
84,512,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
85,512,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
86,512,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,0.1,<function dropout at 0x7fc77080ba60>
87,512,3,16,0.05678233876824379,rect,0.13345589078962805,0.5,0.01,<function dropout at 0x7fc77080ba60>
88,512,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
89,512,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
90,512,3,32,0.9716089963912964,rect,0.9558823108673097,0.0,0.1,<function dropout at 0x7fc77080ba60>
91,512,3,32,0.9731862545013428,rect,0.9522058486938476,0.0,0.01,<function dropout at 0x7fc77080ba60>
92,512,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
93,512,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
94,512,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,0.1,<function dropout at 0x7fc77080ba60>
95,512,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,0.01,<function dropout at 0x7fc77080ba60>
96,1024,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
97,1024,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
98,1024,3,2,0.9731862545013428,rect,0.9547793865203859,0.0,0.1,<function dropout at 0x7fc77080ba60>
99,1024,3,2,0.9731862545013428,rect,0.9551470279693605,0.0,0.01,<function dropout at 0x7fc77080ba60>
100,1024,3,2,0.9716089367866516,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
101,1024,3,2,0.9716089367866516,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
102,1024,3,2,0.9526814222335815,rect,0.941176450252533,0.5,0.1,<function dropout at 0x7fc77080ba60>
103,1024,3,2,0.9700316190719604,rect,0.9544117450714112,0.5,0.01,<function dropout at 0x7fc77080ba60>
104,1024,3,3,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
105,1024,3,3,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
106,1024,3,3,0.9605679512023926,rect,0.9547793865203859,0.0,0.1,<function dropout at 0x7fc77080ba60>
107,1024,3,3,0.9716089963912964,rect,0.9573529362678528,0.0,0.01,<function dropout at 0x7fc77080ba60>
108,1024,3,3,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
109,1024,3,3,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
110,1024,3,3,0.8580442070960999,rect,0.8720588088035585,0.5,0.1,<function dropout at 0x7fc77080ba60>
111,1024,3,3,0.9605678915977478,rect,0.9422793865203858,0.5,0.01,<function dropout at 0x7fc77080ba60>
112,1024,3,4,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
113,1024,3,4,0.9716089367866516,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
114,1024,3,4,0.9700316190719604,rect,0.9533088088035585,0.0,0.1,<function dropout at 0x7fc77080ba60>
115,1024,3,4,0.9731862545013428,rect,0.9573529362678528,0.0,0.01,<function dropout at 0x7fc77080ba60>
116,1024,3,4,0.9716089367866516,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
117,1024,3,4,0.9716089367866516,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
118,1024,3,4,0.899053692817688,rect,0.8911764502525329,0.5,0.1,<function dropout at 0x7fc77080ba60>
119,1024,3,4,0.9290221929550171,rect,0.9227941155433654,0.5,0.01,<function dropout at 0x7fc77080ba60>
120,1024,3,8,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
121,1024,3,8,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
122,1024,3,8,0.9716088771820068,rect,0.9558823108673097,0.0,0.1,<function dropout at 0x7fc77080ba60>
123,1024,3,8,0.9747635126113892,rect,0.9602941155433654,0.0,0.01,<function dropout at 0x7fc77080ba60>
124,1024,3,8,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
125,1024,3,8,0.9716089963912964,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
126,1024,3,8,0.9716088771820068,rect,0.9558823108673097,0.5,0.1,<function dropout at 0x7fc77080ba60>
127,1024,3,8,0.719243049621582,rect,0.7330882549285889,0.5,0.01,<function dropout at 0x7fc77080ba60>
128,1024,3,16,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
129,1024,3,16,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
130,1024,3,16,0.9716088771820068,rect,0.9558823108673097,0.0,0.1,<function dropout at 0x7fc77080ba60>
131,1024,3,16,0.9763407707214355,rect,0.956985318660736,0.0,0.01,<function dropout at 0x7fc77080ba60>
132,1024,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
133,1024,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
134,1024,3,16,0.9716088771820068,rect,0.9558823108673097,0.5,0.1,<function dropout at 0x7fc77080ba60>
135,1024,3,16,0.04416404291987419,rect,0.06286764964461326,0.5,0.01,<function dropout at 0x7fc77080ba60>
136,1024,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
137,1024,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
138,1024,3,32,0.9716088771820068,rect,0.9558823108673097,0.0,0.1,<function dropout at 0x7fc77080ba60>
139,1024,3,32,0.9684543609619141,rect,0.9540441155433657,0.0,0.01,<function dropout at 0x7fc77080ba60>
140,1024,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
141,1024,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
142,1024,3,32,0.9716089963912964,rect,0.9558823108673097,0.5,0.1,<function dropout at 0x7fc77080ba60>
143,1024,3,32,0.9716088771820068,rect,0.9558823108673097,0.5,0.01,<function dropout at 0x7fc77080ba60>
