,nstart,nlayers,testAccuracy,layerForm,activationFn,valAccuracy,dR,learningrate,dropoutFn
54,512,2,0.931351363658905,rect,3,0.9471094608306885,0.5,0.1,<function dropout at 0x7fd76df1ba60>
55,512,2,0.9113514423370361,rect,3,0.9281673014163971,0.5,0.01,<function dropout at 0x7fd76df1ba60>
56,512,3,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
57,512,3,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
58,512,3,0.9837838411331177,rect,3,0.9771217703819276,0.0,0.1,<function dropout at 0x7fd76df1ba60>
59,512,3,0.9837837815284729,rect,3,0.976014792919159,0.0,0.01,<function dropout at 0x7fd76df1ba60>
60,512,3,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
61,512,3,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
62,512,3,0.8621621131896973,rect,3,0.8937269210815428,0.5,0.1,<function dropout at 0x7fd76df1ba60>
63,512,3,0.8362162113189697,rect,3,0.8559655189514159,0.5,0.01,<function dropout at 0x7fd76df1ba60>
64,512,4,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
65,512,4,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
66,512,4,0.9816216230392456,rect,3,0.976875740289688,0.0,0.1,<function dropout at 0x7fd76df1ba60>
67,512,4,0.9837838411331177,rect,3,0.9750307679176331,0.0,0.01,<function dropout at 0x7fd76df1ba60>
68,512,4,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
69,512,4,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
70,512,4,0.8854054808616638,rect,3,0.9013530135154725,0.5,0.1,<function dropout at 0x7fd76df1ba60>
71,512,4,0.8227026462554932,rect,3,0.8312422752380373,0.5,0.01,<function dropout at 0x7fd76df1ba60>
72,512,8,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
73,512,8,0.4951351583003998,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
74,512,8,0.9821622371673584,rect,3,0.9755227923393252,0.0,0.1,<function dropout at 0x7fd76df1ba60>
75,512,8,0.9789189696311951,rect,3,0.9720787286758424,0.0,0.01,<function dropout at 0x7fd76df1ba60>
76,512,8,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
77,512,8,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
78,512,8,0.4951351284980774,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
79,512,8,0.5216216444969177,rect,3,0.5420664012432098,0.5,0.01,<function dropout at 0x7fd76df1ba60>
80,512,16,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
81,512,16,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
82,512,16,0.4951351284980774,rect,3,0.505535066127777,0.0,0.1,<function dropout at 0x7fd76df1ba60>
83,512,16,0.9756757020950317,rect,3,0.9680196404457094,0.0,0.01,<function dropout at 0x7fd76df1ba60>
84,512,16,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
85,512,16,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
86,512,16,0.4951351284980774,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
87,512,16,0.5048649311065674,rect,3,0.49446494579315187,0.5,0.01,<function dropout at 0x7fd76df1ba60>
88,512,32,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
89,512,32,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
90,512,32,0.4951351284980774,rect,3,0.505535066127777,0.0,0.1,<function dropout at 0x7fd76df1ba60>
91,512,32,0.9708108305931091,rect,3,0.9692496895790099,0.0,0.01,<function dropout at 0x7fd76df1ba60>
92,512,32,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
93,512,32,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
94,512,32,0.4951351284980774,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
95,512,32,0.4951351284980774,rect,3,0.505535066127777,0.5,0.01,<function dropout at 0x7fd76df1ba60>
96,1024,2,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
97,1024,2,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
98,1024,2,0.985405445098877,rect,3,0.9747847378253937,0.0,0.1,<function dropout at 0x7fd76df1ba60>
99,1024,2,0.985405445098877,rect,3,0.9790897965431212,0.0,0.01,<function dropout at 0x7fd76df1ba60>
100,1024,2,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
101,1024,2,0.4951351583003998,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
102,1024,2,0.9183784127235413,rect,3,0.9415744304656982,0.5,0.1,<function dropout at 0x7fd76df1ba60>
103,1024,2,0.8956757187843323,rect,3,0.9202952206134797,0.5,0.01,<function dropout at 0x7fd76df1ba60>
104,1024,3,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
105,1024,3,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
106,1024,3,0.9827027916908264,rect,3,0.9742927372455596,0.0,0.1,<function dropout at 0x7fd76df1ba60>
107,1024,3,0.9848648905754089,rect,3,0.9747847795486451,0.0,0.01,<function dropout at 0x7fd76df1ba60>
108,1024,3,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
109,1024,3,0.4951351583003998,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
110,1024,3,0.9016216397285461,rect,3,0.9340713441371918,0.5,0.1,<function dropout at 0x7fd76df1ba60>
111,1024,3,0.8416215181350708,rect,3,0.8664206445217134,0.5,0.01,<function dropout at 0x7fd76df1ba60>
112,1024,4,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
113,1024,4,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
114,1024,4,0.9837838411331177,rect,3,0.9765067875385286,0.0,0.1,<function dropout at 0x7fd76df1ba60>
115,1024,4,0.9843243956565857,rect,3,0.9781058013439179,0.0,0.01,<function dropout at 0x7fd76df1ba60>
116,1024,4,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
117,1024,4,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
118,1024,4,0.9108108282089233,rect,3,0.9535055041313173,0.5,0.1,<function dropout at 0x7fd76df1ba60>
119,1024,4,0.8118919134140015,rect,3,0.8396063506603241,0.5,0.01,<function dropout at 0x7fd76df1ba60>
120,1024,8,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
121,1024,8,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
122,1024,8,0.4951351284980774,rect,3,0.505535066127777,0.0,0.1,<function dropout at 0x7fd76df1ba60>
123,1024,8,0.9821622371673584,rect,3,0.9731857120990755,0.0,0.01,<function dropout at 0x7fd76df1ba60>
124,1024,8,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
125,1024,8,0.4951351583003998,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
126,1024,8,0.4951351583003998,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
127,1024,8,0.7237838506698608,rect,3,0.7536285102367402,0.5,0.01,<function dropout at 0x7fd76df1ba60>
128,1024,16,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
129,1024,16,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
130,1024,16,0.4951351284980774,rect,3,0.505535066127777,0.0,0.1,<function dropout at 0x7fd76df1ba60>
131,1024,16,0.9810811281204224,rect,3,0.9723247289657593,0.0,0.01,<function dropout at 0x7fd76df1ba60>
132,1024,16,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
133,1024,16,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
134,1024,16,0.4951351583003998,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
135,1024,16,0.49621617794036865,rect,3,0.47638375461101534,0.5,0.01,<function dropout at 0x7fd76df1ba60>
136,1024,32,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
137,1024,32,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
138,1024,32,0.4951351284980774,rect,3,0.505535066127777,0.0,0.1,<function dropout at 0x7fd76df1ba60>
139,1024,32,0.9783784747123718,rect,3,0.9692497253417968,0.0,0.01,<function dropout at 0x7fd76df1ba60>
140,1024,32,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
141,1024,32,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
142,1024,32,0.4951351284980774,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
143,1024,32,0.4951351284980774,rect,3,0.505535066127777,0.5,0.01,<function dropout at 0x7fd76df1ba60>
