,valAccuracy,layerForm,nlayers,dR,dropoutFn,activationFn,nstart,testAccuracy,learningrate
130,0.8707054972648622,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8696197271347046,0.1
131,0.8562031745910645,cone,32,0.0,<function dropout at 0x7f35ae7fda60>,3,1024,0.8605013489723206,0.01
132,0.7554385125637055,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,10.0
133,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,1.0
134,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.1
135,0.7554385006427765,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,256,0.7538045644760132,0.01
136,0.7554385006427765,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,10.0
137,0.7554384946823121,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,1.0
138,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.1
139,0.75543851852417,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,512,0.7538045644760132,0.01
140,0.7554384887218476,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045048713684,10.0
141,0.75543851852417,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,1.0
142,0.7554385006427765,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,0.1
143,0.755438506603241,cone,32,0.5,<function dropout at 0x7f35ae7fda60>,3,1024,0.7538045644760132,0.01
