,learningrate,nlayers,activationFn,dropoutFn,nstart,layerForm,dR,testAccuracy,valAccuracy
23,10.0,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
24,10.0,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.5285714626312256
25,10.0,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
26,10.0,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
27,10.0,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
28,10.0,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.35714286565780634
29,10.0,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
30,10.0,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.9197862148284912,0.5857143282890321
31,10.0,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
32,10.0,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
33,10.0,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
34,10.0,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.5285714626312256
35,10.0,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
36,1.0,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.3857142984867095
37,1.0,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
38,1.0,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.3857142984867095
39,1.0,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.3857142984867095
40,1.0,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.3857142984867095
41,1.0,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
42,1.0,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.3857142984867095
43,1.0,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
44,1.0,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.3857142984867095
45,1.0,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
46,1.0,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.6149733066558838,0.5000000298023224
47,1.0,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
48,1.0,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.35714286565780634
49,1.0,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
50,1.0,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
51,1.0,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
52,1.0,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.9197862148284912,0.6428571939468385
53,1.0,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
54,1.0,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.35714286565780634
55,1.0,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
56,1.0,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
57,1.0,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
58,1.0,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.9197862148284912,0.5857143282890321
59,1.0,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
60,1.0,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.4714285969734192
61,1.0,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
62,1.0,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.9197862148284912,0.557142895460129
63,1.0,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
64,1.0,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.5857143282890321
65,1.0,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
66,1.0,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.47142859697341916
67,1.0,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.41428573131561275
68,1.0,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.44285716414451604
69,1.0,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.3857142984867096
70,1.0,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.9197862148284912,0.5000000298023224
71,1.0,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.41428573131561275
72,0.1,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.529411792755127,0.5285714566707612
73,0.1,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.5882353186607361,0.4714285969734192
74,0.1,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.6951872110366821,0.4714285910129547
75,0.1,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.427807480096817,0.5000000298023224
76,0.1,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.6898396015167236,0.5571428954601289
77,0.1,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.7807486057281494,0.5571428954601289
78,0.1,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.5721925497055054,0.5214286029338837
79,0.1,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.31016039848327637,0.5000000298023224
80,0.1,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.3582887649536133,0.44285716414451604
81,0.1,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.23529411852359772,0.44285716414451604
82,0.1,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.17112299799919128,0.4714285969734192
83,0.1,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.4714285969734192
84,0.1,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.45989304780960083,0.46428573727607725
85,0.1,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.9197862148284912,0.5285714626312257
86,0.1,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.49732619524002075,0.46428573727607725
87,0.1,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.3475935757160187,0.4714285969734192
88,0.1,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.17112299799919128,0.4142857313156128
89,0.1,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.9197862148284912,0.41428573131561275
90,0.1,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.45454543828964233,0.4500000238418579
91,0.1,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.4010695219039917,0.4500000238418579
92,0.1,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08556149899959564,0.3857142984867096
93,0.1,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
94,0.1,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.7272726893424988,0.442857164144516
95,0.1,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
96,0.1,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.5828876495361328,0.5142857432365419
97,0.1,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.5000000298023224
98,0.1,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.1925133764743805,0.35714286565780634
99,0.1,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
100,0.1,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.5721925497055054,0.47142859697341927
101,0.1,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.4714285969734192
102,0.1,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.4142857313156128
103,0.1,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.9197862148284912,0.5000000298023224
104,0.1,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.41428573131561275
105,0.1,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.12299466133117676,0.5142857432365417
106,0.1,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.13903744518756866,0.4071428716182708
107,0.1,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.3857142984867096
108,0.01,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.4385026693344116,0.45714288949966425
109,0.01,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.4064170718193054,0.4000000119209289
110,0.01,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.47593581676483154,0.6642857432365418
111,0.01,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.49197864532470703,0.35714286565780634
112,0.01,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.51871657371521,0.5214285850524901
113,0.01,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.4438502788543701,0.5142857372760773
114,0.01,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.5133689641952515,0.5142857372760773
115,0.01,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.48663103580474854,0.35714286565780634
116,0.01,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.5828877091407776,0.5428571581840516
117,0.01,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.5508021116256714,0.35714286565780634
118,0.01,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.5080214142799377,0.4285714507102966
119,0.01,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.4331550896167755,0.35714286565780634
120,0.01,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.47058820724487305,0.435714304447174
121,0.01,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.32085561752319336,0.35714286565780634
122,0.01,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.5882352590560913,0.5857143104076385
123,0.01,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.32620322704315186,0.35714286565780634
124,0.01,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.6363636255264282,0.5642857432365418
125,0.01,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.3315507769584656,0.35714286565780634
126,0.01,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.4491978585720062,0.4928571581840515
127,0.01,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.6951872110366821,0.6428571939468385
128,0.01,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.6417111754417419,0.5214285910129547
129,0.01,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.5828877091407776,0.5857143282890321
130,0.01,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.7165775299072266,0.46428573727607725
131,0.01,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.5828877091407776,0.542857176065445
132,0.01,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.7058823108673096,0.41428573131561275
133,0.01,16,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.3714285790920257
134,0.01,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.4598930776119232,0.46428574323654176
135,0.01,16,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.6310160160064697,0.6428571939468385
136,0.01,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.7112299203872681,0.5071428835391999
137,0.01,16,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.7433154582977295,0.5857143282890321
138,0.01,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.33155080676078796,0.40714287161827084
139,0.01,32,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.5668449401855469,0.40714287459850307
140,0.01,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.197860985994339,0.35714286565780634
141,0.01,32,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.1925133764743805,0.3857142984867096
142,0.01,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.3582887649536133,0.3857142984867095
143,0.01,32,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
