,learningrate,dR,nlayers,layerForm,nstart,dropoutFn,activationFn,valAccuracy,testAccuracy
78,0.1,0.0,4,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8310811281204226,0.8021389842033386
79,0.1,0.0,4,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8189189672470094,0.770053505897522
80,0.1,0.0,4,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.7986487150192261,0.8074865937232971
81,0.1,0.0,8,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
82,0.1,0.0,8,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
83,0.1,0.0,8,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
84,0.1,0.0,16,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
85,0.1,0.0,16,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
86,0.1,0.0,16,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
87,0.1,0.0,32,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
88,0.1,0.0,32,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
89,0.1,0.0,32,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
90,0.1,0.5,2,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8459460258483886,0.7860962152481079
91,0.1,0.5,2,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8216216683387757,0.770053505897522
92,0.1,0.5,2,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8000000536441804,0.7807486057281494
93,0.1,0.5,3,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8378378987312316,0.748663067817688
94,0.1,0.5,3,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.7972973346710206,0.7754011154174805
95,0.1,0.5,3,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.7878378987312317,0.625668466091156
96,0.1,0.5,4,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8162162661552429,0.7058823704719543
97,0.1,0.5,4,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.7878378868103029,0.6951871514320374
98,0.1,0.5,4,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.7729730248451234,0.7967914342880249
99,0.1,0.5,8,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8148648977279663,0.748663067817688
100,0.1,0.5,8,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
101,0.1,0.5,8,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
102,0.1,0.5,16,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
103,0.1,0.5,16,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
104,0.1,0.5,16,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
105,0.1,0.5,32,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
106,0.1,0.5,32,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
107,0.1,0.5,32,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
108,0.01,0.0,2,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8581081748008726,0.7914437651634216
109,0.01,0.0,2,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8351351857185365,0.770053505897522
110,0.01,0.0,2,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8229730486869813,0.7860962152481079
111,0.01,0.0,3,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8378379106521607,0.7860962152481079
112,0.01,0.0,3,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8148649215698243,0.7967914342880249
113,0.01,0.0,3,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.7959459900856019,0.8021389842033386
114,0.01,0.0,4,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8135135650634766,0.7914438247680664
115,0.01,0.0,4,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8162162899971008,0.7914438247680664
116,0.01,0.0,4,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8162162780761719,0.7914438247680664
117,0.01,0.0,8,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8202703118324282,0.7967914342880249
118,0.01,0.0,8,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8189189910888673,0.7754009962081909
119,0.01,0.0,8,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8148649334907532,0.8021390438079834
