,nstart,dropoutFn,testAccuracy,learningrate,dR,nlayers,activationFn,layerForm,valAccuracy
95,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,0.01,0.5,32,3,cone,0.48314607143402094
96,1024,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,10.0,0.0,2,3,cone,0.48314607143402094
97,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,3,3,cone,0.48314607143402094
98,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,4,3,cone,0.48314607143402094
99,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,8,3,cone,0.48314607143402094
100,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,16,3,cone,0.48314607143402094
101,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,32,3,cone,0.37752808630466456
102,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,2,3,cone,0.48314607143402094
103,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,3,3,cone,0.48314607143402094
104,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,4,3,cone,0.48314607143402094
105,1024,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,10.0,0.5,8,3,cone,0.48314607143402094
106,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,16,3,cone,0.48314607143402094
107,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,32,3,cone,0.48314607143402094
108,1024,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,1.0,0.0,2,3,cone,0.48426966369152064
109,1024,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,1.0,0.0,3,3,cone,0.48314607143402094
110,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,4,3,cone,0.48314607143402094
111,1024,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,1.0,0.0,8,3,cone,0.48314607143402094
112,1024,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,1.0,0.0,16,3,cone,0.48314607143402094
113,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,32,3,cone,0.48314607143402094
114,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,2,3,cone,0.48314607143402094
115,1024,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,1.0,0.5,3,3,cone,0.48314607143402094
116,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,4,3,cone,0.48314607143402094
117,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,8,3,cone,0.48314607143402094
118,1024,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,1.0,0.5,16,3,cone,0.48314607143402094
119,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,32,3,cone,0.48314607143402094
120,1024,<function dropout at 0x7f3521ae9a60>,0.8854167461395264,0.1,0.0,2,3,cone,0.8651685118675232
121,1024,<function dropout at 0x7f3521ae9a60>,0.8854167461395264,0.1,0.0,3,3,cone,0.8741572737693787
122,1024,<function dropout at 0x7f3521ae9a60>,0.8854167461395264,0.1,0.0,4,3,cone,0.8685392975807189
123,1024,<function dropout at 0x7f3521ae9a60>,0.9114583730697632,0.1,0.0,8,3,cone,0.917977488040924
124,1024,<function dropout at 0x7f3521ae9a60>,0.9270833730697632,0.1,0.0,16,3,cone,0.9168538928031923
125,1024,<function dropout at 0x7f3521ae9a60>,0.7239583730697632,0.1,0.0,32,3,cone,0.7865168452262877
126,1024,<function dropout at 0x7f3521ae9a60>,0.8958333730697632,0.1,0.5,2,3,cone,0.8719100832939148
127,1024,<function dropout at 0x7f3521ae9a60>,0.875,0.1,0.5,3,3,cone,0.8662921071052552
128,1024,<function dropout at 0x7f3521ae9a60>,0.859375,0.1,0.5,4,3,cone,0.8786516547203065
129,1024,<function dropout at 0x7f3521ae9a60>,0.8125,0.1,0.5,8,3,cone,0.7752808928489685
130,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,0.1,0.5,16,3,cone,0.48314607143402094
131,1024,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,0.1,0.5,32,3,cone,0.48314607143402094
132,1024,<function dropout at 0x7f3521ae9a60>,0.890625,0.01,0.0,2,3,cone,0.8550561547279358
133,1024,<function dropout at 0x7f3521ae9a60>,0.8906250596046448,0.01,0.0,3,3,cone,0.8640449166297913
134,1024,<function dropout at 0x7f3521ae9a60>,0.84375,0.01,0.0,4,3,cone,0.8797752499580385
135,1024,<function dropout at 0x7f3521ae9a60>,0.8802083730697632,0.01,0.0,8,3,cone,0.8629213213920592
136,1024,<function dropout at 0x7f3521ae9a60>,0.8854167461395264,0.01,0.0,16,3,cone,0.9146067023277284
137,1024,<function dropout at 0x7f3521ae9a60>,0.9218750596046448,0.01,0.0,32,3,cone,0.9325842261314391
138,1024,<function dropout at 0x7f3521ae9a60>,0.8906250596046448,0.01,0.5,2,3,cone,0.870786488056183
139,1024,<function dropout at 0x7f3521ae9a60>,0.8645833730697632,0.01,0.5,3,3,cone,0.8629213213920595
140,1024,<function dropout at 0x7f3521ae9a60>,0.8541666865348816,0.01,0.5,4,3,cone,0.8089887499809265
141,1024,<function dropout at 0x7f3521ae9a60>,0.8125,0.01,0.5,8,3,cone,0.8056179642677308
142,1024,<function dropout at 0x7f3521ae9a60>,0.1927083432674408,0.01,0.5,16,3,cone,0.19550561457872387
143,1024,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,0.01,0.5,32,3,cone,0.48314607143402094
