,dropoutFn,testAccuracy,nstart,dR,nlayers,activationFn,valAccuracy,layerForm,learningrate
34,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,4,3,0.5985401749610901,cone,0.1
35,<function dropout at 0x7f8c7fc58a60>,0.6823529601097107,256,0.5,4,3,0.7386861085891725,cone,0.01
36,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,8,3,0.4014598518610001,cone,10.0
37,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,8,3,0.4014598578214646,cone,1.0
38,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,8,3,0.5985401749610901,cone,0.1
39,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,8,3,0.5985401570796968,cone,0.01
40,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,16,3,0.40145984888076786,cone,10.0
41,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,16,3,0.4197080314159394,cone,1.0
42,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,16,3,0.5985401690006257,cone,0.1
43,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,16,3,0.5985401690006257,cone,0.01
44,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,32,3,0.40145986378192905,cone,10.0
45,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,32,3,0.5394160449504852,cone,1.0
46,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,32,3,0.40145985484123237,cone,0.1
47,<function dropout at 0x7f8c7fc58a60>,0.6352941393852234,256,0.5,32,3,0.6386860847473145,cone,0.01
48,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.0,2,3,0.4211678594350814,cone,10.0
49,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.0,2,3,0.5985401868820192,cone,1.0
50,<function dropout at 0x7f8c7fc58a60>,0.8352941274642944,512,0.0,2,3,0.7956204175949098,cone,0.1
51,<function dropout at 0x7f8c7fc58a60>,0.7882353067398071,512,0.0,2,3,0.8007299125194549,cone,0.01
52,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.0,3,3,0.40145984888076786,cone,10.0
53,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.0,3,3,0.4211679011583329,cone,1.0
54,<function dropout at 0x7f8c7fc58a60>,0.8039215803146362,512,0.0,3,3,0.8284671127796173,cone,0.1
55,<function dropout at 0x7f8c7fc58a60>,0.7882353067398071,512,0.0,3,3,0.800729888677597,cone,0.01
56,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.0,4,3,0.4014598459005355,cone,10.0
57,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.0,4,3,0.42116787135601036,cone,1.0
58,<function dropout at 0x7f8c7fc58a60>,0.8392156958580017,512,0.0,4,3,0.7861313581466675,cone,0.1
59,<function dropout at 0x7f8c7fc58a60>,0.7960784435272217,512,0.0,4,3,0.7978101670742034,cone,0.01
60,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.0,8,3,0.4014598608016969,cone,10.0
61,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.0,8,3,0.5985401690006257,cone,1.0
62,<function dropout at 0x7f8c7fc58a60>,0.8196078538894653,512,0.0,8,3,0.7861313700675965,cone,0.1
63,<function dropout at 0x7f8c7fc58a60>,0.7882353067398071,512,0.0,8,3,0.7861313521862029,cone,0.01
64,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.0,16,3,0.4014598637819291,cone,10.0
65,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.0,16,3,0.5985401809215547,cone,1.0
66,<function dropout at 0x7f8c7fc58a60>,0.7803921699523926,512,0.0,16,3,0.7941605806350708,cone,0.1
67,<function dropout at 0x7f8c7fc58a60>,0.8117647171020508,512,0.0,16,3,0.8102189719676972,cone,0.01
68,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.0,32,3,0.5788321048021317,cone,10.0
69,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.0,32,3,0.5985401332378388,cone,1.0
70,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.0,32,3,0.5985401809215546,cone,0.1
71,<function dropout at 0x7f8c7fc58a60>,0.7686274647712708,512,0.0,32,3,0.7875912249088287,cone,0.01
72,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,2,3,0.4211678922176362,cone,10.0
73,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,2,3,0.4416058391332626,cone,1.0
74,<function dropout at 0x7f8c7fc58a60>,0.7607843279838562,512,0.5,2,3,0.7576642096042634,cone,0.1
75,<function dropout at 0x7f8c7fc58a60>,0.7450980544090271,512,0.5,2,3,0.7240875601768493,cone,0.01
76,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,3,3,0.4014598637819291,cone,10.0
77,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,3,3,0.4430656820535659,cone,1.0
78,<function dropout at 0x7f8c7fc58a60>,0.772549033164978,512,0.5,3,3,0.7729927122592926,cone,0.1
79,<function dropout at 0x7f8c7fc58a60>,0.7215686440467834,512,0.5,3,3,0.689781016111374,cone,0.01
80,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,4,3,0.40145985484123237,cone,10.0
81,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,4,3,0.4211678832769393,cone,1.0
82,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.5,4,3,0.5985401451587677,cone,0.1
83,<function dropout at 0x7f8c7fc58a60>,0.6666666865348816,512,0.5,4,3,0.6051094710826875,cone,0.01
84,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,8,3,0.4014598608016968,cone,10.0
85,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,8,3,0.401459851861,cone,1.0
86,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.5,8,3,0.5985401690006257,cone,0.1
87,<function dropout at 0x7f8c7fc58a60>,0.6941176652908325,512,0.5,8,3,0.6562043368816376,cone,0.01
88,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,16,3,0.40145986676216133,cone,10.0
89,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,16,3,0.40145986378192905,cone,1.0
90,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.5,16,3,0.5985401690006257,cone,0.1
91,<function dropout at 0x7f8c7fc58a60>,0.6509804129600525,512,0.5,16,3,0.6204379558563233,cone,0.01
92,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,32,3,0.42116790413856514,cone,10.0
93,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,512,0.5,32,3,0.4211678743362426,cone,1.0
94,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.5,32,3,0.5985401332378388,cone,0.1
95,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,512,0.5,32,3,0.5985401868820192,cone,0.01
96,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.0,2,3,0.5985401511192322,cone,10.0
97,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.0,2,3,0.40218977034091946,cone,1.0
98,<function dropout at 0x7f8c7fc58a60>,0.8313725590705872,1024,0.0,2,3,0.8072992384433747,cone,0.1
99,<function dropout at 0x7f8c7fc58a60>,0.7607843279838562,1024,0.0,2,3,0.789051067829132,cone,0.01
100,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.0,3,3,0.4014598578214646,cone,10.0
101,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.0,3,3,0.4094890445470809,cone,1.0
102,<function dropout at 0x7f8c7fc58a60>,0.8039215803146362,1024,0.0,3,3,0.7854014337062835,cone,0.1
103,<function dropout at 0x7f8c7fc58a60>,0.800000011920929,1024,0.0,3,3,0.7897809863090515,cone,0.01
104,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.0,4,3,0.5985401630401611,cone,10.0
105,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.0,4,3,0.401459851861,cone,1.0
106,<function dropout at 0x7f8c7fc58a60>,0.8352941274642944,1024,0.0,4,3,0.7868612825870515,cone,0.1
107,<function dropout at 0x7f8c7fc58a60>,0.7843137383460999,1024,0.0,4,3,0.8014598429203034,cone,0.01
108,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.0,8,3,0.4014598548412323,cone,10.0
109,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.0,8,3,0.5802919656038285,cone,1.0
110,<function dropout at 0x7f8c7fc58a60>,0.8039215803146362,1024,0.0,8,3,0.8014598309993745,cone,0.1
111,<function dropout at 0x7f8c7fc58a60>,0.8078431487083435,1024,0.0,8,3,0.7956204116344452,cone,0.01
112,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.0,16,3,0.5591241091489793,cone,10.0
113,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.0,16,3,0.5985401809215547,cone,1.0
114,<function dropout at 0x7f8c7fc58a60>,0.7921568751335144,1024,0.0,16,3,0.7839415788650513,cone,0.1
115,<function dropout at 0x7f8c7fc58a60>,0.7882353067398071,1024,0.0,16,3,0.7985401034355163,cone,0.01
116,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.0,32,3,0.4014598518610001,cone,10.0
117,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.0,32,3,0.5985401690006257,cone,1.0
118,<function dropout at 0x7f8c7fc58a60>,0.7803921699523926,1024,0.0,32,3,0.7759123802185058,cone,0.1
119,<function dropout at 0x7f8c7fc58a60>,0.8117647171020508,1024,0.0,32,3,0.7788320779800416,cone,0.01
120,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,2,3,0.4014598727226258,cone,10.0
121,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,2,3,0.43357664942741403,cone,1.0
122,<function dropout at 0x7f8c7fc58a60>,0.7529411911964417,1024,0.5,2,3,0.767153251171112,cone,0.1
123,<function dropout at 0x7f8c7fc58a60>,0.7607843279838562,1024,0.5,2,3,0.7824817419052124,cone,0.01
124,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,3,3,0.40145985782146454,cone,10.0
125,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.5,3,3,0.5985401690006257,cone,1.0
126,<function dropout at 0x7f8c7fc58a60>,0.7607843279838562,1024,0.5,3,3,0.7802919566631317,cone,0.1
127,<function dropout at 0x7f8c7fc58a60>,0.7372549176216125,1024,0.5,3,3,0.7605839073657991,cone,0.01
128,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,4,3,0.4014598637819291,cone,10.0
129,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,4,3,0.40145986378192905,cone,1.0
130,<function dropout at 0x7f8c7fc58a60>,0.7411764860153198,1024,0.5,4,3,0.7795620143413543,cone,0.1
131,<function dropout at 0x7f8c7fc58a60>,0.7058823704719543,1024,0.5,4,3,0.7379562079906464,cone,0.01
132,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,8,3,0.40145985782146454,cone,10.0
133,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,8,3,0.40145985782146454,cone,1.0
134,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.5,8,3,0.6021897912025452,cone,0.1
135,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.5,8,3,0.6007299304008484,cone,0.01
136,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,16,3,0.4014598727226258,cone,10.0
137,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,16,3,0.4014598727226258,cone,1.0
138,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,16,3,0.4014598459005355,cone,0.1
139,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.5,16,3,0.5985401868820192,cone,0.01
140,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,1024,0.5,32,3,0.4014598637819291,cone,10.0
141,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.5,32,3,0.5591241002082825,cone,1.0
142,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.5,32,3,0.5985401630401612,cone,0.1
143,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,1024,0.5,32,3,0.5985401570796968,cone,0.01
