,nlayers,activationFn,dR,learningrate,layerForm,nstart,valAccuracy,dropoutFn,testAccuracy
75,8,3,0.0,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
76,8,3,0.0,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
77,8,3,0.0,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
78,8,3,0.0,0.1,rect,256,0.5153846442699431,<function dropout at 0x7f97b8311a60>,0.6666666865348816
79,8,3,0.0,0.1,rect,512,0.41538465023040766,<function dropout at 0x7f97b8311a60>,0.5483870506286621
80,8,3,0.0,0.1,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
81,8,3,0.0,0.01,rect,256,0.5000000298023223,<function dropout at 0x7f97b8311a60>,0.5322580933570862
82,8,3,0.0,0.01,rect,512,0.5538461804389953,<function dropout at 0x7f97b8311a60>,0.6075268983840942
83,8,3,0.0,0.01,rect,1024,0.6153846383094786,<function dropout at 0x7f97b8311a60>,0.5806451439857483
84,8,3,0.5,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
85,8,3,0.5,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
86,8,3,0.5,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
87,8,3,0.5,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
88,8,3,0.5,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
89,8,3,0.5,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
90,8,3,0.5,0.1,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
91,8,3,0.5,0.1,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
92,8,3,0.5,0.1,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
93,8,3,0.5,0.01,rect,256,0.45384618341922756,<function dropout at 0x7f97b8311a60>,0.48924729228019714
94,8,3,0.5,0.01,rect,512,0.43846157193183893,<function dropout at 0x7f97b8311a60>,0.4838709533214569
95,8,3,0.5,0.01,rect,1024,0.4615384936332702,<function dropout at 0x7f97b8311a60>,0.4838709533214569
96,16,3,0.0,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
97,16,3,0.0,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
98,16,3,0.0,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
99,16,3,0.0,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
100,16,3,0.0,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
101,16,3,0.0,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
102,16,3,0.0,0.1,rect,256,0.4076923489570617,<function dropout at 0x7f97b8311a60>,0.5483870506286621
103,16,3,0.0,0.1,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
104,16,3,0.0,0.1,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
105,16,3,0.0,0.01,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5268816947937012
106,16,3,0.0,0.01,rect,512,0.530769258737564,<function dropout at 0x7f97b8311a60>,0.5806452035903931
107,16,3,0.0,0.01,rect,1024,0.5538461804389953,<function dropout at 0x7f97b8311a60>,0.6236559152603149
108,16,3,0.5,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
109,16,3,0.5,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
110,16,3,0.5,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
111,16,3,0.5,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
112,16,3,0.5,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
113,16,3,0.5,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
114,16,3,0.5,0.1,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
115,16,3,0.5,0.1,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
116,16,3,0.5,0.1,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
117,16,3,0.5,0.01,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
118,16,3,0.5,0.01,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
119,16,3,0.5,0.01,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
120,32,3,0.0,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
121,32,3,0.0,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
122,32,3,0.0,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
123,32,3,0.0,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
124,32,3,0.0,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
125,32,3,0.0,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
126,32,3,0.0,0.1,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
127,32,3,0.0,0.1,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
128,32,3,0.0,0.1,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
129,32,3,0.0,0.01,rect,256,0.46923080086708063,<function dropout at 0x7f97b8311a60>,0.5752688646316528
130,32,3,0.0,0.01,rect,512,0.5384615659713744,<function dropout at 0x7f97b8311a60>,0.6451612710952759
131,32,3,0.0,0.01,rect,1024,0.46923081278800954,<function dropout at 0x7f97b8311a60>,0.5215053558349609
132,32,3,0.5,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
133,32,3,0.5,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
134,32,3,0.5,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
135,32,3,0.5,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
136,32,3,0.5,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
137,32,3,0.5,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
138,32,3,0.5,0.1,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
139,32,3,0.5,0.1,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
140,32,3,0.5,0.1,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
141,32,3,0.5,0.01,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
142,32,3,0.5,0.01,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
143,32,3,0.5,0.01,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
