,nstart,layerForm,nlayers,dropoutFn,testAccuracy,activationFn,dR,learningrate,valAccuracy
30,256,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
31,256,rect,8,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.5,0.01,0.6173913002014161
32,256,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
33,256,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
34,256,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
35,256,rect,16,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.0,0.01,0.7086956620216369
36,256,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
37,256,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
38,256,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
39,256,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.01,0.7391304373741149
40,256,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
41,256,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
42,256,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
43,256,rect,32,<function dropout at 0x7f19122aaa60>,0.5777778029441833,3,0.0,0.01,0.626086986064911
44,256,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
45,256,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
46,256,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
47,256,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.01,0.7391304373741149
48,512,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
49,512,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
50,512,rect,2,<function dropout at 0x7f19122aaa60>,0.5333333611488342,3,0.0,0.1,0.6782608866691588
51,512,rect,2,<function dropout at 0x7f19122aaa60>,0.6222222447395325,3,0.0,0.01,0.6956521928310394
52,512,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
53,512,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
54,512,rect,2,<function dropout at 0x7f19122aaa60>,0.4222222566604614,3,0.5,0.1,0.6434782624244689
55,512,rect,2,<function dropout at 0x7f19122aaa60>,0.644444465637207,3,0.5,0.01,0.7304347872734069
56,512,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
57,512,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
58,512,rect,3,<function dropout at 0x7f19122aaa60>,0.6222222447395325,3,0.0,0.1,0.6565217524766923
