,dR,valAccuracy,nlayers,dropoutFn,learningrate,layerForm,nstart,testAccuracy,activationFn
35,0.0,0.8365853130817414,4,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.8246445655822754,3
36,0.0,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
37,0.0,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
38,0.0,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
39,0.0,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2606635093688965,3
40,0.0,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
41,0.0,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
42,0.0,0.8414633691310883,8,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.8056873083114624,3
43,0.0,0.818292671442032,8,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.819905161857605,3
44,0.0,0.826829242706299,8,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.7582939267158508,3
45,0.0,0.7841463446617128,8,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.729857861995697,3
46,0.0,0.8048780500888825,8,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.7867299318313599,3
47,0.0,0.8573170304298403,8,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.800947904586792,3
48,0.0,0.2682926580309868,16,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.25592419505119324,3
49,0.0,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
50,0.0,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
51,0.0,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2606635093688965,3
52,0.0,0.2682926580309868,16,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.25592416524887085,3
53,0.0,0.21463413983583454,16,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2511848211288452,3
54,0.0,0.7878048360347747,16,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.758293867111206,3
55,0.0,0.806097537279129,16,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.7867299318313599,3
56,0.0,0.819512164592743,16,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.7772511839866638,3
57,0.0,0.8158536374568941,16,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.7582938075065613,3
58,0.0,0.8365853190422058,16,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.7677725553512573,3
59,0.0,0.8402438640594484,16,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.8056873083114624,3
60,0.0,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
61,0.0,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
62,0.0,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
63,0.0,0.27317070513963704,32,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.25592416524887085,3
64,0.0,0.24390242248773575,32,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2511848211288452,3
65,0.0,0.2512194931507111,32,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
66,0.0,0.7024390041828155,32,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.7109005451202393,3
67,0.0,0.6268292427062989,32,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.5639810562133789,3
68,0.0,0.6841463088989258,32,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.6635071635246277,3
69,0.0,0.6756097137928009,32,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.6398104429244995,3
70,0.0,0.7280487895011901,32,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.7109004855155945,3
71,0.0,0.6536585032939911,32,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.6161137819290161,3
72,0.5,0.28048777580261236,2,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
73,0.5,0.28048777580261236,2,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
74,0.5,0.28048777580261236,2,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
75,0.5,0.2804877787828446,2,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2606635093688965,3
76,0.5,0.28048777580261236,2,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
77,0.5,0.28048777580261236,2,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
78,0.5,0.7914633810520172,2,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.758293867111206,3
79,0.5,0.8243902146816255,2,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.7677725553512573,3
80,0.5,0.8451219141483308,2,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.8199052810668945,3
81,0.5,0.7707316994667054,2,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.7061611413955688,3
82,0.5,0.7670731604099272,2,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.7156398296356201,3
83,0.5,0.8329268097877504,2,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.7440758347511292,3
84,0.5,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
85,0.5,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
86,0.5,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
87,0.5,0.2817072898149491,3,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.25592416524887085,3
88,0.5,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
89,0.5,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
90,0.5,0.768292647600174,3,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.7251184582710266,3
91,0.5,0.75731703042984,3,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.7061611413955688,3
92,0.5,0.8024389803409576,3,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.758293867111206,3
93,0.5,0.664634108543396,3,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.6398104429244995,3
94,0.5,0.7658536195755005,3,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.677725076675415,3
95,0.5,0.7975609779357912,3,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.7630331516265869,3
96,0.5,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
97,0.5,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
98,0.5,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
99,0.5,0.2560975402593613,4,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.23222747445106506,3
100,0.5,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
101,0.5,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
102,0.5,0.7439023792743682,4,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.7203792333602905,3
103,0.5,0.7317072570323944,4,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.7156398296356201,3
104,0.5,0.7499999403953551,4,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.701421856880188,3
105,0.5,0.6378048598766327,4,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.5734597444534302,3
106,0.5,0.6634145975112915,4,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.6113744378089905,3
107,0.5,0.7499999582767486,4,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.7156397700309753,3
108,0.5,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
109,0.5,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
110,0.5,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
111,0.5,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2606635093688965,3
112,0.5,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
113,0.5,0.28048777580261236,8,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
114,0.5,0.4182926684617997,8,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.4502369463443756,3
115,0.5,0.3804877877235413,8,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.3981042504310608,3
116,0.5,0.35975607037544244,8,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.3838862478733063,3
117,0.5,0.3695121705532074,8,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.35545027256011963,3
118,0.5,0.41463413834571844,8,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.3981042802333832,3
119,0.5,0.4073170632123947,8,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.44549763202667236,3
120,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
121,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
122,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
123,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2606635093688965,3
124,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
125,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
126,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.2606635093688965,3
127,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.2606635093688965,3
128,0.5,0.28048777580261236,16,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.2606635093688965,3
129,0.5,0.21829266846179962,16,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.1990521252155304,3
130,0.5,0.20853657871484757,16,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.17061612010002136,3
131,0.5,0.31707315444946294,16,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.2654028534889221,3
132,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
133,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
134,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
135,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2606635093688965,3
136,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
137,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
138,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.2606635093688965,3
139,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.2606635093688965,3
140,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.2606635093688965,3
141,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.2606635093688965,3
142,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.2606635093688965,3
143,0.5,0.28048777580261236,32,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.2606635093688965,3
