,dR,layerForm,nstart,testAccuracy,nlayers,learningrate,valAccuracy,activationFn,dropoutFn
105,0.5,cone,512,0.4523809552192688,4,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
106,0.5,cone,512,0.8333333730697632,4,0.1,0.8473684310913085,3,<function dropout at 0x7f4e4caa3a60>
107,0.5,cone,512,0.821428656578064,4,0.01,0.8789473712444308,3,<function dropout at 0x7f4e4caa3a60>
108,0.5,cone,512,0.4523809552192688,8,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
109,0.5,cone,512,0.4523809552192688,8,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
110,0.5,cone,512,0.4523809552192688,8,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
111,0.5,cone,512,0.6547619104385376,8,0.01,0.6263157904148101,3,<function dropout at 0x7f4e4caa3a60>
112,0.5,cone,512,0.4523809552192688,16,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
113,0.5,cone,512,0.4523809552192688,16,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
114,0.5,cone,512,0.4523809552192688,16,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
115,0.5,cone,512,0.1190476268529892,16,0.01,0.05263157822191715,3,<function dropout at 0x7f4e4caa3a60>
116,0.5,cone,512,0.4523809552192688,32,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
117,0.5,cone,512,0.4523809552192688,32,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
118,0.5,cone,512,0.4523809552192688,32,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
119,0.5,cone,512,0.4523809552192688,32,0.01,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
120,0.5,cone,1024,0.4523809552192688,2,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
121,0.5,cone,1024,0.4523809552192688,2,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
122,0.5,cone,1024,0.8333333730697632,2,0.1,0.8631579041481019,3,<function dropout at 0x7f4e4caa3a60>
123,0.5,cone,1024,0.8214285373687744,2,0.01,0.8868420958518984,3,<function dropout at 0x7f4e4caa3a60>
124,0.5,cone,1024,0.4523809552192688,3,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
125,0.5,cone,1024,0.4523809552192688,3,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
126,0.5,cone,1024,0.8452380895614624,3,0.1,0.8684210300445556,3,<function dropout at 0x7f4e4caa3a60>
127,0.5,cone,1024,0.8333333730697632,3,0.01,0.8578947544097901,3,<function dropout at 0x7f4e4caa3a60>
128,0.5,cone,1024,0.4523809552192688,4,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
129,0.5,cone,1024,0.4523809552192688,4,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
130,0.5,cone,1024,0.8214285969734192,4,0.1,0.8447368443012238,3,<function dropout at 0x7f4e4caa3a60>
131,0.5,cone,1024,0.821428656578064,4,0.01,0.8684210777282717,3,<function dropout at 0x7f4e4caa3a60>
132,0.5,cone,1024,0.4523809552192688,8,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
133,0.5,cone,1024,0.4523809552192688,8,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
134,0.5,cone,1024,0.4523809552192688,8,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
135,0.5,cone,1024,0.7023810148239136,8,0.01,0.8289473950862883,3,<function dropout at 0x7f4e4caa3a60>
136,0.5,cone,1024,0.4523809552192688,16,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
137,0.5,cone,1024,0.4523809552192688,16,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
138,0.5,cone,1024,0.4523809552192688,16,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
139,0.5,cone,1024,0.4523809552192688,16,0.01,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
140,0.5,cone,1024,0.4523809552192688,32,10.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
141,0.5,cone,1024,0.4523809552192688,32,1.0,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
142,0.5,cone,1024,0.4523809552192688,32,0.1,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
143,0.5,cone,1024,0.4523809552192688,32,0.01,0.4473684430122376,3,<function dropout at 0x7f4e4caa3a60>
