,activationFn,nlayers,testAccuracy,learningrate,dropoutFn,dR,nstart,valAccuracy,layerForm
87,3,8,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
88,3,8,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
89,3,8,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
90,3,8,0.5,0.01,<function dropout at 0x7f5a51757a60>,0.0,256,0.3880952447652816,cone
91,3,8,0.4390243887901306,0.01,<function dropout at 0x7f5a51757a60>,0.0,512,0.40714288651943203,cone
92,3,8,0.46341463923454285,0.01,<function dropout at 0x7f5a51757a60>,0.0,1024,0.42619050741195674,cone
93,3,8,0.32926830649375916,0.01,<function dropout at 0x7f5a51757a60>,0.5,256,0.283333346247673,cone
94,3,8,0.2926829159259796,0.01,<function dropout at 0x7f5a51757a60>,0.5,512,0.2952381074428558,cone
95,3,8,0.3658536672592163,0.01,<function dropout at 0x7f5a51757a60>,0.5,1024,0.3523809611797332,cone
96,3,16,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
97,3,16,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
98,3,16,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
99,3,16,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
100,3,16,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
101,3,16,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
102,3,16,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
103,3,16,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
104,3,16,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
105,3,16,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
106,3,16,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
107,3,16,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
108,3,16,0.5487804412841797,0.1,<function dropout at 0x7f5a51757a60>,0.0,256,0.4119047731161117,cone
109,3,16,0.45121949911117554,0.1,<function dropout at 0x7f5a51757a60>,0.0,512,0.42142857611179346,cone
110,3,16,0.4878048896789551,0.1,<function dropout at 0x7f5a51757a60>,0.0,1024,0.36428572535514825,cone
111,3,16,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
112,3,16,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
113,3,16,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
114,3,16,0.4268292784690857,0.01,<function dropout at 0x7f5a51757a60>,0.0,256,0.3833333402872085,cone
115,3,16,0.4390243589878082,0.01,<function dropout at 0x7f5a51757a60>,0.0,512,0.4261904805898666,cone
116,3,16,0.4756097197532654,0.01,<function dropout at 0x7f5a51757a60>,0.0,1024,0.4214285939931869,cone
117,3,16,0.15853658318519592,0.01,<function dropout at 0x7f5a51757a60>,0.5,256,0.1000000026077032,cone
118,3,16,0.39024388790130615,0.01,<function dropout at 0x7f5a51757a60>,0.5,512,0.364285722374916,cone
119,3,16,0.10975609719753265,0.01,<function dropout at 0x7f5a51757a60>,0.5,1024,0.10000000186264514,cone
120,3,32,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
121,3,32,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
122,3,32,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
123,3,32,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
124,3,32,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
125,3,32,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
126,3,32,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
127,3,32,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
128,3,32,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
129,3,32,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
130,3,32,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
131,3,32,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
132,3,32,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
133,3,32,0.4999999701976776,0.1,<function dropout at 0x7f5a51757a60>,0.0,512,0.3309523895382881,cone
134,3,32,0.4390243887901306,0.1,<function dropout at 0x7f5a51757a60>,0.0,1024,0.3547619208693504,cone
135,3,32,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
136,3,32,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
137,3,32,0.3048780560493469,0.1,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
138,3,32,0.4146341383457184,0.01,<function dropout at 0x7f5a51757a60>,0.0,256,0.3761904835700988,cone
139,3,32,0.5121951103210449,0.01,<function dropout at 0x7f5a51757a60>,0.0,512,0.34523810744285577,cone
140,3,32,0.5,0.01,<function dropout at 0x7f5a51757a60>,0.0,1024,0.3666666775941848,cone
141,3,32,0.3048780560493469,0.01,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
142,3,32,0.3048780560493469,0.01,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
143,3,32,0.3048780560493469,0.01,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
