,dropoutFn,nstart,dR,valAccuracy,nlayers,activationFn,layerForm,testAccuracy,learningrate
96,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,2,3,cone,0.10050250589847565,10.0
97,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.10372340828180315,2,3,cone,0.10050250589847565,1.0
98,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.920212769508362,2,3,cone,0.9371859431266785,0.1
99,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.8989361703395843,2,3,cone,0.929648220539093,0.01
100,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,3,3,cone,0.10050250589847565,10.0
101,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,3,3,cone,0.10050250589847565,1.0
102,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.9026595592498777,3,3,cone,0.9371859431266785,0.1
103,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.9148935675621032,3,3,cone,0.9221104979515076,0.01
104,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,4,3,cone,0.10050250589847565,10.0
105,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,4,3,cone,0.10050250589847565,1.0
106,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.9255319058895113,4,3,cone,0.9396984577178955,0.1
107,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.9148936271667483,4,3,cone,0.9221105575561523,0.01
108,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,8,3,cone,0.10050250589847565,10.0
109,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,8,3,cone,0.10050250589847565,1.0
110,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.9095744013786314,8,3,cone,0.9145728349685669,0.1
111,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.9037234067916868,8,3,cone,0.8919597864151001,0.01
112,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,16,3,cone,0.10050250589847565,10.0
113,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,16,3,cone,0.10050250589847565,1.0
114,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.8707446396350861,16,3,cone,0.9221105575561523,0.1
115,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.8186170041561128,16,3,cone,0.8241205811500549,0.01
116,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,32,3,cone,0.10050250589847565,10.0
117,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.09574468433856965,32,3,cone,0.10050250589847565,1.0
118,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.5696808576583863,32,3,cone,0.4849246144294739,0.1
119,<function dropout at 0x7fb9c01c3a60>,1024,0.0,0.7398936092853545,32,3,cone,0.7638190984725952,0.01
120,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,2,3,cone,0.10050250589847565,10.0
121,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09680851404555144,2,3,cone,0.10050250589847565,1.0
122,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.923936176300049,2,3,cone,0.9371858835220337,0.1
123,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.899999976158142,2,3,cone,0.9221104979515076,0.01
124,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,3,3,cone,0.10050250589847565,10.0
125,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,3,3,cone,0.10050250589847565,1.0
126,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.9239361584186556,3,3,cone,0.9346733093261719,0.1
127,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.91329784989357,3,3,cone,0.947236180305481,0.01
128,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,4,3,cone,0.10050250589847565,10.0
129,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09627659544348717,4,3,cone,0.10050251334905624,1.0
130,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.9388297498226167,4,3,cone,0.9246231317520142,0.1
131,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.9031914949417114,4,3,cone,0.9195979833602905,0.01
132,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,8,3,cone,0.10050250589847565,10.0
133,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,8,3,cone,0.10050250589847565,1.0
134,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.1994680881500244,8,3,cone,0.21105526387691498,0.1
135,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.2957446753978729,8,3,cone,0.33668336272239685,0.01
136,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,16,3,cone,0.10050250589847565,10.0
137,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,16,3,cone,0.10050250589847565,1.0
138,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,16,3,cone,0.10050250589847565,0.1
139,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.12978723198175432,16,3,cone,0.08040200918912888,0.01
140,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,10.0
141,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,1.0
142,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,0.1
143,<function dropout at 0x7fb9c01c3a60>,1024,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,0.01
