,layerForm,testAccuracy,nlayers,valAccuracy,dropoutFn,dR,learningrate,activationFn,nstart
17,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,1.0,3,1024
18,rect,0.7599999904632568,2,0.8899999916553498,<function dropout at 0x7f6594f34a60>,0.5,0.1,3,256
19,rect,0.7999999523162842,2,0.8599999964237214,<function dropout at 0x7f6594f34a60>,0.5,0.1,3,512
20,rect,0.9599999785423279,2,0.9299999952316284,<function dropout at 0x7f6594f34a60>,0.5,0.1,3,1024
21,rect,0.8799999952316284,2,0.9599999904632568,<function dropout at 0x7f6594f34a60>,0.5,0.01,3,256
22,rect,0.9199999570846558,2,0.9099999785423281,<function dropout at 0x7f6594f34a60>,0.5,0.01,3,512
23,rect,0.8799999952316284,2,0.9199999928474427,<function dropout at 0x7f6594f34a60>,0.5,0.01,3,1024
24,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,10.0,3,256
25,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,10.0,3,512
26,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,10.0,3,1024
27,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,1.0,3,256
28,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,1.0,3,512
29,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,1.0,3,1024
30,rect,0.8399999737739563,3,0.969999998807907,<function dropout at 0x7f6594f34a60>,0.0,0.1,3,256
31,rect,0.8399999737739563,3,0.9299999892711639,<function dropout at 0x7f6594f34a60>,0.0,0.1,3,512
32,rect,0.9199999570846558,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,0.1,3,1024
33,rect,0.9599999785423279,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,0.01,3,256
34,rect,0.9199999570846558,3,0.8999999761581422,<function dropout at 0x7f6594f34a60>,0.0,0.01,3,512
35,rect,0.8799999952316284,3,0.9399999916553498,<function dropout at 0x7f6594f34a60>,0.0,0.01,3,1024
36,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,10.0,3,256
37,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,10.0,3,512
38,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,10.0,3,1024
39,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,1.0,3,256
40,rect,0.8799999952316284,3,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,1.0,3,512
