,testAccuracy,layerForm,dropoutFn,nstart,nlayers,valAccuracy,learningrate,dR,activationFn
38,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,16,0.3933333694934845,0.01,0.0,3
39,0.2857142984867096,cone,<function dropout at 0x7fd54f753a60>,256,16,0.4800000429153442,0.01,0.5,3
40,0.5,cone,<function dropout at 0x7fd54f753a60>,256,32,0.6000000238418579,10.0,0.0,3
41,0.5,cone,<function dropout at 0x7fd54f753a60>,256,32,0.6000000238418579,10.0,0.5,3
42,0.5,cone,<function dropout at 0x7fd54f753a60>,256,32,0.38666668236255647,1.0,0.0,3
43,0.5,cone,<function dropout at 0x7fd54f753a60>,256,32,0.6000000238418579,1.0,0.5,3
44,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,256,32,0.47333337068557746,0.1,0.0,3
45,0.5,cone,<function dropout at 0x7fd54f753a60>,256,32,0.6000000238418579,0.1,0.5,3
46,0.4285714626312256,cone,<function dropout at 0x7fd54f753a60>,256,32,0.5800000250339509,0.01,0.0,3
47,0.1071428656578064,cone,<function dropout at 0x7fd54f753a60>,256,32,0.20666668415069583,0.01,0.5,3
48,0.5,cone,<function dropout at 0x7fd54f753a60>,512,2,0.6000000238418579,10.0,0.0,3
49,0.5,cone,<function dropout at 0x7fd54f753a60>,512,2,0.6000000238418579,10.0,0.5,3
50,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,2,0.3466667056083679,1.0,0.0,3
51,0.5,cone,<function dropout at 0x7fd54f753a60>,512,2,0.6000000238418579,1.0,0.5,3
52,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,2,0.7533334016799927,0.1,0.0,3
53,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,2,0.7066667377948762,0.1,0.5,3
54,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,2,0.6866667330265045,0.01,0.0,3
55,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,2,0.7200000762939454,0.01,0.5,3
56,0.4642857313156128,cone,<function dropout at 0x7fd54f753a60>,512,3,0.06666667014360429,10.0,0.0,3
57,0.5,cone,<function dropout at 0x7fd54f753a60>,512,3,0.6000000238418579,10.0,0.5,3
58,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,3,0.33333337306976313,1.0,0.0,3
59,0.5,cone,<function dropout at 0x7fd54f753a60>,512,3,0.6000000238418579,1.0,0.5,3
60,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,3,0.7466667234897614,0.1,0.0,3
61,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,3,0.7066667377948761,0.1,0.5,3
62,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,3,0.680000066757202,0.01,0.0,3
63,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,3,0.713333410024643,0.01,0.5,3
64,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,4,0.33333337306976313,10.0,0.0,3
65,0.5,cone,<function dropout at 0x7fd54f753a60>,512,4,0.6000000238418579,10.0,0.5,3
66,0.5,cone,<function dropout at 0x7fd54f753a60>,512,4,0.6000000238418579,1.0,0.0,3
67,0.5,cone,<function dropout at 0x7fd54f753a60>,512,4,0.6000000238418579,1.0,0.5,3
68,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,4,0.8066667377948762,0.1,0.0,3
69,0.4642857313156128,cone,<function dropout at 0x7fd54f753a60>,512,4,0.6533333897590639,0.1,0.5,3
70,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,4,0.6800000786781311,0.01,0.0,3
71,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,4,0.6666667461395263,0.01,0.5,3
72,0.4642857313156128,cone,<function dropout at 0x7fd54f753a60>,512,8,0.3866666927933693,10.0,0.0,3
73,0.5,cone,<function dropout at 0x7fd54f753a60>,512,8,0.6000000238418579,10.0,0.5,3
74,0.5,cone,<function dropout at 0x7fd54f753a60>,512,8,0.360000017285347,1.0,0.0,3
75,0.5,cone,<function dropout at 0x7fd54f753a60>,512,8,0.6000000238418579,1.0,0.5,3
76,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,8,0.7933334052562715,0.1,0.0,3
77,0.5,cone,<function dropout at 0x7fd54f753a60>,512,8,0.6000000238418579,0.1,0.5,3
78,0.0357142873108387,cone,<function dropout at 0x7fd54f753a60>,512,8,0.7866667389869691,0.01,0.0,3
79,0.4285714328289032,cone,<function dropout at 0x7fd54f753a60>,512,8,0.24000001624226572,0.01,0.5,3
