,valAccuracy,dR,activationFn,dropoutFn,nlayers,nstart,layerForm,learningrate,testAccuracy
45,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,8,1024,rect,1.0,0.47684603929519653
46,0.46438745856285096,0.0,3,<function dropout at 0x7f1491984a60>,8,1024,rect,0.1,0.47684603929519653
47,0.9914530098438262,0.0,3,<function dropout at 0x7f1491984a60>,8,1024,rect,0.01,0.9837297201156616
48,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,16,256,rect,10.0,0.47684603929519653
49,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,16,256,rect,1.0,0.47684603929519653
50,0.46438745260238645,0.0,3,<function dropout at 0x7f1491984a60>,16,256,rect,0.1,0.47684603929519653
51,0.9943020164966584,0.0,3,<function dropout at 0x7f1491984a60>,16,256,rect,0.01,0.9799750447273254
52,0.4643874764442444,0.0,3,<function dropout at 0x7f1491984a60>,16,512,rect,10.0,0.47684603929519653
53,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,16,512,rect,1.0,0.47684603929519653
54,0.46438749432563786,0.0,3,<function dropout at 0x7f1491984a60>,16,512,rect,0.1,0.47684603929519653
55,0.9914530277252196,0.0,3,<function dropout at 0x7f1491984a60>,16,512,rect,0.01,0.982478141784668
56,0.46438745260238645,0.0,3,<function dropout at 0x7f1491984a60>,16,1024,rect,10.0,0.47684603929519653
57,0.4643874645233155,0.0,3,<function dropout at 0x7f1491984a60>,16,1024,rect,1.0,0.47684603929519653
58,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,16,1024,rect,0.1,0.47684603929519653
59,0.9857549071311953,0.0,3,<function dropout at 0x7f1491984a60>,16,1024,rect,0.01,0.9862328767776489
60,0.46438746452331536,0.0,3,<function dropout at 0x7f1491984a60>,32,256,rect,10.0,0.47684603929519653
61,0.4643874526023864,0.0,3,<function dropout at 0x7f1491984a60>,32,256,rect,1.0,0.47684603929519653
62,0.46438746452331536,0.0,3,<function dropout at 0x7f1491984a60>,32,256,rect,0.1,0.47684603929519653
63,0.9720797657966612,0.0,3,<function dropout at 0x7f1491984a60>,32,256,rect,0.01,0.973717212677002
64,0.46438747048377993,0.0,3,<function dropout at 0x7f1491984a60>,32,512,rect,10.0,0.47684603929519653
65,0.4643874645233155,0.0,3,<function dropout at 0x7f1491984a60>,32,512,rect,1.0,0.47684603929519653
66,0.4643874585628509,0.0,3,<function dropout at 0x7f1491984a60>,32,512,rect,0.1,0.47684603929519653
67,0.9746438741683958,0.0,3,<function dropout at 0x7f1491984a60>,32,512,rect,0.01,0.9774718880653381
68,0.4643874704837799,0.0,3,<function dropout at 0x7f1491984a60>,32,1024,rect,10.0,0.47684603929519653
69,0.4643874526023864,0.0,3,<function dropout at 0x7f1491984a60>,32,1024,rect,1.0,0.47684603929519653
70,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,32,1024,rect,0.1,0.47684603929519653
71,0.9886039495468139,0.0,3,<function dropout at 0x7f1491984a60>,32,1024,rect,0.01,0.9799749851226807
72,0.46438745260238645,0.5,3,<function dropout at 0x7f1491984a60>,2,256,rect,10.0,0.47684603929519653
73,0.49772078692913047,0.5,3,<function dropout at 0x7f1491984a60>,2,256,rect,1.0,0.47684603929519653
74,0.9880341827869417,0.5,3,<function dropout at 0x7f1491984a60>,2,256,rect,0.1,0.9849812984466553
75,0.9592592239379883,0.5,3,<function dropout at 0x7f1491984a60>,2,256,rect,0.01,0.9586985111236572
76,0.4643874645233154,0.5,3,<function dropout at 0x7f1491984a60>,2,512,rect,10.0,0.47684603929519653
77,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,2,512,rect,1.0,0.47684603929519653
78,0.994017118215561,0.5,3,<function dropout at 0x7f1491984a60>,2,512,rect,0.1,0.9874844551086426
79,0.9689458549022676,0.5,3,<function dropout at 0x7f1491984a60>,2,512,rect,0.01,0.9637047052383423
80,0.4643874645233154,0.5,3,<function dropout at 0x7f1491984a60>,2,1024,rect,10.0,0.4768460988998413
81,0.46438745260238645,0.5,3,<function dropout at 0x7f1491984a60>,2,1024,rect,1.0,0.47684603929519653
82,0.9840455234050751,0.5,3,<function dropout at 0x7f1491984a60>,2,1024,rect,0.1,0.9749687910079956
83,0.9826211094856262,0.5,3,<function dropout at 0x7f1491984a60>,2,1024,rect,0.01,0.973717212677002
84,0.46438746452331536,0.5,3,<function dropout at 0x7f1491984a60>,3,256,rect,10.0,0.47684603929519653
85,0.46438746452331536,0.5,3,<function dropout at 0x7f1491984a60>,3,256,rect,1.0,0.47684603929519653
86,0.9871794760227205,0.5,3,<function dropout at 0x7f1491984a60>,3,256,rect,0.1,0.9787235260009766
87,0.9663817405700683,0.5,3,<function dropout at 0x7f1491984a60>,3,256,rect,0.01,0.948685884475708
88,0.4643874645233154,0.5,3,<function dropout at 0x7f1491984a60>,3,512,rect,10.0,0.47684603929519653
89,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,3,512,rect,1.0,0.47684603929519653
90,0.9945869147777556,0.5,3,<function dropout at 0x7f1491984a60>,3,512,rect,0.1,0.9849812984466553
91,0.9717948853969575,0.5,3,<function dropout at 0x7f1491984a60>,3,512,rect,0.01,0.957446813583374
92,0.4643874585628509,0.5,3,<function dropout at 0x7f1491984a60>,3,1024,rect,10.0,0.47684603929519653
93,0.4643874645233154,0.5,3,<function dropout at 0x7f1491984a60>,3,1024,rect,1.0,0.47684603929519653
94,0.9948718070983886,0.5,3,<function dropout at 0x7f1491984a60>,3,1024,rect,0.1,0.9887360334396362
95,0.9729344725608826,0.5,3,<function dropout at 0x7f1491984a60>,3,1024,rect,0.01,0.9699625372886658
96,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,4,256,rect,10.0,0.47684603929519653
97,0.46438745856285085,0.5,3,<function dropout at 0x7f1491984a60>,4,256,rect,1.0,0.47684603929519653
98,0.9846153676509858,0.5,3,<function dropout at 0x7f1491984a60>,4,256,rect,0.1,0.982478141784668
99,0.970370399951935,0.5,3,<function dropout at 0x7f1491984a60>,4,256,rect,0.01,0.9561952948570251
100,0.46438745260238645,0.5,3,<function dropout at 0x7f1491984a60>,4,512,rect,10.0,0.47684603929519653
101,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,4,512,rect,1.0,0.47684603929519653
102,0.991452956199646,0.5,3,<function dropout at 0x7f1491984a60>,4,512,rect,0.1,0.9862328767776489
103,0.9740740656852723,0.5,3,<function dropout at 0x7f1491984a60>,4,512,rect,0.01,0.948685884475708
104,0.46438745856285096,0.5,3,<function dropout at 0x7f1491984a60>,4,1024,rect,10.0,0.47684603929519653
105,0.4643874585628509,0.5,3,<function dropout at 0x7f1491984a60>,4,1024,rect,1.0,0.47684603929519653
106,0.9965812146663665,0.5,3,<function dropout at 0x7f1491984a60>,4,1024,rect,0.1,0.9849812984466553
107,0.9612535417079925,0.5,3,<function dropout at 0x7f1491984a60>,4,1024,rect,0.01,0.9624531269073486
108,0.46438746452331536,0.5,3,<function dropout at 0x7f1491984a60>,8,256,rect,10.0,0.47684603929519653
109,0.4643874585628509,0.5,3,<function dropout at 0x7f1491984a60>,8,256,rect,1.0,0.47684603929519653
110,0.9794871747493743,0.5,3,<function dropout at 0x7f1491984a60>,8,256,rect,0.1,0.9762203693389893
111,0.6304842948913574,0.5,3,<function dropout at 0x7f1491984a60>,8,256,rect,0.01,0.5982478260993958
112,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,8,512,rect,10.0,0.47684603929519653
113,0.4643874585628509,0.5,3,<function dropout at 0x7f1491984a60>,8,512,rect,1.0,0.47684603929519653
114,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,8,512,rect,0.1,0.47684603929519653
115,0.9621082365512849,0.5,3,<function dropout at 0x7f1491984a60>,8,512,rect,0.01,0.944931149482727
116,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,8,1024,rect,10.0,0.47684603929519653
117,0.4643874645233154,0.5,3,<function dropout at 0x7f1491984a60>,8,1024,rect,1.0,0.47684603929519653
118,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,8,1024,rect,0.1,0.47684603929519653
119,0.9737891614437103,0.5,3,<function dropout at 0x7f1491984a60>,8,1024,rect,0.01,0.9612014889717102
120,0.4643874585628509,0.5,3,<function dropout at 0x7f1491984a60>,16,256,rect,10.0,0.47684603929519653
121,0.46438745856285096,0.5,3,<function dropout at 0x7f1491984a60>,16,256,rect,1.0,0.47684603929519653
122,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,16,256,rect,0.1,0.47684603929519653
123,0.5495726346969605,0.5,3,<function dropout at 0x7f1491984a60>,16,256,rect,0.01,0.5018773674964905
124,0.4643874645233154,0.5,3,<function dropout at 0x7f1491984a60>,16,512,rect,10.0,0.47684603929519653
125,0.4643874585628509,0.5,3,<function dropout at 0x7f1491984a60>,16,512,rect,1.0,0.47684603929519653
126,0.4643874704837799,0.5,3,<function dropout at 0x7f1491984a60>,16,512,rect,0.1,0.47684603929519653
127,0.564102554321289,0.5,3,<function dropout at 0x7f1491984a60>,16,512,rect,0.01,0.5657072067260742
128,0.4643874764442444,0.5,3,<function dropout at 0x7f1491984a60>,16,1024,rect,10.0,0.47684603929519653
129,0.4643874704837799,0.5,3,<function dropout at 0x7f1491984a60>,16,1024,rect,1.0,0.47684603929519653
130,0.4643874645233154,0.5,3,<function dropout at 0x7f1491984a60>,16,1024,rect,0.1,0.47684603929519653
131,0.6025640904903413,0.5,3,<function dropout at 0x7f1491984a60>,16,1024,rect,0.01,0.7234042882919312
132,0.46438745260238645,0.5,3,<function dropout at 0x7f1491984a60>,32,256,rect,10.0,0.47684603929519653
133,0.46438744664192194,0.5,3,<function dropout at 0x7f1491984a60>,32,256,rect,1.0,0.47684603929519653
