,nstart,testAccuracy,learningrate,dropoutFn,nlayers,activationFn,valAccuracy,dR,layerForm
17,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.5,cone
18,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.0,cone
19,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.5,cone
20,256,0.3243243396282196,1.0,<function dropout at 0x7faed0239a60>,16,3,0.3538461685180664,0.0,cone
21,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
22,256,0.3243243396282196,1.0,<function dropout at 0x7faed0239a60>,32,3,0.20769231617450712,0.0,cone
23,256,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
24,256,0.9729729890823364,0.1,<function dropout at 0x7faed0239a60>,2,3,0.9999999999999999,0.0,cone
25,256,0.9189189672470093,0.1,<function dropout at 0x7faed0239a60>,2,3,0.992307698726654,0.5,cone
26,256,0.9729729890823364,0.1,<function dropout at 0x7faed0239a60>,3,3,0.9923076987266539,0.0,cone
27,256,0.8378379344940186,0.1,<function dropout at 0x7faed0239a60>,3,3,0.9615384936332702,0.5,cone
28,256,0.9729729890823364,0.1,<function dropout at 0x7faed0239a60>,4,3,0.9846153974533081,0.0,cone
29,256,0.810810923576355,0.1,<function dropout at 0x7faed0239a60>,4,3,0.9230769872665404,0.5,cone
30,256,0.9189189672470093,0.1,<function dropout at 0x7faed0239a60>,8,3,0.9692307949066161,0.0,cone
31,256,0.3243243396282196,0.1,<function dropout at 0x7faed0239a60>,8,3,0.20000001192092895,0.5,cone
32,256,0.9729729890823364,0.1,<function dropout at 0x7faed0239a60>,16,3,0.9692307949066161,0.0,cone
33,256,0.35135138034820557,0.1,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
34,256,0.7837837934494019,0.1,<function dropout at 0x7faed0239a60>,32,3,0.9307692885398864,0.0,cone
35,256,0.3243243396282196,0.1,<function dropout at 0x7faed0239a60>,32,3,0.1615384683012962,0.5,cone
36,256,0.810810923576355,0.01,<function dropout at 0x7faed0239a60>,2,3,0.9230769872665404,0.0,cone
37,256,0.810810923576355,0.01,<function dropout at 0x7faed0239a60>,2,3,0.9230769872665404,0.5,cone
38,256,0.9729729890823364,0.01,<function dropout at 0x7faed0239a60>,3,3,0.9999999999999999,0.0,cone
39,256,0.7837837934494019,0.01,<function dropout at 0x7faed0239a60>,3,3,0.9230769872665404,0.5,cone
40,256,0.8648649454116821,0.01,<function dropout at 0x7faed0239a60>,4,3,0.9999999999999999,0.0,cone
41,256,0.8378379344940186,0.01,<function dropout at 0x7faed0239a60>,4,3,0.9923076987266539,0.5,cone
42,256,0.9729729890823364,0.01,<function dropout at 0x7faed0239a60>,8,3,0.9923076987266539,0.0,cone
43,256,0.5405405759811401,0.01,<function dropout at 0x7faed0239a60>,8,3,0.7692308425903319,0.5,cone
44,256,1.0,0.01,<function dropout at 0x7faed0239a60>,16,3,0.9846153974533081,0.0,cone
45,256,0.5405405759811401,0.01,<function dropout at 0x7faed0239a60>,16,3,0.4692307919263839,0.5,cone
46,256,0.9459459781646729,0.01,<function dropout at 0x7faed0239a60>,32,3,0.9846153974533081,0.0,cone
47,256,0.35135138034820557,0.01,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
48,512,0.4054054319858551,10.0,<function dropout at 0x7faed0239a60>,2,3,0.15384615957736966,0.0,cone
49,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.5,cone
50,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.0,cone
51,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.5,cone
52,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.0,cone
53,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.5,cone
54,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.0,cone
55,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.5,cone
56,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.0,cone
57,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
58,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.0,cone
59,512,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
60,512,0.3243243396282196,1.0,<function dropout at 0x7faed0239a60>,2,3,0.2307692468166351,0.0,cone
61,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.5,cone
62,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.0,cone
63,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.5,cone
64,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.0,cone
65,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.5,cone
66,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.0,cone
67,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.5,cone
68,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,16,3,0.5769230991601944,0.0,cone
69,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
70,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.0,cone
71,512,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
72,512,1.0,0.1,<function dropout at 0x7faed0239a60>,2,3,0.9846153974533081,0.0,cone
73,512,0.810810923576355,0.1,<function dropout at 0x7faed0239a60>,2,3,0.9615384936332702,0.5,cone
74,512,0.9729729890823364,0.1,<function dropout at 0x7faed0239a60>,3,3,0.976923096179962,0.0,cone
75,512,0.8378379344940186,0.1,<function dropout at 0x7faed0239a60>,3,3,0.9230769872665404,0.5,cone
76,512,0.9459459781646729,0.1,<function dropout at 0x7faed0239a60>,4,3,0.9923076987266539,0.0,cone
77,512,0.7837837934494019,0.1,<function dropout at 0x7faed0239a60>,4,3,0.9230769872665404,0.5,cone
78,512,0.9729729890823364,0.1,<function dropout at 0x7faed0239a60>,8,3,0.992307698726654,0.0,cone
79,512,0.35135138034820557,0.1,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.5,cone
80,512,0.3243243396282196,0.1,<function dropout at 0x7faed0239a60>,16,3,0.2230769380927086,0.0,cone
81,512,0.35135138034820557,0.1,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
82,512,0.7297297716140747,0.1,<function dropout at 0x7faed0239a60>,32,3,0.8692308247089384,0.0,cone
83,512,0.35135138034820557,0.1,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
84,512,0.8918919563293457,0.01,<function dropout at 0x7faed0239a60>,2,3,0.9999999999999999,0.0,cone
85,512,0.8378379344940186,0.01,<function dropout at 0x7faed0239a60>,2,3,0.9692307949066161,0.5,cone
86,512,0.8918919563293457,0.01,<function dropout at 0x7faed0239a60>,3,3,0.9999999999999999,0.0,cone
87,512,0.8378379344940186,0.01,<function dropout at 0x7faed0239a60>,3,3,0.9692307949066161,0.5,cone
88,512,0.8918919563293457,0.01,<function dropout at 0x7faed0239a60>,4,3,0.9999999999999999,0.0,cone
89,512,0.8378379344940186,0.01,<function dropout at 0x7faed0239a60>,4,3,0.992307698726654,0.5,cone
90,512,0.9729729890823364,0.01,<function dropout at 0x7faed0239a60>,8,3,0.9999999999999999,0.0,cone
91,512,0.7297297716140747,0.01,<function dropout at 0x7faed0239a60>,8,3,0.8461539149284362,0.5,cone
92,512,0.9459459185600281,0.01,<function dropout at 0x7faed0239a60>,16,3,0.9999999999999999,0.0,cone
93,512,0.18918919563293457,0.01,<function dropout at 0x7faed0239a60>,16,3,0.2307692386209965,0.5,cone
94,512,0.9729729890823364,0.01,<function dropout at 0x7faed0239a60>,32,3,0.9307692766189574,0.0,cone
95,512,0.35135138034820557,0.01,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
96,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.0,cone
97,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.5,cone
98,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.0,cone
99,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.5,cone
100,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.0,cone
101,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.5,cone
102,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.0,cone
103,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.5,cone
104,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.0,cone
105,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
106,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.0,cone
107,1024,0.35135138034820557,10.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
108,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.0,cone
109,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,2,3,0.6153846383094786,0.5,cone
110,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.0,cone
111,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,3,3,0.6153846383094786,0.5,cone
112,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.0,cone
113,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,4,3,0.6153846383094786,0.5,cone
114,1024,0.3243243396282196,1.0,<function dropout at 0x7faed0239a60>,8,3,0.3307692468166351,0.0,cone
115,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,8,3,0.6153846383094786,0.5,cone
116,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.0,cone
117,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,16,3,0.6153846383094786,0.5,cone
118,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.0,cone
119,1024,0.35135138034820557,1.0,<function dropout at 0x7faed0239a60>,32,3,0.6153846383094786,0.5,cone
120,1024,0.8918919563293457,0.1,<function dropout at 0x7faed0239a60>,2,3,0.9769230961799621,0.0,cone
121,1024,0.8918919563293457,0.1,<function dropout at 0x7faed0239a60>,2,3,0.9769230961799621,0.5,cone
122,1024,1.0,0.1,<function dropout at 0x7faed0239a60>,3,3,0.992307698726654,0.0,cone
123,1024,0.8378379344940186,0.1,<function dropout at 0x7faed0239a60>,3,3,0.9846153974533081,0.5,cone
124,1024,1.0,0.1,<function dropout at 0x7faed0239a60>,4,3,0.9923076987266539,0.0,cone
125,1024,0.7837837934494019,0.1,<function dropout at 0x7faed0239a60>,4,3,0.8769231438636779,0.5,cone
126,1024,0.9459459185600281,0.1,<function dropout at 0x7faed0239a60>,8,3,0.9692307949066161,0.0,cone
