,dropoutFn,activationFn,nstart,learningrate,nlayers,layerForm,testAccuracy,dR,valAccuracy
69,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,16,rect,0.5375000238418579,0.5,0.5044247508049011
70,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,32,rect,0.5375000238418579,0.0,0.5044247508049011
71,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,32,rect,0.5375000238418579,0.5,0.5044247508049011
72,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,2,rect,0.8208333849906921,0.0,0.8221239030361176
73,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,2,rect,0.8125000596046448,0.5,0.8442478001117707
74,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,3,rect,0.8291667699813843,0.0,0.8292035400867462
75,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,3,rect,0.8208333849906921,0.5,0.8336283326148988
76,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,4,rect,0.8041667342185974,0.0,0.8451327562332155
77,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,4,rect,0.8041667342185974,0.5,0.8203539848327638
78,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,8,rect,0.5375000238418579,0.0,0.5044247508049011
79,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,8,rect,0.5375000238418579,0.5,0.5044247508049011
80,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,16,rect,0.5375000238418579,0.0,0.5044247508049011
81,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,16,rect,0.5375000238418579,0.5,0.5044247508049011
82,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,32,rect,0.5375000238418579,0.0,0.5044247508049011
83,<function dropout at 0x7f89ef9e1a60>,3,512,0.1,32,rect,0.5375000834465027,0.5,0.5044247508049011
84,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,2,rect,0.8125000596046448,0.0,0.8336283206939699
85,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,2,rect,0.8208334445953369,0.5,0.8230088710784913
86,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,3,rect,0.8125000596046448,0.0,0.843362843990326
87,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,3,rect,0.8208334445953369,0.5,0.8115044236183165
88,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,4,rect,0.8125000596046448,0.0,0.8353982329368592
89,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,4,rect,0.8125000596046448,0.5,0.8106194734573363
90,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,8,rect,0.8250000476837158,0.0,0.8371681571006776
91,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,8,rect,0.8166667222976685,0.5,0.8035398483276367
92,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,16,rect,0.8291667103767395,0.0,0.8548672795295715
93,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,16,rect,0.46250006556510925,0.5,0.506194692850113
94,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,32,rect,0.8083333969116211,0.0,0.8469026684761047
95,<function dropout at 0x7f89ef9e1a60>,3,512,0.01,32,rect,0.5375000238418579,0.5,0.5044247508049011
96,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,2,rect,0.5375000238418579,0.0,0.5053097069263458
97,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,2,rect,0.5375000238418579,0.5,0.5044247508049011
98,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,3,rect,0.5375000238418579,0.0,0.5044247508049011
99,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,3,rect,0.5375000834465027,0.5,0.5044247508049011
100,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,4,rect,0.5375000238418579,0.0,0.5044247508049011
101,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,4,rect,0.5375000238418579,0.5,0.5044247508049011
102,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,8,rect,0.5375000238418579,0.0,0.5044247508049011
103,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,8,rect,0.5375000238418579,0.5,0.5044247508049011
104,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,16,rect,0.5375000834465027,0.0,0.5044247508049011
105,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,16,rect,0.5375000238418579,0.5,0.5044247508049011
106,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,32,rect,0.5375000834465027,0.0,0.5044247508049011
107,<function dropout at 0x7f89ef9e1a60>,3,1024,10.0,32,rect,0.5375000238418579,0.5,0.5044247508049011
108,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,2,rect,0.5375000834465027,0.0,0.5044247508049011
109,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,2,rect,0.5375000238418579,0.5,0.5044247508049011
110,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,3,rect,0.5375000834465027,0.0,0.5053097069263458
111,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,3,rect,0.5375000238418579,0.5,0.5044247508049011
112,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,4,rect,0.5375000834465027,0.0,0.5044247508049011
113,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,4,rect,0.5375000238418579,0.5,0.5044247508049011
114,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,8,rect,0.5375000834465027,0.0,0.5044247508049011
115,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,8,rect,0.5375000238418579,0.5,0.5044247508049011
116,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,16,rect,0.5375000238418579,0.0,0.5044247508049011
117,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,16,rect,0.5375000834465027,0.5,0.5044247508049011
118,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,32,rect,0.5375000834465027,0.0,0.5044247508049011
119,<function dropout at 0x7f89ef9e1a60>,3,1024,1.0,32,rect,0.5375000238418579,0.5,0.5044247508049011
120,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,2,rect,0.7916667461395264,0.0,0.8097345113754272
121,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,2,rect,0.8291667699813843,0.5,0.8274336218833923
122,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,3,rect,0.8083334565162659,0.0,0.8389380693435667
123,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,3,rect,0.7875000238418579,0.5,0.8247787773609161
124,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,4,rect,0.5375000238418579,0.0,0.5203539609909058
125,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,4,rect,0.8166667222976685,0.5,0.8292035460472107
126,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,8,rect,0.5375000834465027,0.0,0.5044247508049011
127,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,8,rect,0.5375000238418579,0.5,0.5044247508049011
128,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,16,rect,0.5375000238418579,0.0,0.5044247508049011
129,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,16,rect,0.5375000834465027,0.5,0.5044247508049011
130,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,32,rect,0.5375000238418579,0.0,0.5044247508049011
131,<function dropout at 0x7f89ef9e1a60>,3,1024,0.1,32,rect,0.5375000834465027,0.5,0.5044247508049011
132,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,2,rect,0.8125000596046448,0.0,0.8274336457252504
133,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,2,rect,0.8208333849906921,0.5,0.8247787773609163
134,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,3,rect,0.833333432674408,0.0,0.8389380753040315
135,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,3,rect,0.8208333849906921,0.5,0.813274347782135
136,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,4,rect,0.8208333849906921,0.0,0.8407079875469208
137,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,4,rect,0.8083333969116211,0.5,0.8115044295787812
138,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,8,rect,0.79583340883255,0.0,0.8424778938293457
139,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,8,rect,0.8291667699813843,0.5,0.7920354008674623
140,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,16,rect,0.8291667699813843,0.0,0.8513274431228638
141,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,16,rect,0.32083335518836975,0.5,0.3380530968308449
142,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,32,rect,0.8166667222976685,0.0,0.8557522237300872
143,<function dropout at 0x7f89ef9e1a60>,3,1024,0.01,32,rect,0.5375000238418579,0.5,0.5044247508049011
