,nlayers,dR,layerForm,nstart,dropoutFn,valAccuracy,activationFn,learningrate,testAccuracy
18,2,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.851111137866974,3,0.1,0.8333333730697632
19,2,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.7444444894790649,3,0.01,0.644444465637207
20,2,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
21,2,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04666666798293591,3,1.0,0.06666667014360428
22,2,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.7977778315544131,3,0.1,0.7444444894790649
23,2,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.7800000548362733,3,0.01,0.7111111879348755
24,3,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
25,3,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04666666798293591,3,1.0,0.06666667014360428
26,3,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.8200000107288361,3,0.1,0.7888889312744141
27,3,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.7644444942474365,3,0.01,0.8444445133209229
28,3,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
29,3,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
30,3,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8288889169692994,3,0.1,0.800000011920929
31,3,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8644444823265077,3,0.01,0.8000000715255737
32,3,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
33,3,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
34,3,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.8333333730697633,3,0.1,0.8333333730697632
35,3,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.7822222590446472,3,0.01,0.7444444894790649
36,3,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
37,3,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
38,3,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.8466666936874392,3,0.1,0.8777778148651123
39,3,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.7666666805744171,3,0.01,0.7000000476837158
40,3,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
41,3,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04666666798293591,3,1.0,0.06666667014360428
42,3,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.8333333849906923,3,0.1,0.7888889312744141
43,3,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.7533333539962769,3,0.01,0.6777778267860413
44,3,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
45,3,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
46,3,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.8155556082725526,3,0.1,0.8333333730697632
47,3,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.8022222757339479,3,0.01,0.7333333492279053
48,4,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
49,4,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04666666798293591,3,1.0,0.06666667014360428
50,4,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.8222222566604616,3,0.1,0.8000000715255737
51,4,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.8177778005599976,3,0.01,0.8222222328186035
52,4,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
53,4,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
54,4,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8244444608688355,3,0.1,0.8444445133209229
55,4,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8200000166893006,3,0.01,0.8111110925674438
56,4,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
57,4,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
58,4,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.8177778124809266,3,0.1,0.8555556535720825
59,4,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.8200000405311585,3,0.01,0.7444444894790649
60,4,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
61,4,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
62,4,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.8000000596046449,3,0.1,0.7111111879348755
63,4,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.70888894200325,3,0.01,0.5777778625488281
64,4,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
65,4,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
66,4,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.7711111426353455,3,0.1,0.7222222685813904
67,4,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.7733333587646485,3,0.01,0.6888889074325562
68,4,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
69,4,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
70,4,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.697777819633484,3,0.1,0.6555556058883667
71,4,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.7688889145851135,3,0.01,0.6333333849906921
72,8,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
73,8,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
74,8,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.8688889145851136,3,0.1,0.8111111521720886
75,8,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.8177778005599976,3,0.01,0.8222222924232483
76,8,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
77,8,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
78,8,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8444445133209231,3,0.1,0.8555555939674377
79,8,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8422222852706911,3,0.01,0.8444444537162781
80,8,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
81,8,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
82,8,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.08444444797933102,3,0.1,0.06666667014360428
83,8,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.7977778196334839,3,0.01,0.8111112117767334
84,8,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
85,8,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
86,8,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.08222222477197648,3,0.1,0.06666667014360428
87,8,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.36444448232650756,3,0.01,0.3888889253139496
88,8,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
89,8,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
90,8,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04888889007270336,3,0.1,0.06666667014360428
91,8,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.4266666978597641,3,0.01,0.45555561780929565
92,8,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
93,8,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
94,8,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
95,8,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.48444447517395023,3,0.01,0.444444477558136
96,16,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
97,16,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
98,16,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.0488888904452324,3,0.1,0.06666667014360428
99,16,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.8311111688613894,3,0.01,0.8666667342185974
100,16,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
101,16,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
102,16,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04666666798293591,3,0.1,0.06666667014360428
103,16,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8444445133209231,3,0.01,0.8555555939674377
104,16,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
105,16,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
106,16,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
107,16,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.846666729450226,3,0.01,0.8666666746139526
108,16,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
109,16,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
110,16,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
111,16,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.07555555850267412,3,0.01,0.06666667014360428
112,16,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
113,16,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
114,16,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
115,16,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.09111111611127853,3,0.01,0.06666667014360428
116,16,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
117,16,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
118,16,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
119,16,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.06666666939854624,3,0.01,0.04444444552063942
120,32,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
121,32,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
122,32,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
123,32,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.7333333730697631,3,0.01,0.7888889312744141
124,32,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
125,32,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
126,32,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
127,32,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8244444608688355,3,0.01,0.8555556535720825
128,32,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
129,32,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
130,32,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
131,32,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.8444445133209231,3,0.01,0.8555555939674377
132,32,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
133,32,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
134,32,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
135,32,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.01,0.06666667014360428
136,32,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
137,32,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
138,32,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
139,32,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.01,0.06666667014360428
140,32,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
141,32,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
142,32,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.1,0.06666667014360428
143,32,0.5,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,0.01,0.06666667014360428
