,nstart,dR,valAccuracy,activationFn,dropoutFn,learningrate,layerForm,nlayers,testAccuracy
34,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,16,0.1654135286808014
35,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,32,0.16541354358196259
36,256,0.5,0.9157895088195801,3,<function dropout at 0x7f84ab386a60>,0.1,cone,2,0.9097744226455688
37,256,0.5,0.8947368800640106,3,<function dropout at 0x7f84ab386a60>,0.1,cone,3,0.8947368860244751
38,256,0.5,0.8649122834205628,3,<function dropout at 0x7f84ab386a60>,0.1,cone,4,0.8571429252624512
39,256,0.5,0.6578947305679322,3,<function dropout at 0x7f84ab386a60>,0.1,cone,8,0.6766916513442993
40,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.1,cone,16,0.1654135286808014
41,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.1,cone,32,0.1654135286808014
42,256,0.5,0.8771929740905761,3,<function dropout at 0x7f84ab386a60>,0.01,cone,2,0.8571428656578064
43,256,0.5,0.8947368860244752,3,<function dropout at 0x7f84ab386a60>,0.01,cone,3,0.864661693572998
44,256,0.5,0.8333333432674408,3,<function dropout at 0x7f84ab386a60>,0.01,cone,4,0.834586501121521
45,256,0.5,0.5807017326354981,3,<function dropout at 0x7f84ab386a60>,0.01,cone,8,0.6315789222717285
46,256,0.5,0.5263158082962037,3,<function dropout at 0x7f84ab386a60>,0.01,cone,16,0.5563910007476807
47,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.01,cone,32,0.1654135286808014
48,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,2,0.1654135286808014
49,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,3,0.16541354358196259
50,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,4,0.1654135286808014
51,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,8,0.1654135286808014
52,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,16,0.1654135286808014
53,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,32,0.1654135286808014
54,512,0.0,0.18771929889917374,3,<function dropout at 0x7f84ab386a60>,1.0,cone,2,0.1654135286808014
55,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,3,0.1654135286808014
56,512,0.0,0.21578947454690933,3,<function dropout at 0x7f84ab386a60>,1.0,cone,4,0.1654135286808014
57,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,8,0.1654135286808014
58,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,16,0.1654135286808014
59,512,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,32,0.16541354358196259
60,512,0.0,0.8947368860244752,3,<function dropout at 0x7f84ab386a60>,0.1,cone,2,0.8947368264198303
61,512,0.0,0.8877193391323092,3,<function dropout at 0x7f84ab386a60>,0.1,cone,3,0.9097744226455688
62,512,0.0,0.8982456564903261,3,<function dropout at 0x7f84ab386a60>,0.1,cone,4,0.902255654335022
63,512,0.0,0.880701780319214,3,<function dropout at 0x7f84ab386a60>,0.1,cone,8,0.9248120784759521
64,512,0.0,0.8824561715126038,3,<function dropout at 0x7f84ab386a60>,0.1,cone,16,0.8496240377426147
65,512,0.0,0.2035087749361992,3,<function dropout at 0x7f84ab386a60>,0.1,cone,32,0.1654135286808014
66,512,0.0,0.8736842036247252,3,<function dropout at 0x7f84ab386a60>,0.01,cone,2,0.834586501121521
67,512,0.0,0.8491228342056275,3,<function dropout at 0x7f84ab386a60>,0.01,cone,3,0.8796992301940918
68,512,0.0,0.8403508782386779,3,<function dropout at 0x7f84ab386a60>,0.01,cone,4,0.864661693572998
69,512,0.0,0.8912281155586244,3,<function dropout at 0x7f84ab386a60>,0.01,cone,8,0.8872180581092834
70,512,0.0,0.8789474189281462,3,<function dropout at 0x7f84ab386a60>,0.01,cone,16,0.8796992301940918
71,512,0.0,0.8947368741035461,3,<function dropout at 0x7f84ab386a60>,0.01,cone,32,0.8721804618835449
72,512,0.5,0.19824561625719073,3,<function dropout at 0x7f84ab386a60>,10.0,cone,2,0.16541354358196259
73,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,3,0.1654135286808014
74,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,4,0.1654135286808014
75,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,8,0.16541354358196259
76,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,16,0.1654135286808014
77,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,32,0.16541354358196259
78,512,0.5,0.18070175498723984,3,<function dropout at 0x7f84ab386a60>,1.0,cone,2,0.1654135286808014
79,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,3,0.1654135286808014
80,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,4,0.1654135286808014
81,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,8,0.1654135286808014
82,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,16,0.1654135286808014
83,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,32,0.1654135286808014
84,512,0.5,0.8929824829101562,3,<function dropout at 0x7f84ab386a60>,0.1,cone,2,0.8947368860244751
85,512,0.5,0.9157895088195801,3,<function dropout at 0x7f84ab386a60>,0.1,cone,3,0.8796992301940918
86,512,0.5,0.8877193152904511,3,<function dropout at 0x7f84ab386a60>,0.1,cone,4,0.8721804618835449
87,512,0.5,0.5280701875686646,3,<function dropout at 0x7f84ab386a60>,0.1,cone,8,0.5563909411430359
88,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.1,cone,16,0.1654135286808014
89,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.1,cone,32,0.1654135286808014
90,512,0.5,0.810526329278946,3,<function dropout at 0x7f84ab386a60>,0.01,cone,2,0.8421052694320679
91,512,0.5,0.8824561893939972,3,<function dropout at 0x7f84ab386a60>,0.01,cone,3,0.8496240377426147
92,512,0.5,0.8421052694320678,3,<function dropout at 0x7f84ab386a60>,0.01,cone,4,0.8421052694320679
93,512,0.5,0.6350877344608308,3,<function dropout at 0x7f84ab386a60>,0.01,cone,8,0.6766917705535889
94,512,0.5,0.5263158082962037,3,<function dropout at 0x7f84ab386a60>,0.01,cone,16,0.5563910007476807
95,512,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.01,cone,32,0.1654135286808014
96,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,2,0.1654135286808014
97,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,3,0.16541354358196259
98,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,4,0.1654135286808014
99,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,8,0.16541354358196259
100,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,16,0.1654135286808014
101,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,32,0.1654135286808014
102,1024,0.0,0.2105263188481331,3,<function dropout at 0x7f84ab386a60>,1.0,cone,2,0.1654135286808014
103,1024,0.0,0.2105263188481331,3,<function dropout at 0x7f84ab386a60>,1.0,cone,3,0.1654135286808014
104,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,4,0.16541354358196259
105,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,8,0.1654135286808014
106,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,16,0.16541354358196259
107,1024,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,32,0.1654135286808014
108,1024,0.0,0.8701754868030548,3,<function dropout at 0x7f84ab386a60>,0.1,cone,2,0.8947368860244751
109,1024,0.0,0.88947371840477,3,<function dropout at 0x7f84ab386a60>,0.1,cone,3,0.8872179985046387
110,1024,0.0,0.9175438940525055,3,<function dropout at 0x7f84ab386a60>,0.1,cone,4,0.902255654335022
111,1024,0.0,0.8912281036376954,3,<function dropout at 0x7f84ab386a60>,0.1,cone,8,0.902255654335022
112,1024,0.0,0.8543859779834746,3,<function dropout at 0x7f84ab386a60>,0.1,cone,16,0.8947368860244751
113,1024,0.0,0.859649133682251,3,<function dropout at 0x7f84ab386a60>,0.1,cone,32,0.9097744226455688
114,1024,0.0,0.8596491813659668,3,<function dropout at 0x7f84ab386a60>,0.01,cone,2,0.8421052694320679
115,1024,0.0,0.8771929740905761,3,<function dropout at 0x7f84ab386a60>,0.01,cone,3,0.8872179985046387
116,1024,0.0,0.8912281036376954,3,<function dropout at 0x7f84ab386a60>,0.01,cone,4,0.8947368860244751
117,1024,0.0,0.8912281036376954,3,<function dropout at 0x7f84ab386a60>,0.01,cone,8,0.8872179985046387
118,1024,0.0,0.8578947603702545,3,<function dropout at 0x7f84ab386a60>,0.01,cone,16,0.8721804618835449
119,1024,0.0,0.8701754570007324,3,<function dropout at 0x7f84ab386a60>,0.01,cone,32,0.8646616339683533
120,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,2,0.16541354358196259
121,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,3,0.1654135286808014
122,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,4,0.1654135286808014
123,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,8,0.16541354358196259
124,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,16,0.1654135286808014
125,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,32,0.1654135286808014
126,1024,0.5,0.5263158082962037,3,<function dropout at 0x7f84ab386a60>,1.0,cone,2,0.5563910007476807
127,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,3,0.1654135286808014
128,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,4,0.1654135286808014
129,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,8,0.1654135286808014
130,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,16,0.1654135286808014
131,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,32,0.1654135286808014
132,1024,0.5,0.8807017564773558,3,<function dropout at 0x7f84ab386a60>,0.1,cone,2,0.8947368860244751
133,1024,0.5,0.9017544269561769,3,<function dropout at 0x7f84ab386a60>,0.1,cone,3,0.8796992301940918
134,1024,0.5,0.8666666686534881,3,<function dropout at 0x7f84ab386a60>,0.1,cone,4,0.8796992301940918
135,1024,0.5,0.18245614171028138,3,<function dropout at 0x7f84ab386a60>,0.1,cone,8,0.1654135286808014
136,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.1,cone,16,0.16541354358196259
137,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.1,cone,32,0.1654135286808014
138,1024,0.5,0.8877193212509156,3,<function dropout at 0x7f84ab386a60>,0.01,cone,2,0.8571429252624512
139,1024,0.5,0.8596491813659668,3,<function dropout at 0x7f84ab386a60>,0.01,cone,3,0.8496240973472595
140,1024,0.5,0.819298255443573,3,<function dropout at 0x7f84ab386a60>,0.01,cone,4,0.8270677328109741
141,1024,0.5,0.7614034950733185,3,<function dropout at 0x7f84ab386a60>,0.01,cone,8,0.7293232679367065
142,1024,0.5,0.5263158082962037,3,<function dropout at 0x7f84ab386a60>,0.01,cone,16,0.5563909411430359
143,1024,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,0.01,cone,32,0.1654135286808014
