,dropoutFn,learningrate,layerForm,testAccuracy,nstart,valAccuracy,dR,nlayers,activationFn
80,<function dropout at 0x7ff43089da60>,0.1,rect,0.7605633735656738,256,0.6483870863914489,0.5,4,3
81,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,256,0.5806451439857484,0.5,8,3
82,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,256,0.5806451439857484,0.5,16,3
83,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,256,0.5806451439857484,0.5,32,3
84,<function dropout at 0x7ff43089da60>,0.1,rect,0.5915493369102478,512,0.6677419185638428,0.0,2,3
85,<function dropout at 0x7ff43089da60>,0.1,rect,0.7887323498725891,512,0.674193525314331,0.0,3,3
86,<function dropout at 0x7ff43089da60>,0.1,rect,0.6760563254356384,512,0.6290322363376618,0.0,4,3
87,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,512,0.5806451439857484,0.0,8,3
88,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,512,0.5806451439857484,0.0,16,3
89,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,512,0.5806451439857484,0.0,32,3
90,<function dropout at 0x7ff43089da60>,0.1,rect,0.5492957234382629,512,0.6258064299821855,0.5,2,3
91,<function dropout at 0x7ff43089da60>,0.1,rect,0.7605634331703186,512,0.5870967537164689,0.5,3,3
92,<function dropout at 0x7ff43089da60>,0.1,rect,0.7183098793029785,512,0.5935483664274216,0.5,4,3
93,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,512,0.5806451439857484,0.5,8,3
94,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,512,0.5806451439857484,0.5,16,3
95,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,512,0.5806451439857484,0.5,32,3
96,<function dropout at 0x7ff43089da60>,0.1,rect,0.7183098196983337,1024,0.6225806236267091,0.0,2,3
97,<function dropout at 0x7ff43089da60>,0.1,rect,0.7183098196983337,1024,0.64838707447052,0.0,3,3
98,<function dropout at 0x7ff43089da60>,0.1,rect,0.6338028311729431,1024,0.6387096524238587,0.0,4,3
99,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,1024,0.5806451439857484,0.0,8,3
100,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,1024,0.5806451439857484,0.0,16,3
101,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,1024,0.5806451439857484,0.0,32,3
102,<function dropout at 0x7ff43089da60>,0.1,rect,0.7605633735656738,1024,0.596774172782898,0.5,2,3
103,<function dropout at 0x7ff43089da60>,0.1,rect,0.6619718074798584,1024,0.5870967566967011,0.5,3,3
104,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,1024,0.5806451439857484,0.5,4,3
105,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,1024,0.5806451439857484,0.5,8,3
106,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,1024,0.5806451439857484,0.5,16,3
107,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,1024,0.5806451439857484,0.5,32,3
