,nlayers,dR,activationFn,learningrate,nstart,valAccuracy,layerForm,testAccuracy,dropoutFn
41,3,0.5,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
42,3,0.5,3,0.1,256,0.5710622906684876,rect,0.5416666865348816,<function dropout at 0x7fd7f177ba60>
43,3,0.5,3,0.1,512,0.5487179726362228,rect,0.5040849447250366,<function dropout at 0x7fd7f177ba60>
44,3,0.5,3,0.1,1024,0.5322344541549683,rect,0.4991830289363861,<function dropout at 0x7fd7f177ba60>
45,3,0.5,3,0.01,256,0.5212454497814177,rect,0.5269607901573181,<function dropout at 0x7fd7f177ba60>
46,3,0.5,3,0.01,512,0.48882785439491266,rect,0.4771242141723633,<function dropout at 0x7fd7f177ba60>
47,3,0.5,3,0.01,1024,0.5100732952356338,rect,0.5073530077934265,<function dropout at 0x7fd7f177ba60>
48,4,0.0,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
49,4,0.0,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
50,4,0.0,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
51,4,0.0,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
52,4,0.0,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
53,4,0.0,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
54,4,0.0,3,0.1,256,0.606959730386734,rect,0.5857844352722168,<function dropout at 0x7fd7f177ba60>
55,4,0.0,3,0.1,512,0.5620879292488098,rect,0.540032684803009,<function dropout at 0x7fd7f177ba60>
56,4,0.0,3,0.1,1024,0.6333333492279053,rect,0.595588207244873,<function dropout at 0x7fd7f177ba60>
57,4,0.0,3,0.01,256,0.5921245634555816,rect,0.5473856329917908,<function dropout at 0x7fd7f177ba60>
58,4,0.0,3,0.01,512,0.58095241189003,rect,0.5563725829124451,<function dropout at 0x7fd7f177ba60>
59,4,0.0,3,0.01,1024,0.5945055067539216,rect,0.5473856329917908,<function dropout at 0x7fd7f177ba60>
60,4,0.5,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
61,4,0.5,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
62,4,0.5,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
63,4,0.5,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
64,4,0.5,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
65,4,0.5,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
66,4,0.5,3,0.1,256,0.5661172449588775,rect,0.5531046390533447,<function dropout at 0x7fd7f177ba60>
67,4,0.5,3,0.1,512,0.5503663301467895,rect,0.5563725829124451,<function dropout at 0x7fd7f177ba60>
68,4,0.5,3,0.1,1024,0.51391943693161,rect,0.4820261597633362,<function dropout at 0x7fd7f177ba60>
69,4,0.5,3,0.01,256,0.47893774509429926,rect,0.4942810833454132,<function dropout at 0x7fd7f177ba60>
70,4,0.5,3,0.01,512,0.4941392064094543,rect,0.4950980544090271,<function dropout at 0x7fd7f177ba60>
71,4,0.5,3,0.01,1024,0.43003664016723625,rect,0.42647063732147217,<function dropout at 0x7fd7f177ba60>
72,8,0.0,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
73,8,0.0,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
74,8,0.0,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
75,8,0.0,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
76,8,0.0,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
77,8,0.0,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
78,8,0.0,3,0.1,256,0.6494505703449249,rect,0.6135621666908264,<function dropout at 0x7fd7f177ba60>
79,8,0.0,3,0.1,512,0.5706959962844849,rect,0.5416667461395264,<function dropout at 0x7fd7f177ba60>
80,8,0.0,3,0.1,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
81,8,0.0,3,0.01,256,0.5864469110965728,rect,0.5506536364555359,<function dropout at 0x7fd7f177ba60>
82,8,0.0,3,0.01,512,0.6109890341758729,rect,0.5718954801559448,<function dropout at 0x7fd7f177ba60>
83,8,0.0,3,0.01,1024,0.6060439825057983,rect,0.5890523195266724,<function dropout at 0x7fd7f177ba60>
84,8,0.5,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
85,8,0.5,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
86,8,0.5,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
87,8,0.5,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
88,8,0.5,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
89,8,0.5,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
90,8,0.5,3,0.1,256,0.48571430444717406,rect,0.4468954801559448,<function dropout at 0x7fd7f177ba60>
91,8,0.5,3,0.1,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
92,8,0.5,3,0.1,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
93,8,0.5,3,0.01,256,0.49615387022495266,rect,0.49183008074760437,<function dropout at 0x7fd7f177ba60>
94,8,0.5,3,0.01,512,0.3554945141077041,rect,0.3888889253139496,<function dropout at 0x7fd7f177ba60>
95,8,0.5,3,0.01,1024,0.4630036801099776,rect,0.47794121503829956,<function dropout at 0x7fd7f177ba60>
96,16,0.0,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
97,16,0.0,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
98,16,0.0,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
99,16,0.0,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
100,16,0.0,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
101,16,0.0,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
102,16,0.0,3,0.1,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
103,16,0.0,3,0.1,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
104,16,0.0,3,0.1,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
105,16,0.0,3,0.01,256,0.5985348165035248,rect,0.5874183177947998,<function dropout at 0x7fd7f177ba60>
106,16,0.0,3,0.01,512,0.6476190745830537,rect,0.6209151148796082,<function dropout at 0x7fd7f177ba60>
107,16,0.0,3,0.01,1024,0.6467033088207244,rect,0.6454249024391174,<function dropout at 0x7fd7f177ba60>
108,16,0.5,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
109,16,0.5,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
110,16,0.5,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
111,16,0.5,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
112,16,0.5,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
113,16,0.5,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
114,16,0.5,3,0.1,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
115,16,0.5,3,0.1,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
116,16,0.5,3,0.1,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
117,16,0.5,3,0.01,256,0.48901098966598505,rect,0.45016345381736755,<function dropout at 0x7fd7f177ba60>
118,16,0.5,3,0.01,512,0.4910256475210189,rect,0.4575163722038269,<function dropout at 0x7fd7f177ba60>
119,16,0.5,3,0.01,1024,0.3527472615242004,rect,0.3088235855102539,<function dropout at 0x7fd7f177ba60>
120,32,0.0,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
121,32,0.0,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
122,32,0.0,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
123,32,0.0,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
124,32,0.0,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
125,32,0.0,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
126,32,0.0,3,0.1,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
127,32,0.0,3,0.1,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
128,32,0.0,3,0.1,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
129,32,0.0,3,0.01,256,0.6538461804389955,rect,0.6200981140136719,<function dropout at 0x7fd7f177ba60>
130,32,0.0,3,0.01,512,0.6397436022758484,rect,0.6233660578727722,<function dropout at 0x7fd7f177ba60>
131,32,0.0,3,0.01,1024,0.6545787811279298,rect,0.6323530673980713,<function dropout at 0x7fd7f177ba60>
132,32,0.5,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
133,32,0.5,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
134,32,0.5,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
135,32,0.5,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
136,32,0.5,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
137,32,0.5,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
138,32,0.5,3,0.1,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
139,32,0.5,3,0.1,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
140,32,0.5,3,0.1,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
141,32,0.5,3,0.01,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
142,32,0.5,3,0.01,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
143,32,0.5,3,0.01,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
