,dR,dropoutFn,valAccuracy,testAccuracy,nstart,learningrate,nlayers,layerForm,activationFn
89,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,0.1,32,cone,3
90,0.5,<function dropout at 0x7f5c351a1a60>,0.7153846502304076,0.8461539149284363,256,0.01,2,cone,3
91,0.5,<function dropout at 0x7f5c351a1a60>,0.7230769634246825,0.769230842590332,256,0.01,3,cone,3
92,0.5,<function dropout at 0x7f5c351a1a60>,0.676923108100891,0.769230842590332,256,0.01,4,cone,3
93,0.5,<function dropout at 0x7f5c351a1a60>,0.2692307889461517,0.30769234895706177,256,0.01,8,cone,3
94,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,0.01,16,cone,3
95,0.5,<function dropout at 0x7f5c351a1a60>,0.43846157193183893,0.692307710647583,256,0.01,32,cone,3
96,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,2,cone,3
97,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,3,cone,3
98,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,4,cone,3
99,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,8,cone,3
100,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,16,cone,3
101,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,10.0,32,cone,3
102,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,2,cone,3
103,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,3,cone,3
104,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,4,cone,3
105,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,8,cone,3
106,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,16,cone,3
107,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,1.0,32,cone,3
108,0.5,<function dropout at 0x7f5c351a1a60>,0.723076969385147,0.7307692766189575,512,0.1,2,cone,3
109,0.5,<function dropout at 0x7f5c351a1a60>,0.7000000417232513,0.6923077702522278,512,0.1,3,cone,3
110,0.5,<function dropout at 0x7f5c351a1a60>,0.5000000298023224,0.769230842590332,512,0.1,4,cone,3
111,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,0.1,8,cone,3
112,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,0.1,16,cone,3
113,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,0.1,32,cone,3
114,0.5,<function dropout at 0x7f5c351a1a60>,0.7538461983203888,0.7307692766189575,512,0.01,2,cone,3
115,0.5,<function dropout at 0x7f5c351a1a60>,0.7307692766189575,0.7307692766189575,512,0.01,3,cone,3
116,0.5,<function dropout at 0x7f5c351a1a60>,0.5230769515037536,0.6153846979141235,512,0.01,4,cone,3
117,0.5,<function dropout at 0x7f5c351a1a60>,0.42307695448398586,0.384615421295166,512,0.01,8,cone,3
118,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,0.01,16,cone,3
119,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,512,0.01,32,cone,3
120,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,2,cone,3
121,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,3,cone,3
122,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,4,cone,3
123,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,8,cone,3
124,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,16,cone,3
125,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,32,cone,3
126,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,2,cone,3
127,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,3,cone,3
128,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,4,cone,3
129,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,8,cone,3
130,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,16,cone,3
131,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,32,cone,3
132,0.5,<function dropout at 0x7f5c351a1a60>,0.6384615659713744,0.6153846383094788,1024,0.1,2,cone,3
133,0.5,<function dropout at 0x7f5c351a1a60>,0.5461538970470428,0.6153846979141235,1024,0.1,3,cone,3
134,0.5,<function dropout at 0x7f5c351a1a60>,0.5384615659713744,0.769230842590332,1024,0.1,4,cone,3
135,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,0.1,8,cone,3
136,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,0.1,16,cone,3
137,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,0.1,32,cone,3
138,0.5,<function dropout at 0x7f5c351a1a60>,0.7846154451370239,0.769230842590332,1024,0.01,2,cone,3
139,0.5,<function dropout at 0x7f5c351a1a60>,0.8000000655651092,0.8076923489570618,1024,0.01,3,cone,3
140,0.5,<function dropout at 0x7f5c351a1a60>,0.5615384876728057,0.769230842590332,1024,0.01,4,cone,3
141,0.5,<function dropout at 0x7f5c351a1a60>,0.3384615629911422,0.576923131942749,1024,0.01,8,cone,3
142,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,0.01,16,cone,3
143,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,0.01,32,cone,3
