,learningrate,nstart,nlayers,layerForm,testAccuracy,valAccuracy,activationFn,dropoutFn,dR
70,1.0,1024,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.0
71,1.0,1024,32,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
72,0.1,256,2,cone,0.8205128312110901,0.8333333730697633,3,<function dropout at 0x7f9c9be63a60>,0.0
73,0.1,256,2,cone,0.8205128312110901,0.7625000059604646,3,<function dropout at 0x7f9c9be63a60>,0.5
74,0.1,256,3,cone,0.8461538553237915,0.837500035762787,3,<function dropout at 0x7f9c9be63a60>,0.0
75,0.1,256,3,cone,0.8461538553237915,0.8041666865348815,3,<function dropout at 0x7f9c9be63a60>,0.5
76,0.1,256,4,cone,0.7692307829856873,0.7916666865348817,3,<function dropout at 0x7f9c9be63a60>,0.0
77,0.1,256,4,cone,0.8717948794364929,0.8791666805744172,3,<function dropout at 0x7f9c9be63a60>,0.5
78,0.1,256,8,cone,0.8205128312110901,0.6833333551883697,3,<function dropout at 0x7f9c9be63a60>,0.0
79,0.1,256,8,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
80,0.1,256,16,cone,0.8461538553237915,0.7500000238418578,3,<function dropout at 0x7f9c9be63a60>,0.0
81,0.1,256,16,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
82,0.1,256,32,cone,0.8461538553237915,0.8791666686534884,3,<function dropout at 0x7f9c9be63a60>,0.0
83,0.1,256,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
84,0.1,512,2,cone,0.8205128312110901,0.7916666865348817,3,<function dropout at 0x7f9c9be63a60>,0.0
85,0.1,512,2,cone,0.7948718070983887,0.7041667044162749,3,<function dropout at 0x7f9c9be63a60>,0.5
86,0.1,512,3,cone,0.8461538553237915,0.7916666865348817,3,<function dropout at 0x7f9c9be63a60>,0.0
87,0.1,512,3,cone,0.7692307829856873,0.7666666805744171,3,<function dropout at 0x7f9c9be63a60>,0.5
88,0.1,512,4,cone,0.8205128312110901,0.7750000119209288,3,<function dropout at 0x7f9c9be63a60>,0.0
89,0.1,512,4,cone,0.8205128312110901,0.6916666984558104,3,<function dropout at 0x7f9c9be63a60>,0.5
90,0.1,512,8,cone,0.8461538553237915,0.8333333730697633,3,<function dropout at 0x7f9c9be63a60>,0.0
91,0.1,512,8,cone,0.20512820780277252,0.2291666671633721,3,<function dropout at 0x7f9c9be63a60>,0.5
92,0.1,512,16,cone,0.8717948794364929,0.7541666865348817,3,<function dropout at 0x7f9c9be63a60>,0.0
93,0.1,512,16,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
94,0.1,512,32,cone,0.8461538553237915,0.8708333373069764,3,<function dropout at 0x7f9c9be63a60>,0.0
95,0.1,512,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
96,0.1,1024,2,cone,0.7948718070983887,0.7000000238418579,3,<function dropout at 0x7f9c9be63a60>,0.0
97,0.1,1024,2,cone,0.8717948794364929,0.7291666746139526,3,<function dropout at 0x7f9c9be63a60>,0.5
98,0.1,1024,3,cone,0.8461538553237915,0.7708333432674407,3,<function dropout at 0x7f9c9be63a60>,0.0
99,0.1,1024,3,cone,0.8205128312110901,0.7333333551883696,3,<function dropout at 0x7f9c9be63a60>,0.5
100,0.1,1024,4,cone,0.8205128312110901,0.6791666865348815,3,<function dropout at 0x7f9c9be63a60>,0.0
101,0.1,1024,4,cone,0.7435897588729858,0.6541666805744171,3,<function dropout at 0x7f9c9be63a60>,0.5
102,0.1,1024,8,cone,0.8717948794364929,0.8000000178813936,3,<function dropout at 0x7f9c9be63a60>,0.0
103,0.1,1024,8,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
104,0.1,1024,16,cone,0.8461538553237915,0.7583333373069763,3,<function dropout at 0x7f9c9be63a60>,0.0
105,0.1,1024,16,cone,0.20512820780277252,0.2666666686534882,3,<function dropout at 0x7f9c9be63a60>,0.5
106,0.1,1024,32,cone,0.7948718070983887,0.8791666686534884,3,<function dropout at 0x7f9c9be63a60>,0.0
107,0.1,1024,32,cone,0.20512820780277252,0.24166666865348826,3,<function dropout at 0x7f9c9be63a60>,0.5
108,0.01,256,2,cone,0.7692307829856873,0.6666666865348815,3,<function dropout at 0x7f9c9be63a60>,0.0
109,0.01,256,2,cone,0.7948718070983887,0.7499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
110,0.01,256,3,cone,0.8205128312110901,0.7083333730697631,3,<function dropout at 0x7f9c9be63a60>,0.0
111,0.01,256,3,cone,0.7692307829856873,0.900000011920929,3,<function dropout at 0x7f9c9be63a60>,0.5
112,0.01,256,4,cone,0.8461538553237915,0.7499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.0
113,0.01,256,4,cone,0.7948718070983887,0.650000011920929,3,<function dropout at 0x7f9c9be63a60>,0.5
114,0.01,256,8,cone,0.8205128312110901,0.770833361148834,3,<function dropout at 0x7f9c9be63a60>,0.0
115,0.01,256,8,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
116,0.01,256,16,cone,0.7692307829856873,0.7916666865348817,3,<function dropout at 0x7f9c9be63a60>,0.0
117,0.01,256,16,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
118,0.01,256,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.0
119,0.01,256,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
120,0.01,512,2,cone,0.8205128312110901,0.7499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.0
121,0.01,512,2,cone,0.8205128312110901,0.7625000059604645,3,<function dropout at 0x7f9c9be63a60>,0.5
122,0.01,512,3,cone,0.8461538553237915,0.8708333671092988,3,<function dropout at 0x7f9c9be63a60>,0.0
123,0.01,512,3,cone,0.7948718070983887,0.7791666805744172,3,<function dropout at 0x7f9c9be63a60>,0.5
124,0.01,512,4,cone,0.8717948794364929,0.7875000059604643,3,<function dropout at 0x7f9c9be63a60>,0.0
125,0.01,512,4,cone,0.8205128312110901,0.7458333492279051,3,<function dropout at 0x7f9c9be63a60>,0.5
126,0.01,512,8,cone,0.7948718070983887,0.8250000298023226,3,<function dropout at 0x7f9c9be63a60>,0.0
127,0.01,512,8,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
128,0.01,512,16,cone,0.8717948794364929,0.8166666984558106,3,<function dropout at 0x7f9c9be63a60>,0.0
129,0.01,512,16,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
130,0.01,512,32,cone,0.8461538553237915,0.8416666924953462,3,<function dropout at 0x7f9c9be63a60>,0.0
131,0.01,512,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
132,0.01,1024,2,cone,0.8461538553237915,0.7875000178813936,3,<function dropout at 0x7f9c9be63a60>,0.0
133,0.01,1024,2,cone,0.8461538553237915,0.8333333730697633,3,<function dropout at 0x7f9c9be63a60>,0.5
134,0.01,1024,3,cone,0.8205128312110901,0.7291666865348815,3,<function dropout at 0x7f9c9be63a60>,0.0
135,0.01,1024,3,cone,0.7692307829856873,0.7541666746139526,3,<function dropout at 0x7f9c9be63a60>,0.5
136,0.01,1024,4,cone,0.8461538553237915,0.7083333730697631,3,<function dropout at 0x7f9c9be63a60>,0.0
137,0.01,1024,4,cone,0.8205128312110901,0.8791666865348817,3,<function dropout at 0x7f9c9be63a60>,0.5
138,0.01,1024,8,cone,0.8461538553237915,0.7250000357627867,3,<function dropout at 0x7f9c9be63a60>,0.0
139,0.01,1024,8,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
140,0.01,1024,16,cone,0.8974359035491943,0.7833333611488342,3,<function dropout at 0x7f9c9be63a60>,0.0
141,0.01,1024,16,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
142,0.01,1024,32,cone,0.7948718070983887,0.8875000059604645,3,<function dropout at 0x7f9c9be63a60>,0.0
143,0.01,1024,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
