,testAccuracy,layerForm,nlayers,nstart,dropoutFn,learningrate,dR,activationFn,valAccuracy
23,0.8903508186340332,rect,2,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.9122641801834106
24,0.5789473652839661,rect,3,256,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
25,0.5789473652839661,rect,3,256,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
26,0.5789473652839661,rect,3,256,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
27,0.5789473652839661,rect,3,256,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
28,0.9122806787490845,rect,3,256,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9207547307014465
29,0.8991228342056274,rect,3,256,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9094339787960053
30,0.9166666269302368,rect,3,256,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9405660688877107
31,0.8421053290367126,rect,3,256,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.8330188810825349
32,0.5789473652839661,rect,3,512,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
33,0.5789473652839661,rect,3,512,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
34,0.5789473652839661,rect,3,512,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
35,0.5789473652839661,rect,3,512,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
36,0.9035087823867798,rect,3,512,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9339622795581819
37,0.8991228342056274,rect,3,512,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9037736058235168
38,0.9254385232925415,rect,3,512,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9245283126831054
39,0.8859649896621704,rect,3,512,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.8858490586280824
40,0.5789473652839661,rect,3,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
41,0.5789473652839661,rect,3,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
42,0.5789473652839661,rect,3,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
43,0.5789473652839661,rect,3,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
44,0.925438642501831,rect,3,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9226415276527404
45,0.8815789818763733,rect,3,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.8933962404727936
46,0.9210526943206787,rect,3,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9339622855186461
47,0.8947368860244751,rect,3,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.895283043384552
48,0.5789473652839661,rect,4,256,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
49,0.5789473652839661,rect,4,256,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
50,0.5789473652839661,rect,4,256,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
51,0.5789473652839661,rect,4,256,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
52,0.925438642501831,rect,4,256,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9386792540550231
53,0.8947368860244751,rect,4,256,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.8773585319519044
54,0.8991228342056274,rect,4,256,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9292453169822692
55,0.8508771657943726,rect,4,256,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.811320722103119
56,0.5789473652839661,rect,4,512,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
57,0.5789473652839661,rect,4,512,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
58,0.5789473652839661,rect,4,512,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
59,0.5789473652839661,rect,4,512,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
60,0.9342105388641357,rect,4,512,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9462264358997347
61,0.925438642501831,rect,4,512,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9028302252292633
62,0.9166666269302368,rect,4,512,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9226415276527403
63,0.8552631139755249,rect,4,512,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.8603773534297942
64,0.5789473652839661,rect,4,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
65,0.5789473652839661,rect,4,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
66,0.5789473652839661,rect,4,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
67,0.5789473652839661,rect,4,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
68,0.5789473652839661,rect,4,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.6283019244670868
69,0.8947368264198303,rect,4,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9235849201679228
70,0.9429824352264404,rect,4,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9292453110218047
71,0.8552631139755249,rect,4,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.8669811725616456
72,0.5789473652839661,rect,8,256,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
73,0.5789473652839661,rect,8,256,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
74,0.5789473652839661,rect,8,256,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
75,0.5789473652839661,rect,8,256,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
76,0.9035087823867798,rect,8,256,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9330188930034639
77,0.8815789818763733,rect,8,256,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9018868565559387
78,0.925438642501831,rect,8,256,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9283018946647643
79,0.7982456684112549,rect,8,256,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.7622641742229461
80,0.5789473652839661,rect,8,512,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
81,0.5789473652839661,rect,8,512,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
82,0.5789473652839661,rect,8,512,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
83,0.5789473652839661,rect,8,512,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
84,0.5789473652839661,rect,8,512,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
85,0.5789473652839661,rect,8,512,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
86,0.9298245906829834,rect,8,512,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9396226584911346
87,0.8070175051689148,rect,8,512,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.7830189466476442
88,0.5789473652839661,rect,8,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
89,0.5789473652839661,rect,8,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
90,0.5789473652839661,rect,8,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
91,0.5789473652839661,rect,8,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
92,0.5789473652839661,rect,8,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
93,0.5789473652839661,rect,8,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
94,0.9254385232925415,rect,8,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9396226704120637
95,0.8201754689216614,rect,8,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.811320722103119
96,0.5789473652839661,rect,16,256,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
97,0.5789473652839661,rect,16,256,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
98,0.5789473652839661,rect,16,256,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
99,0.5789473652839661,rect,16,256,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
100,0.5789473652839661,rect,16,256,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
101,0.5789473652839661,rect,16,256,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
102,0.9035087823867798,rect,16,256,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9216981530189514
103,0.14473684132099152,rect,16,256,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.3056603848934174
104,0.5789473652839661,rect,16,512,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
105,0.5789473652839661,rect,16,512,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
106,0.5789473652839661,rect,16,512,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
107,0.5789473652839661,rect,16,512,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
108,0.5789473652839661,rect,16,512,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
109,0.5789473652839661,rect,16,512,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
110,0.9166666269302368,rect,16,512,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9584905922412873
111,0.2631578743457794,rect,16,512,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.23301886767148974
112,0.5789473652839661,rect,16,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
113,0.5789473652839661,rect,16,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
114,0.5789473652839661,rect,16,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
115,0.5789473652839661,rect,16,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
116,0.5789473652839661,rect,16,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
117,0.5789473652839661,rect,16,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
118,0.9166667461395264,rect,16,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9254716992378234
119,0.11403508484363556,rect,16,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.3556603878736496
120,0.5789473652839661,rect,32,256,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
121,0.5789473652839661,rect,32,256,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
122,0.5789473652839661,rect,32,256,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
123,0.5789473652839661,rect,32,256,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
124,0.5789473652839661,rect,32,256,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
125,0.5789473652839661,rect,32,256,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
126,0.9122806787490845,rect,32,256,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9339622676372527
127,0.5789473652839661,rect,32,256,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.5943396687507629
128,0.5789473652839661,rect,32,512,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
129,0.5789473652839661,rect,32,512,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
130,0.5789473652839661,rect,32,512,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
131,0.5789473652839661,rect,32,512,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
132,0.5789473652839661,rect,32,512,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
133,0.5789473652839661,rect,32,512,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
134,0.9166666269302368,rect,32,512,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9537735879421235
135,0.5789473652839661,rect,32,512,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.5943396687507629
136,0.5789473652839661,rect,32,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
137,0.5789473652839661,rect,32,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
138,0.5789473652839661,rect,32,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
139,0.5789473652839661,rect,32,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
140,0.5789473652839661,rect,32,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.5943396687507629
141,0.5789473652839661,rect,32,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.5943396687507629
142,0.9078946709632874,rect,32,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9188679397106171
143,0.5789473652839661,rect,32,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.5943396687507629
