,nstart,testAccuracy,learningrate,nlayers,valAccuracy,dR,activationFn,dropoutFn,layerForm
31,256,0.8335999250411987,0.1,8,0.8421359777450562,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
32,256,0.3312000036239624,0.1,16,0.3631068408489228,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
33,256,0.3312000036239624,0.1,16,0.36310682296752933,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
34,256,0.3312000036239624,0.1,32,0.36310679912567134,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
35,256,0.3312000036239624,0.1,32,0.3631067931652069,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
36,256,0.8511999845504761,0.01,2,0.8553398907184603,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
37,256,0.8383999466896057,0.01,2,0.8530097842216492,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
38,256,0.8423999547958374,0.01,3,0.8600000321865081,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
39,256,0.8383999466896057,0.01,3,0.8421359539031983,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
40,256,0.8519999980926514,0.01,4,0.8580583035945893,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
41,256,0.8456000089645386,0.01,4,0.8508738636970521,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
42,256,0.843999981880188,0.01,8,0.8469903707504273,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
43,256,0.6919999718666077,0.01,8,0.6642718553543091,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
44,256,0.8351999521255493,0.01,16,0.8535922825336456,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
45,256,0.3975999653339386,0.01,16,0.41864078342914585,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
46,256,0.8279999494552612,0.01,32,0.8388350009918213,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
47,256,0.3312000036239624,0.01,32,0.36310681104660036,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
48,512,0.3311999440193176,10.0,2,0.3631068348884583,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
49,512,0.3312000036239624,10.0,2,0.3631067872047424,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
50,512,0.3312000036239624,10.0,3,0.3631068170070649,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
51,512,0.3312000036239624,10.0,3,0.3631067872047424,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
52,512,0.3312000036239624,10.0,4,0.36310679912567134,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
53,512,0.3312000036239624,10.0,4,0.36310679912567134,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
54,512,0.3312000036239624,10.0,8,0.36310681104660036,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
55,512,0.3312000036239624,10.0,8,0.36310681104660036,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
56,512,0.3312000036239624,10.0,16,0.36310679912567134,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
57,512,0.3312000036239624,10.0,16,0.36310679316520683,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
58,512,0.3312000036239624,10.0,32,0.3631067872047424,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
59,512,0.33119997382164,10.0,32,0.36310679912567134,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
60,512,0.3312000036239624,1.0,2,0.36310682892799384,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
61,512,0.3312000036239624,1.0,2,0.3631068050861359,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
62,512,0.3312000036239624,1.0,3,0.36310679316520683,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
63,512,0.33119997382164,1.0,3,0.36310679912567134,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
64,512,0.3312000036239624,1.0,4,0.36310681104660036,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
65,512,0.3312000036239624,1.0,4,0.3631067931652069,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
66,512,0.3312000036239624,1.0,8,0.36310679912567134,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
67,512,0.3312000036239624,1.0,8,0.36310679316520683,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
68,512,0.3312000036239624,1.0,16,0.36310679912567134,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
69,512,0.3312000036239624,1.0,16,0.3631068289279938,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
