,nstart,valAccuracy,dropoutFn,nlayers,testAccuracy,learningrate,activationFn,dR,layerForm
33,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,10.0,3,0.5,rect
34,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,1.0,3,0.0,rect
35,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,1.0,3,0.5,rect
36,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,0.1,3,0.0,rect
37,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,0.1,3,0.5,rect
38,256,0.9653846740722656,<function dropout at 0x7fb1205c3a60>,16,0.9718310236930847,0.01,3,0.0,rect
39,256,0.5961538732051849,<function dropout at 0x7fb1205c3a60>,16,0.40140843391418457,0.01,3,0.5,rect
40,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,10.0,3,0.0,rect
41,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267605423927307,10.0,3,0.5,rect
42,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,1.0,3,0.0,rect
43,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267605423927307,1.0,3,0.5,rect
44,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.1,3,0.0,rect
45,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.1,3,0.5,rect
46,256,0.9423077702522277,<function dropout at 0x7fb1205c3a60>,32,0.9718309640884399,0.01,3,0.0,rect
47,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.01,3,0.5,rect
48,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,10.0,3,0.0,rect
49,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,10.0,3,0.5,rect
50,512,0.6288462281227112,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,1.0,3,0.0,rect
51,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,1.0,3,0.5,rect
52,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.9859154224395752,0.1,3,0.0,rect
53,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.9788732528686523,0.1,3,0.5,rect
54,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.98591548204422,0.01,3,0.0,rect
55,512,0.9750000596046449,<function dropout at 0x7fb1205c3a60>,2,0.9788731932640076,0.01,3,0.5,rect
56,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,10.0,3,0.0,rect
57,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,10.0,3,0.5,rect
58,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,1.0,3,0.0,rect
59,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,1.0,3,0.5,rect
60,512,0.9596154749393463,<function dropout at 0x7fb1205c3a60>,3,0.98591548204422,0.1,3,0.0,rect
61,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,3,0.9788731932640076,0.1,3,0.5,rect
62,512,0.9423077702522277,<function dropout at 0x7fb1205c3a60>,3,0.9718309640884399,0.01,3,0.0,rect
63,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,3,0.9929577708244324,0.01,3,0.5,rect
64,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267605423927307,10.0,3,0.0,rect
65,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,10.0,3,0.5,rect
66,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267605423927307,1.0,3,0.0,rect
67,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,1.0,3,0.5,rect
68,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,4,0.9859154224395752,0.1,3,0.0,rect
69,512,0.9634616255760193,<function dropout at 0x7fb1205c3a60>,4,0.98591548204422,0.1,3,0.5,rect
70,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,4,0.9859155416488647,0.01,3,0.0,rect
71,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,4,0.9718309044837952,0.01,3,0.5,rect
72,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,10.0,3,0.0,rect
73,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,10.0,3,0.5,rect
74,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,1.0,3,0.0,rect
75,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,1.0,3,0.5,rect
76,512,0.7019231438636778,<function dropout at 0x7fb1205c3a60>,8,0.6267605423927307,0.1,3,0.0,rect
77,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,0.1,3,0.5,rect
78,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,8,0.9788732528686523,0.01,3,0.0,rect
79,512,0.9807692766189577,<function dropout at 0x7fb1205c3a60>,8,0.9788732528686523,0.01,3,0.5,rect
80,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,10.0,3,0.0,rect
81,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,10.0,3,0.5,rect
82,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,1.0,3,0.0,rect
83,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,1.0,3,0.5,rect
84,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,0.1,3,0.0,rect
85,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,0.1,3,0.5,rect
86,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,16,0.9788732528686523,0.01,3,0.0,rect
87,512,0.38461542129516596,<function dropout at 0x7fb1205c3a60>,16,0.3732394278049469,0.01,3,0.5,rect
88,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,10.0,3,0.0,rect
89,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,10.0,3,0.5,rect
90,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,1.0,3,0.0,rect
91,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,1.0,3,0.5,rect
92,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267605423927307,0.1,3,0.0,rect
93,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.1,3,0.5,rect
94,512,0.961538553237915,<function dropout at 0x7fb1205c3a60>,32,0.9647887349128723,0.01,3,0.0,rect
95,512,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.01,3,0.5,rect
96,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,10.0,3,0.0,rect
97,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,10.0,3,0.5,rect
98,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,1.0,3,0.0,rect
99,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,1.0,3,0.5,rect
100,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.9788731932640076,0.1,3,0.0,rect
101,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.9859154224395752,0.1,3,0.5,rect
102,1024,0.9750000596046449,<function dropout at 0x7fb1205c3a60>,2,0.9788731932640076,0.01,3,0.0,rect
103,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.9929577112197876,0.01,3,0.5,rect
104,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,10.0,3,0.0,rect
105,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,10.0,3,0.5,rect
106,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,1.0,3,0.0,rect
107,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,1.0,3,0.5,rect
108,1024,0.9692308425903322,<function dropout at 0x7fb1205c3a60>,3,0.9859154224395752,0.1,3,0.0,rect
109,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,3,0.98591548204422,0.1,3,0.5,rect
110,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,3,0.9788731932640076,0.01,3,0.0,rect
111,1024,0.9634616255760193,<function dropout at 0x7fb1205c3a60>,3,0.9859154224395752,0.01,3,0.5,rect
112,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,10.0,3,0.0,rect
113,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,10.0,3,0.5,rect
114,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,1.0,3,0.0,rect
115,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,1.0,3,0.5,rect
116,1024,0.9634616255760193,<function dropout at 0x7fb1205c3a60>,4,0.9788732528686523,0.1,3,0.0,rect
117,1024,0.9596154749393463,<function dropout at 0x7fb1205c3a60>,4,0.9929577112197876,0.1,3,0.5,rect
118,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,4,0.9788731336593628,0.01,3,0.0,rect
119,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,4,0.98591548204422,0.01,3,0.5,rect
120,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,10.0,3,0.0,rect
121,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,10.0,3,0.5,rect
122,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,1.0,3,0.0,rect
123,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,1.0,3,0.5,rect
124,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,0.1,3,0.0,rect
125,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,0.1,3,0.5,rect
126,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,8,0.9859154224395752,0.01,3,0.0,rect
127,1024,0.9807692766189577,<function dropout at 0x7fb1205c3a60>,8,0.9718310236930847,0.01,3,0.5,rect
128,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,10.0,3,0.0,rect
129,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267605423927307,10.0,3,0.5,rect
130,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,1.0,3,0.0,rect
131,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,1.0,3,0.5,rect
132,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,0.1,3,0.0,rect
133,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,0.1,3,0.5,rect
134,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,16,0.9718309044837952,0.01,3,0.0,rect
135,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,0.01,3,0.5,rect
136,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,10.0,3,0.0,rect
137,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,10.0,3,0.5,rect
138,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,1.0,3,0.0,rect
139,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,1.0,3,0.5,rect
140,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.1,3,0.0,rect
141,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.1,3,0.5,rect
142,1024,0.961538553237915,<function dropout at 0x7fb1205c3a60>,32,0.9718309640884399,0.01,3,0.0,rect
143,1024,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,32,0.6267606019973755,0.01,3,0.5,rect
