,layerForm,nstart,dropoutFn,nlayers,activationFn,learningrate,valAccuracy,dR,testAccuracy
42,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,1.0,0.5666666686534882,0.0,0.5
43,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,1.0,0.49999999999999994,0.5,0.5
44,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,0.1,0.8166667044162751,0.0,0.692307710647583
45,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,0.1,0.49999999999999994,0.5,0.5
46,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,0.01,0.6500000178813934,0.0,0.5384615659713745
47,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,0.01,0.5166666686534881,0.5,0.5
48,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,10.0,0.49999999999999994,0.0,0.5
49,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,10.0,0.49999999999999994,0.5,0.5
50,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,1.0,0.5166666686534881,0.0,0.5384615659713745
51,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,1.0,0.49999999999999994,0.5,0.5
52,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,0.1,0.8333333730697633,0.0,0.884615421295166
53,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,0.1,0.8333333730697633,0.5,0.884615421295166
54,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,0.01,0.8333333730697633,0.0,0.8461539149284363
55,cone,512,<function dropout at 0x7f4ea566ca60>,2,3,0.01,0.7333333611488343,0.5,0.8076923489570618
56,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,10.0,0.49999999999999994,0.0,0.5
57,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,10.0,0.49999999999999994,0.5,0.5
58,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,1.0,0.49999999999999994,0.0,0.5
59,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,1.0,0.5166666686534881,0.5,0.5
60,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,0.1,0.8333333730697633,0.0,0.769230842590332
61,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,0.1,0.8333333730697633,0.5,0.8461538553237915
62,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,0.01,0.8333333730697633,0.0,0.8461538553237915
63,cone,512,<function dropout at 0x7f4ea566ca60>,3,3,0.01,0.8333333730697633,0.5,0.769230842590332
64,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,10.0,0.49999999999999994,0.0,0.5
65,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,10.0,0.49999999999999994,0.5,0.5
66,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,1.0,0.49999999999999994,0.0,0.5
67,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,1.0,0.49999999999999994,0.5,0.5
68,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,0.1,0.9999999999999999,0.0,0.7307692766189575
69,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,0.1,0.8166667044162752,0.5,0.884615421295166
70,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,0.01,0.9999999999999999,0.0,0.769230842590332
71,cone,512,<function dropout at 0x7f4ea566ca60>,4,3,0.01,0.9166666865348816,0.5,0.769230842590332
72,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,10.0,0.49999999999999994,0.0,0.5
73,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,10.0,0.49999999999999994,0.5,0.5
74,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,1.0,0.49999999999999994,0.0,0.5
75,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,1.0,0.49999999999999994,0.5,0.5
76,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,0.1,0.9999999999999999,0.0,0.8076923489570618
77,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,0.1,0.5166666686534881,0.5,0.5
78,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,0.01,0.9333333492279053,0.0,0.8076923489570618
79,cone,512,<function dropout at 0x7f4ea566ca60>,8,3,0.01,0.33333334326744074,0.5,0.5384615659713745
80,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,10.0,0.49999999999999994,0.0,0.5
81,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,10.0,0.49999999999999994,0.5,0.5
82,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,1.0,0.49999999999999994,0.0,0.5
83,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,1.0,0.49999999999999994,0.5,0.5
84,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,0.1,0.8333333730697633,0.0,0.769230842590332
85,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,0.1,0.49999999999999994,0.5,0.5
86,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,0.01,0.6666666865348815,0.0,0.576923131942749
87,cone,512,<function dropout at 0x7f4ea566ca60>,16,3,0.01,0.4000000059604644,0.5,0.5384615659713745
88,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,10.0,0.49999999999999994,0.0,0.5
89,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,10.0,0.49999999999999994,0.5,0.5
90,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,1.0,0.49999999999999994,0.0,0.5
91,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,1.0,0.49999999999999994,0.5,0.5
92,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,0.1,0.8333333730697633,0.0,0.8076923489570618
93,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,0.1,0.5166666686534881,0.5,0.5
94,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,0.01,0.9833333373069761,0.0,0.6538462042808533
95,cone,512,<function dropout at 0x7f4ea566ca60>,32,3,0.01,0.5333333373069763,0.5,0.46153849363327026
96,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,10.0,0.49999999999999994,0.0,0.5
97,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,10.0,0.49999999999999994,0.5,0.5
98,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,1.0,0.49999999999999994,0.0,0.5
99,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,1.0,0.49999999999999994,0.5,0.5
100,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,0.1,0.850000035762787,0.0,0.8076924085617065
101,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,0.1,0.850000035762787,0.5,0.8076923489570618
102,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,0.01,0.8333333730697633,0.0,0.6538461446762085
103,cone,1024,<function dropout at 0x7f4ea566ca60>,2,3,0.01,0.6666666865348815,0.5,0.769230842590332
104,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,10.0,0.49999999999999994,0.0,0.5
105,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,10.0,0.49999999999999994,0.5,0.5
106,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,1.0,0.49999999999999994,0.0,0.5
107,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,1.0,0.5166666686534881,0.5,0.5
108,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,0.1,0.8333333730697633,0.0,0.8076923489570618
109,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,0.1,0.8666666984558107,0.5,0.8461539149284363
110,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,0.01,0.9999999999999999,0.0,0.8076924085617065
111,cone,1024,<function dropout at 0x7f4ea566ca60>,3,3,0.01,0.8333333730697633,0.5,0.7307692766189575
112,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,10.0,0.49999999999999994,0.0,0.5
113,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,10.0,0.49999999999999994,0.5,0.5
114,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,1.0,0.49999999999999994,0.0,0.5
115,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,1.0,0.49999999999999994,0.5,0.5
116,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,0.1,0.6666666865348815,0.0,0.8076923489570618
117,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,0.1,0.8333333730697633,0.5,0.884615421295166
118,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,0.01,0.850000035762787,0.0,0.7307692766189575
119,cone,1024,<function dropout at 0x7f4ea566ca60>,4,3,0.01,0.8333333730697633,0.5,0.576923131942749
120,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,10.0,0.49999999999999994,0.0,0.5
121,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,10.0,0.49999999999999994,0.5,0.5
122,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,1.0,0.49999999999999994,0.0,0.5
123,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,1.0,0.49999999999999994,0.5,0.5
124,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,0.1,0.6666666865348815,0.0,0.8076924085617065
125,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,0.1,0.49999999999999994,0.5,0.5
126,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,0.01,0.6666666865348815,0.0,0.769230842590332
127,cone,1024,<function dropout at 0x7f4ea566ca60>,8,3,0.01,0.49999999999999994,0.5,0.5
128,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,10.0,0.49999999999999994,0.0,0.5
129,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,10.0,0.49999999999999994,0.5,0.5
130,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,1.0,0.49999999999999994,0.0,0.5
131,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,1.0,0.49999999999999994,0.5,0.5
132,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,0.1,0.7166666924953461,0.0,0.7307692766189575
133,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,0.1,0.49999999999999994,0.5,0.5
134,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,0.01,0.8333333730697633,0.0,0.6153846979141235
135,cone,1024,<function dropout at 0x7f4ea566ca60>,16,3,0.01,0.6666666865348815,0.5,0.5
136,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,10.0,0.49999999999999994,0.0,0.5
137,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,10.0,0.49999999999999994,0.5,0.5
138,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,1.0,0.49999999999999994,0.0,0.5
139,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,1.0,0.49999999999999994,0.5,0.5
140,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,0.1,0.7166666924953462,0.0,0.5384615659713745
141,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,0.1,0.6333333522081375,0.5,0.6538462042808533
142,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,0.01,0.6833333551883697,0.0,0.8076923489570618
143,cone,1024,<function dropout at 0x7f4ea566ca60>,32,3,0.01,0.5833333432674408,0.5,0.42307692766189575
