,testAccuracy,nlayers,dR,activationFn,layerForm,learningrate,dropoutFn,nstart,valAccuracy
93,0.884615421295166,8,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.5900000184774399
94,0.884615421295166,8,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.600000011920929
95,0.9230769872665405,8,0.5,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.5800000131130219
96,0.1538461595773697,16,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
97,0.1538461595773697,16,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
98,0.1538461595773697,16,0.0,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
99,0.1538461595773697,16,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
100,0.1538461595773697,16,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
101,0.1538461595773697,16,0.0,3,rect,1.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
102,0.1538461595773697,16,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
103,0.1538461595773697,16,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
104,0.1538461595773697,16,0.0,3,rect,0.1,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
105,0.9615384936332703,16,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,256,0.6400000274181367
106,0.9230769276618958,16,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,512,0.6900000393390655
107,0.9230769276618958,16,0.0,3,rect,0.01,<function dropout at 0x7f9364d23a60>,1024,0.7000000476837157
108,0.1538461595773697,16,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
109,0.1538461595773697,16,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
110,0.1538461595773697,16,0.5,3,rect,10.0,<function dropout at 0x7f9364d23a60>,1024,0.10000000149011613
111,0.1538461595773697,16,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,256,0.10000000149011613
112,0.1538461595773697,16,0.5,3,rect,1.0,<function dropout at 0x7f9364d23a60>,512,0.10000000149011613
