,learningrate,dropoutFn,activationFn,layerForm,valAccuracy,nlayers,dR,nstart,testAccuracy
47,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.3472222208976745,3,0.5,1024,0.239648699760437
48,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,4,0.0,256,0.519447922706604
49,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.3888888865709305,4,0.0,512,0.519447922706604
50,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.0,1024,0.239648699760437
51,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.7725000441074372,4,0.5,256,0.7829360365867615
52,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.4224999964237213,4,0.5,512,0.23964868485927582
53,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.5,1024,0.239648699760437
54,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.5850000232458115,8,0.0,256,0.4416562020778656
55,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.0,512,0.239648699760437
56,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.23055556416511533,8,0.0,1024,0.24090339243412018
57,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.5,256,0.239648699760437
58,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.3174999982118606,8,0.5,512,0.239648699760437
59,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.5,1024,0.239648699760437
60,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.5672222137451172,16,0.0,256,0.519447922706604
61,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.5205555468797685,16,0.0,512,0.519447922706604
62,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.4869444370269776,16,0.0,1024,0.519447922706604
63,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.5,256,0.239648699760437
64,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.5,512,0.239648699760437
65,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.5,1024,0.239648699760437
66,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.5594444632530212,32,0.0,256,0.519447922706604
67,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.0,512,0.23964868485927582
68,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.0,1024,0.239648699760437
69,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,256,0.239648699760437
70,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,512,0.239648699760437
71,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,1024,0.239648699760437
72,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8461111426353456,2,0.0,256,0.8531994223594666
73,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8630556046962737,2,0.0,512,0.8444165587425232
74,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8794444859027862,2,0.0,1024,0.8757842779159546
75,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8650000274181365,2,0.5,256,0.8582183122634888
76,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8338889241218568,2,0.5,512,0.8481806516647339
77,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.885277831554413,2,0.5,1024,0.8870766162872314
78,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8377778053283691,3,0.0,256,0.8506900668144226
79,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8375000536441805,3,0.0,512,0.8619824051856995
80,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8558333873748779,3,0.0,1024,0.8732747435569763
81,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8347222924232482,3,0.5,256,0.8456711769104004
82,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8269444704055786,3,0.5,512,0.836888313293457
83,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8633333444595336,3,0.5,1024,0.8720200657844543
84,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8111111342906951,4,0.0,256,0.8544541597366333
85,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8494444966316225,4,0.0,512,0.8594729900360107
86,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8505556106567383,4,0.0,1024,0.8707653284072876
87,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.823611158132553,4,0.5,256,0.8331242203712463
88,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8508333683013917,4,0.5,512,0.8381429314613342
89,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8583333730697632,4,0.5,1024,0.8757842183113098
90,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8302778303623201,8,0.0,256,0.8456712961196899
91,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.854444444179535,8,0.0,512,0.8720200061798096
92,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8458333730697633,8,0.0,1024,0.8695107102394104
93,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.5530555486679077,8,0.5,256,0.519447922706604
94,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,8,0.5,512,0.519447922706604
95,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,8,0.5,1024,0.519447922706604
96,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.798611158132553,16,0.0,256,0.8343788981437683
97,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.829722273349762,16,0.0,512,0.8506900668144226
98,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8305555999279022,16,0.0,1024,0.8469259738922119
99,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,16,0.5,256,0.519447922706604
100,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.5,512,0.239648699760437
101,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,16,0.5,1024,0.519447922706604
102,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8300000488758088,32,0.0,256,0.8306148052215576
103,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.7936111390590668,32,0.0,512,0.8281054496765137
104,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.8638889133930207,32,0.0,1024,0.8695106506347656
105,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,256,0.239648699760437
106,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,512,0.239648699760437
107,0.1,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,32,0.5,1024,0.519447922706604
108,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.827500033378601,2,0.0,256,0.8343788385391235
109,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8555555939674376,2,0.0,512,0.8582183122634888
110,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8547222495079039,2,0.0,1024,0.8720200657844543
111,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8388889253139497,2,0.5,256,0.8406524062156677
112,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8386111617088318,2,0.5,512,0.8456712961196899
113,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.838611161708832,2,0.5,1024,0.8469259738922119
114,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8527777910232542,3,0.0,256,0.8419071435928345
115,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8705556035041809,3,0.0,512,0.8707653284072876
116,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8516667246818543,3,0.0,1024,0.8594729900360107
117,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8141667187213899,3,0.5,256,0.8306148052215576
118,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8272222936153412,3,0.5,512,0.8293601274490356
119,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8358333826065064,3,0.5,1024,0.8331241607666016
120,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8388889193534851,4,0.0,256,0.838142991065979
121,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8619444489479064,4,0.0,512,0.8544541597366333
122,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.834166705608368,4,0.0,1024,0.8531994819641113
123,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5663889110088348,4,0.5,256,0.520702600479126
124,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.811388909816742,4,0.5,512,0.8281053304672241
125,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8241667032241823,4,0.5,1024,0.8318694829940796
126,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8213888943195344,8,0.0,256,0.8343788981437683
127,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8358333706855775,8,0.0,512,0.838142991065979
128,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8316667318344116,8,0.0,1024,0.8481806516647339
129,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,8,0.5,256,0.519447922706604
130,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5536111176013947,8,0.5,512,0.519447922706604
131,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,8,0.5,1024,0.5232120156288147
132,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.7766666948795319,16,0.0,256,0.8042659759521484
133,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8216667234897614,16,0.0,512,0.8042659759521484
134,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8308333814144134,16,0.0,1024,0.8293601274490356
135,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5533333241939545,16,0.5,256,0.519447922706604
136,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,16,0.5,512,0.519447922706604
137,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5536111056804658,16,0.5,1024,0.519447922706604
138,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.7438889503479004,32,0.0,256,0.7427854537963867
139,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.6616666853427886,32,0.0,512,0.6612295508384705
140,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.8261111557483672,32,0.0,1024,0.7904642820358276
141,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5527777671813965,32,0.5,256,0.519447922706604
142,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5508333325386048,32,0.5,512,0.519447922706604
143,0.01,<function dropout at 0x7f6d2e151a60>,3,cone,0.5205555468797685,32,0.5,1024,0.519447922706604
