"dataset","nhidden","blockForm","nblocks","testAccuracy","bottleneck","valAccuracy","learningrate"
"wine-quality-white",512,"rect",3,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",512,"diavolo",3,0.0040849675424397,0.25,0.0055658626370132,1
"wine-quality-white",512,"diavolo",3,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",256,"rect",3,0.0040849675424397,0.25,0.0055658626370132,1
"wine-quality-white",256,"rect",3,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",256,"diavolo",3,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",1024,"rect",2,0.0040849675424397,0.25,0.0055658626370132,1
"wine-quality-white",1024,"rect",2,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",1024,"diavolo",2,0.0040849675424397,0.25,0.0055658626370132,1
"wine-quality-white",1024,"diavolo",2,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",512,"rect",2,0.0040849675424397,0.25,0.0055658626370132,1
"wine-quality-white",512,"rect",2,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",512,"diavolo",2,0.0040849675424397,0.5,0.0055658626370132,1
"wine-quality-white",256,"rect",2,0.0040849675424397,0.25,0.0055658626370132,1
"wine-quality-white",256,"rect",2,0.0040849675424397,0.5,0.0055658626370132,1
