"dataset","blockForm","nhidden","learningrate","nblocks","testAccuracy","bottleneck","valAccuracy"
"balloons","diavolo",512,1,16,0.75,0.25,0
"balloons","diavolo",512,1,16,0.75,0.5,0
"balloons","rect",256,1,16,0.75,0.25,0
"balloons","rect",256,1,16,0.75,0.5,0
"balloons","diavolo",256,1,16,0.75,0.25,0
"balloons","diavolo",256,1,16,0.75,0.5,0
"balloons","rect",1024,0.01,8,0.75,0.25,0
"balloons","rect",1024,0.01,8,0.75,0.5,0
"balloons","diavolo",1024,0.01,8,0.75,0.25,0
"balloons","diavolo",1024,0.01,8,0.75,0.5,0
"balloons","rect",512,0.01,8,0.75,0.25,0
"balloons","rect",512,0.01,8,0.75,0.5,0
"balloons","diavolo",512,0.01,8,0.75,0.25,0
"balloons","diavolo",512,0.01,8,0.75,0.5,0
"balloons","rect",256,0.01,8,0.75,0.25,0
"balloons","rect",256,0.01,8,0.75,0.5,0
"balloons","diavolo",256,0.01,8,0.75,0.25,0
"balloons","diavolo",256,0.01,8,0.75,0.5,0
"balloons","rect",1024,0.1,8,0.75,0.25,0
"balloons","rect",1024,0.1,8,0.75,0.5,0
"balloons","diavolo",1024,0.1,8,0.75,0.25,0
"balloons","diavolo",1024,0.1,8,0.75,0.5,0
"balloons","rect",512,0.1,8,0.75,0.25,0
"balloons","rect",512,0.1,8,0.75,0.5,0
"balloons","diavolo",512,0.1,8,0.75,0.25,0
"balloons","diavolo",512,0.1,8,0.75,0.5,0
"balloons","rect",256,0.1,8,0.75,0.25,0
"balloons","rect",256,0.1,8,0.75,0.5,0
"balloons","diavolo",256,0.1,8,0.75,0.25,0
"balloons","diavolo",256,0.1,8,0.75,0.5,0
"balloons","rect",1024,1,8,0.75,0.25,0
"balloons","rect",1024,1,8,0.75,0.5,0
"balloons","diavolo",1024,1,8,0.75,0.25,0
"balloons","diavolo",1024,1,8,0.75,0.5,0
"balloons","rect",512,1,8,0.75,0.25,0
"balloons","rect",512,1,8,0.75,0.5,0
"balloons","diavolo",512,1,8,0.75,0.25,0
"balloons","diavolo",512,1,8,0.75,0.5,0
"balloons","rect",256,1,8,0.75,0.25,0
"balloons","rect",256,1,8,0.75,0.5,0
"balloons","diavolo",256,1,8,0.75,0.25,0
"balloons","diavolo",256,1,8,0.75,0.5,0
"balloons","diavolo",1024,0.01,4,0.75,0.5,0
"balloons","diavolo",512,0.01,4,1,0.25,0
"balloons","diavolo",256,0.01,4,0.75,0.25,0
"balloons","diavolo",256,0.01,4,0.75,0.5,0
"balloons","diavolo",1024,0.1,4,0.75,0.25,0
"balloons","diavolo",1024,0.1,4,0.75,0.5,0
"balloons","rect",512,0.1,4,0.75,0.5,0
"balloons","diavolo",512,0.1,4,0.75,0.5,0
"balloons","rect",1024,1,4,0.75,0.25,0
"balloons","rect",1024,1,4,0.75,0.5,0
"balloons","diavolo",1024,1,4,0.75,0.25,0
"balloons","diavolo",1024,1,4,0.75,0.5,0
"balloons","rect",512,1,4,0.75,0.5,0
"balloons","diavolo",512,1,4,0.75,0.25,0
"balloons","diavolo",512,1,4,0.75,0.5,0
"balloons","rect",256,1,4,0.75,0.25,0
"balloons","rect",256,1,4,0.75,0.5,0
"balloons","diavolo",256,1,4,0.75,0.25,0
"balloons","diavolo",256,1,4,0.75,0.5,0
"balloons","diavolo",1024,0.1,3,0.75,0.25,0
"balloons","diavolo",1024,0.1,3,0.75,0.5,0
"balloons","diavolo",512,0.1,3,0.75,0.25,0
"balloons","diavolo",512,0.1,3,0.75,0.5,0
"balloons","rect",1024,1,3,0.75,0.25,0
"balloons","rect",1024,1,3,0.75,0.5,0
"balloons","diavolo",1024,1,3,0.75,0.25,0
"balloons","diavolo",1024,1,3,0.75,0.5,0
"balloons","rect",512,1,3,0.25,0.25,0
"balloons","diavolo",512,1,3,0.75,0.25,0
"balloons","diavolo",512,1,3,0.75,0.5,0
"balloons","rect",256,1,3,0.75,0.25,0
"balloons","rect",256,1,3,0.75,0.5,0
"balloons","diavolo",256,1,3,0.75,0.25,0
"balloons","diavolo",256,1,3,0.75,0.5,0
"balloons","diavolo",512,0.1,2,0.75,0.5,0
"balloons","rect",1024,1,2,0.75,0.25,0
"balloons","rect",1024,1,2,0.75,0.5,0
"balloons","diavolo",1024,1,2,0.75,0.25,0
"balloons","diavolo",1024,1,2,0.75,0.5,0
"balloons","rect",512,1,2,0.5,0.5,0
"balloons","diavolo",512,1,2,0.75,0.25,0
"balloons","rect",256,1,2,0.75,0.5,0
"balloons","diavolo",256,1,2,0.75,0.25,0
"balloons","diavolo",256,1,2,0.75,0.5,0
