"dataset","nhidden","nblocks","blockForm","learningrate","valAccuracy","bottleneck","testAccuracy"
"abalone",1024,4,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",1024,4,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,4,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",1024,4,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,4,"rect",1,0.323467254638672,0.25,0.336206912994385
"abalone",512,4,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,4,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",256,4,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",256,4,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",256,4,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",256,4,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,3,"rect",1,0.323467254638672,0.25,0.336206912994385
"abalone",1024,3,"rect",1,0.323467254638672,0.5,0.336206912994385
"abalone",1024,3,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",1024,3,"diavolo",1,0.323467254638672,0.5,0.336206912994385
"abalone",512,3,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",512,3,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,3,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",512,3,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",256,3,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",256,3,"rect",1,0.323467254638672,0.5,0.336206912994385
"abalone",256,3,"diavolo",1,0.323467254638672,0.25,0.336206912994385
"abalone",256,3,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,2,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",1024,2,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",1024,2,"diavolo",1,0.323467254638672,0.25,0.336206883192062
"abalone",1024,2,"diavolo",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,2,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",512,2,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,2,"diavolo",1,0.323467254638672,0.25,0.336206912994385
"abalone",512,2,"diavolo",1,0.323467254638672,0.5,0.336206912994385
"abalone",256,2,"rect",1,0.323467254638672,0.25,0.336206883192062
"abalone",256,2,"rect",1,0.323467254638672,0.5,0.336206883192062
"abalone",512,8,"rect",1,0.323467248678207,0.25,0.336206912994385
