"dataset","learningrate","valAccuracy","blockForm","nblocks","bottleneck","testAccuracy","nhidden"
"teaching",1,0.357142865657806,"rect",3,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"rect",3,0.5,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",3,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",3,0.5,0.315789461135864,256
"teaching",1,0.357142865657806,"rect",2,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",2,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",2,0.25,0.315789461135864,1024
"teaching",1,0.357142865657806,"diavolo",2,0.5,0.315789461135864,1024
"teaching",1,0.357142865657806,"rect",2,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",2,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",2,0.25,0.315789461135864,512
"teaching",1,0.357142865657806,"diavolo",2,0.5,0.315789461135864,512
"teaching",1,0.357142865657806,"rect",2,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"rect",2,0.5,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",2,0.25,0.315789461135864,256
"teaching",1,0.357142865657806,"diavolo",2,0.5,0.315789461135864,256
"teaching",0.1,0.350000008940697,"diavolo",16,0.25,0.315789461135864,1024
"teaching",0.1,0.350000008940697,"diavolo",16,0.5,0.315789461135864,256
"teaching",0.1,0.350000008940697,"diavolo",8,0.5,0.315789461135864,1024
"teaching",0.1,0.350000008940697,"rect",8,0.25,0.315789461135864,512
"teaching",0.1,0.350000008940697,"rect",3,0.5,0.315789461135864,1024
"teaching",0.1,0.342857155203819,"diavolo",8,0.25,0.315789461135864,1024
"teaching",0.1,0.342857152223587,"diavolo",16,0.25,0.368421077728271,512
"teaching",0.1,0.342857152223587,"rect",16,0.5,0.315789461135864,256
"teaching",0.1,0.335714295506477,"rect",4,0.25,0.315789461135864,1024
"teaching",0.1,0.335714295506477,"rect",4,0.5,0.368421077728271,1024
