"dataset","testAccuracy","valAccuracy","learningrate","blockForm","nblocks","bottleneck","nhidden"
"optical",0.0990539938211441,0.0880734018981457,1,"diavolo",3,0.25,256
"optical",0.0990539863705635,0.0880733996629715,1,"rect",2,0.5,256
"optical",0.0990539863705635,0.0878112815320492,1,"diavolo",16,0.25,256
"optical",0.0990539863705635,0.0878112807869911,1,"rect",8,0.5,256
"optical",0.0990539938211441,0.0878112800419331,1,"diavolo",16,0.5,256
"optical",0.0990539863705635,0.0878112800419331,1,"rect",8,0.5,1024
"optical",0.0990539863705635,0.0878112800419331,1,"rect",3,0.25,256
"optical",0.0990539863705635,0.087811279296875,1,"rect",16,0.5,256
"optical",0.0990539863705635,0.087811279296875,1,"rect",8,0.25,512
"optical",0.0990539863705635,0.087811279296875,1,"rect",3,0.25,512
"optical",0.0990539863705635,0.087811279296875,1,"diavolo",3,0.5,512
"optical",0.0990539863705635,0.087811279296875,1,"rect",16,0.5,1024
"optical",0.0990539863705635,0.0878112785518169,1,"rect",16,0.25,256
"optical",0.0990539863705635,0.0878112785518169,1,"diavolo",8,0.25,512
"optical",0.0990539863705635,0.0878112785518169,1,"rect",3,0.5,512
"optical",0.0990539863705635,0.0878112785518169,1,"rect",2,0.25,1024
"optical",0.0990539863705635,0.0878112785518169,1,"rect",2,0.5,512
"optical",0.0990539863705635,0.0878112785518169,1,"diavolo",16,0.25,512
"optical",0.0990539863705635,0.0878112785518169,1,"rect",4,0.25,1024
"optical",0.0990539938211441,0.0878112785518169,1,"diavolo",4,0.25,1024
"optical",0.0990539863705635,0.0878112785518169,1,"diavolo",3,0.5,1024
"optical",0.0990539863705635,0.0878112785518169,1,"rect",2,0.25,256
"optical",0.0990539863705635,0.0878112778067589,0.1,"rect",16,0.25,1024
"optical",0.0990539863705635,0.0878112778067589,1,"diavolo",16,0.25,1024
"optical",0.0990539863705635,0.0878112778067589,1,"diavolo",16,0.5,1024
"optical",0.0990539863705635,0.0878112778067589,1,"rect",16,0.25,512
"optical",0.0990539863705635,0.0878112778067589,1,"rect",8,0.25,1024
"optical",0.0990539863705635,0.0878112778067589,1,"rect",8,0.25,256
"optical",0.0990539863705635,0.0878112778067589,1,"diavolo",8,0.5,256
"optical",0.0990539863705635,0.0878112778067589,1,"rect",4,0.5,1024
"optical",0.0990539863705635,0.0878112778067589,1,"diavolo",4,0.5,1024
"optical",0.0990539863705635,0.0878112778067589,1,"rect",4,0.25,512
"optical",0.0990539938211441,0.0878112778067589,1,"rect",4,0.25,256
"optical",0.0990539863705635,0.0878112778067589,1,"diavolo",4,0.25,256
"optical",0.0990539863705635,0.0878112778067589,1,"diavolo",3,0.25,1024
"optical",0.0990539863705635,0.0878112770617008,1,"diavolo",16,0.5,512
"optical",0.0990539863705635,0.0878112770617008,1,"rect",8,0.5,512
"optical",0.0990539863705635,0.0878112770617008,1,"rect",4,0.5,512
"optical",0.0990539863705635,0.0878112770617008,1,"diavolo",4,0.5,512
"optical",0.0990539938211441,0.0878112770617008,1,"rect",4,0.5,256
"optical",0.0990539863705635,0.0878112770617008,1,"diavolo",4,0.5,256
"optical",0.0990539863705635,0.0878112770617008,1,"rect",3,0.5,256
"optical",0.0990539863705635,0.0878112770617008,1,"rect",2,0.5,1024
"optical",0.0990539938211441,0.0878112770617008,1,"rect",2,0.25,512
"optical",0.0990539938211441,0.0878112763166428,0.1,"rect",16,0.5,1024
"optical",0.0990539938211441,0.0878112763166428,1,"rect",16,0.25,1024
"optical",0.0990539863705635,0.0878112763166428,1,"rect",16,0.5,512
"optical",0.0990539863705635,0.0878112763166428,1,"diavolo",8,0.25,1024
"optical",0.0990539863705635,0.0878112763166428,1,"diavolo",8,0.5,1024
"optical",0.0990539938211441,0.0878112763166428,1,"diavolo",8,0.5,512
"optical",0.0990539863705635,0.0878112763166428,1,"diavolo",8,0.25,256
"optical",0.0990539863705635,0.0878112763166428,1,"diavolo",4,0.25,512
"optical",0.0990539863705635,0.0878112763166428,1,"rect",3,0.25,1024
"optical",0.0990539863705635,0.0878112763166428,1,"rect",3,0.5,1024
"optical",0.0990539863705635,0.0878112763166428,1,"diavolo",2,0.5,1024
