"dataset","testAccuracy","blockForm","nhidden","nblocks","bottleneck","valAccuracy","learningrate"
"chess-krvk",0.816794991493225,"rect",256,16,0.25,0.793206083774567,0.1
"chess-krvk",0.795551717281342,"rect",256,4,0.5,0.793143457174301,0.01
"chess-krvk",0.795979380607605,"diavolo",256,3,0.25,0.792673832178116,0.01
"chess-krvk",0.798260569572449,"rect",512,2,0.5,0.789856052398682,0.01
"chess-krvk",0.794553637504578,"rect",1024,2,0.5,0.789636868238449,0.01
"chess-krvk",0.796977400779724,"rect",256,3,0.25,0.786098974943161,0.01
"chess-krvk",0.784145951271057,"diavolo",256,2,0.25,0.78209148645401,0.01
"chess-krvk",0.794981479644775,"rect",512,2,0.25,0.780651271343231,0.01
"chess-krvk",0.793840885162354,"rect",256,3,0.5,0.780338191986084,0.01
"chess-krvk",0.77131450176239,"rect",256,2,0.5,0.764276856184006,0.01
"chess-krvk",0.771742165088654,"rect",256,2,0.25,0.763525390625,0.01
"chess-krvk",0.563444554805756,"rect",1024,4,0.25,0.564527255296707,0.1
"chess-krvk",0.358568578958511,"diavolo",1024,16,0.5,0.376111462712288,0.1
"chess-krvk",0.286142021417618,"diavolo",512,16,0.5,0.271258616447449,0.01
"chess-krvk",0.287995427846909,"diavolo",1024,16,0.5,0.266781474649906,0.01
"chess-krvk",0.281294524669647,"rect",1024,8,0.25,0.265090803802013,0.01
"chess-krvk",0.245936691761017,"rect",1024,3,0.5,0.260300569236279,0.01
"chess-krvk",0.25548905134201,"rect",1024,16,0.25,0.248371949791908,0.01
"chess-krvk",0.22483603656292,"rect",1024,16,0.5,0.246618668735027,0.01
"chess-krvk",0.0996578186750412,"rect",1024,16,0.25,0.10206638276577,0.1
"chess-krvk",0.0996578186750412,"rect",1024,16,0.5,0.10206638276577,0.1
"chess-krvk",0.0996578186750412,"rect",512,16,0.25,0.10206638276577,0.1
"chess-krvk",0.0996578186750412,"rect",512,16,0.5,0.10206638276577,0.1
"chess-krvk",0.0996578186750412,"rect",1024,16,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,16,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,16,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",512,16,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",512,16,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",512,16,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,16,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,16,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",256,16,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",256,16,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,8,0.25,0.10206638276577,0.1
"chess-krvk",0.0996578186750412,"rect",1024,8,0.5,0.10206638276577,0.1
"chess-krvk",0.0996578186750412,"rect",1024,8,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,8,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,8,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,8,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",512,8,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",512,8,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",256,8,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",256,8,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,4,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,4,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",512,4,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,4,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",256,4,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",256,4,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,3,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",1024,3,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,3,0.25,0.10206638276577,1
"chess-krvk",0.0996578186750412,"diavolo",1024,3,0.5,0.10206638276577,1
"chess-krvk",0.0996578186750412,"rect",512,3,0.25,0.10206638276577,1
