"dataset","blockForm","learningrate","nhidden","valAccuracy","testAccuracy","nblocks","bottleneck"
"thyroid","diavolo",0.1,512,0.958921730518341,0.958576500415802,16,0.25
"thyroid","rect",0.01,256,0.958921724557877,0.95565938949585,2,0.5
"thyroid","rect",0.1,512,0.957894772291183,0.955951035022736,3,0.5
"thyroid","rect",0.1,1024,0.956996190547943,0.959451675415039,3,0.25
"thyroid","diavolo",0.1,256,0.95686782002449,0.958868265151978,3,0.5
"thyroid","diavolo",0.1,256,0.956482696533203,0.958868145942688,2,0.25
"thyroid","diavolo",0.1,1024,0.955969244241714,0.957117915153503,8,0.5
"thyroid","diavolo",0.1,1024,0.955455750226974,0.956534504890442,2,0.5
"thyroid","diavolo",0.1,256,0.95519899725914,0.959159970283508,4,0.5
"thyroid","diavolo",0.1,512,0.954813891649246,0.953909039497375,4,0.5
"thyroid","diavolo",0.1,512,0.954685521125793,0.950700223445892,2,0.5
"thyroid","rect",0.01,512,0.954557144641876,0.950408518314362,16,0.25
"thyroid","diavolo",1,256,0.954428821802139,0.969078242778778,2,0.25
"thyroid","diavolo",0.1,1024,0.953658556938171,0.958284735679626,4,0.5
"thyroid","diavolo",0.1,512,0.953145080804825,0.954492509365082,8,0.5
"thyroid","diavolo",0.1,256,0.953145080804825,0.957409679889679,4,0.25
"thyroid","diavolo",0.1,256,0.952374857664108,0.959159970283508,2,0.5
"thyroid","diavolo",0.1,1024,0.952246516942978,0.957409679889679,4,0.25
"thyroid","diavolo",0.1,512,0.952246487140656,0.951575398445129,3,0.5
"thyroid","diavolo",0.1,512,0.952118116617203,0.955075979232788,4,0.25
"thyroid","diavolo",0.01,512,0.951733022928238,0.950700163841248,2,0.25
"thyroid","rect",0.01,256,0.951476263999939,0.953033924102783,3,0.5
"thyroid","rect",0.01,256,0.951347923278809,0.95390909910202,8,0.5
"thyroid","diavolo",0.1,1024,0.951347917318344,0.954492509365082,3,0.5
"thyroid","diavolo",0.1,1024,0.951347899436951,0.951867043972015,3,0.25
"thyroid","diavolo",0.1,1024,0.95044931769371,0.951283633708954,2,0.25
"thyroid","rect",0.01,256,0.949679136276245,0.95565938949585,2,0.25
"thyroid","diavolo",0.1,512,0.949679094552994,0.948949933052063,8,0.25
"thyroid","diavolo",0.1,512,0.949422359466553,0.950700223445892,3,0.25
"thyroid","rect",0.01,512,0.949294000864029,0.95186710357666,3,0.25
"thyroid","rect",0.01,256,0.949165618419647,0.94982498884201,16,0.5
"thyroid","diavolo",0.1,1024,0.948395377397537,0.95390909910202,8,0.25
"thyroid","rect",0.01,256,0.948267060518265,0.951283693313599,3,0.25
"thyroid","diavolo",0.01,256,0.948138678073883,0.951283693313599,3,0.5
"thyroid","diavolo",0.01,512,0.948010313510895,0.950408458709717,3,0.25
"thyroid","diavolo",0.01,256,0.947368448972702,0.956534504890442,2,0.25
"thyroid","rect",0.01,512,0.947111713886261,0.944282472133636,16,0.5
"thyroid","diavolo",0.01,256,0.946983349323273,0.953617334365845,8,0.5
"thyroid","rect",0.01,256,0.946598261594772,0.950408458709717,16,0.25
"thyroid","rect",0.01,512,0.946598243713379,0.95157527923584,4,0.5
"thyroid","diavolo",0.01,256,0.945956379175186,0.951283633708954,4,0.25
"thyroid","diavolo",0.01,512,0.945956373214722,0.949241638183594,4,0.25
"thyroid","diavolo",0.01,256,0.945571255683899,0.953909039497375,8,0.25
"thyroid","diavolo",0.01,512,0.944929414987564,0.944574177265167,16,0.25
"thyroid","diavolo",0.01,256,0.944544327259064,0.946907877922058,2,0.5
"thyroid","diavolo",0.1,512,0.943774110078812,0.93378072977066,2,0.25
"thyroid","rect",0.01,256,0.942747163772583,0.953034043312073,4,0.5
"thyroid","rect",0.01,512,0.942747163772583,0.944574177265167,3,0.5
"thyroid","rect",0.01,1024,0.94274714589119,0.943407297134399,2,0.25
"thyroid","rect",0.01,256,0.941720205545426,0.944574177265167,4,0.25
"thyroid","rect",0.01,512,0.94120671749115,0.946616172790527,4,0.25
"thyroid","rect",0.01,512,0.940693235397339,0.944865942001343,2,0.5
"thyroid","diavolo",0.01,1024,0.940564876794815,0.946324467658997,16,0.5
"thyroid","rect",0.01,256,0.940564852952957,0.948366522789001,8,0.25
"thyroid","rect",0.01,1024,0.940308129787445,0.947199642658234,2,0.5
"thyroid","rect",0.01,512,0.940051418542862,0.937864780426025,8,0.5
"thyroid","rect",0.01,512,0.939281189441681,0.942532181739807,8,0.25
"thyroid","diavolo",0.01,1024,0.938896071910858,0.940781891345978,8,0.5
"thyroid","rect",0.01,1024,0.938639330863953,0.947783052921295,16,0.25
"thyroid","rect",0.01,1024,0.93825421333313,0.944282531738281,8,0.25
"thyroid","diavolo",0.01,256,0.937484014034271,0.940198481082916,16,0.5
"thyroid","rect",0.01,1024,0.937483978271484,0.944865882396698,8,0.5
"thyroid","diavolo",0.01,256,0.936328685283661,0.939323306083679,16,0.25
"thyroid","rect",0.01,1024,0.936071932315826,0.940490126609802,3,0.5
"thyroid","rect",0.01,1024,0.935301703214645,0.941073596477509,4,0.5
"thyroid","diavolo",0.01,512,0.935173356533051,0.937864661216736,2,0.5
"thyroid","diavolo",0.01,256,0.935045009851456,0.929988443851471,4,0.5
"thyroid","diavolo",0.01,512,0.935044956207276,0.935822725296021,4,0.5
"thyroid","diavolo",0.01,512,0.93491662144661,0.939031541347504,3,0.5
"thyroid","rect",0.01,1024,0.934659856557846,0.939906716346741,3,0.25
"thyroid","rect",0.01,512,0.934659832715988,0.942240476608276,2,0.25
"thyroid","diavolo",0.01,1024,0.934531491994858,0.942240595817566,16,0.25
"thyroid","rect",0.01,1024,0.933761274814606,0.949533343315125,16,0.5
"thyroid","diavolo",0.01,1024,0.933632886409759,0.937281310558319,4,0.5
"thyroid","diavolo",0.01,512,0.933376169204712,0.936697840690613,16,0.5
"thyroid","diavolo",0.01,512,0.932605928182602,0.940198361873627,8,0.25
"thyroid","diavolo",0.01,512,0.930937147140503,0.939323365688324,8,0.5
"thyroid","diavolo",0.01,1024,0.930808758735657,0.9317387342453,2,0.5
"thyroid","diavolo",0.01,256,0.929910206794739,0.932905614376068,3,0.25
"thyroid","diavolo",0.01,1024,0.929396736621857,0.934655904769897,3,0.5
"thyroid","rect",0.01,1024,0.929396718740463,0.940198481082916,4,0.25
"thyroid","diavolo",0.01,1024,0.927984660863876,0.929988443851471,3,0.25
"thyroid","diavolo",0.01,1024,0.927471160888672,0.93348902463913,4,0.25
"thyroid","diavolo",0.01,1024,0.924775391817093,0.929696619510651,2,0.25
"thyroid","diavolo",0.01,1024,0.924647057056427,0.926196098327637,8,0.25
"thyroid","rect",0.1,1024,0.921309441328049,0.927363038063049,8,0.5
"thyroid","diavolo",0.1,1024,0.91912716627121,0.927071273326874,16,0.5
"thyroid","rect",0.1,512,0.919127160310745,0.927071273326874,16,0.25
"thyroid","diavolo",1,256,0.120795901864767,0.0212952177971601,3,0.25
