"dataset","nhidden","testAccuracy","bottleneck","learningrate","valAccuracy","nblocks","blockForm"
"cardiotocography-10clases",512,0.64595103263855,0.25,0.01,0.687190049886704,2,"diavolo"
"cardiotocography-10clases",256,0.636534869670868,0.25,0.01,0.686363595724106,8,"diavolo"
"cardiotocography-10clases",1024,0.661016941070557,0.25,0.01,0.685537171363831,16,"diavolo"
"cardiotocography-10clases",512,0.634651660919189,0.5,0.01,0.681404900550842,2,"diavolo"
"cardiotocography-10clases",512,0.638418078422546,0.5,0.01,0.679338788986206,8,"rect"
"cardiotocography-10clases",1024,0.644067764282227,0.25,0.01,0.676859486103058,3,"diavolo"
"cardiotocography-10clases",1024,0.627118706703186,0.5,0.01,0.668181777000427,3,"diavolo"
"cardiotocography-10clases",1024,0.621468901634216,0.25,0.01,0.665289211273193,4,"diavolo"
"cardiotocography-10clases",1024,0.653483986854553,0.5,0.01,0.663636326789856,3,"rect"
"cardiotocography-10clases",512,0.621468901634216,0.25,0.01,0.659917336702347,8,"diavolo"
"cardiotocography-10clases",512,0.647834300994873,0.25,0.01,0.654958671331406,16,"diavolo"
"cardiotocography-10clases",1024,0.604519784450531,0.5,0.01,0.652892541885376,4,"diavolo"
"cardiotocography-10clases",1024,0.64595103263855,0.25,0.01,0.652892529964447,8,"diavolo"
"cardiotocography-10clases",1024,0.593220353126526,0.5,0.01,0.64421483874321,2,"diavolo"
"cardiotocography-10clases",1024,0.581920921802521,0.5,0.01,0.639256155490875,8,"diavolo"
"cardiotocography-10clases",512,0.621468901634216,0.5,0.01,0.634297496080399,4,"diavolo"
"cardiotocography-10clases",512,0.604519784450531,0.5,0.01,0.63264462351799,4,"rect"
"cardiotocography-10clases",512,0.608286261558533,0.5,0.01,0.631818163394928,3,"diavolo"
"cardiotocography-10clases",1024,0.156308844685555,0.25,0.1,0.202479326725006,8,"rect"
"cardiotocography-10clases",512,0.180790960788727,0.25,1,0.193388420343399,3,"diavolo"
"cardiotocography-10clases",256,0.180790960788727,0.5,1,0.183884288370609,2,"rect"
"cardiotocography-10clases",256,0.180790960788727,0.25,1,0.183884286880493,3,"diavolo"
