"dataset","testAccuracy","nblocks","learningrate","nhidden","blockForm","valAccuracy","bottleneck"
"oocytes_trisopterus_nucleus_2f",0.583333313465118,8,0.01,1024,"diavolo",0.574683547019958,0.25
"oocytes_trisopterus_nucleus_2f",0.587719321250916,4,0.01,256,"diavolo",0.574683547019958,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,0.1,1024,"rect",0.549367094039917,0.5
"oocytes_trisopterus_nucleus_2f",0.535087704658508,8,0.01,256,"diavolo",0.539240527153015,0.5
"oocytes_trisopterus_nucleus_2f",0.543859660625458,3,0.01,1024,"diavolo",0.507594931125641,0.25
"oocytes_trisopterus_nucleus_2f",0.578947365283966,8,0.1,1024,"rect",0.5,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,256,"diavolo",0.483544301986694,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,256,"rect",0.483544301986694,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,512,"diavolo",0.481012660264969,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,16,0.1,512,"rect",0.475949367880821,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,0.1,512,"rect",0.467088609933853,0.5
"oocytes_trisopterus_nucleus_2f",0.421052664518356,4,1,512,"rect",0.467088603973389,0.5
"oocytes_trisopterus_nucleus_2f",0.421052664518356,4,1,512,"diavolo",0.467088603973389,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,1024,"diavolo",0.467088603973389,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,256,"diavolo",0.454430371522904,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,4,1,512,"rect",0.450632905960083,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,4,1,256,"rect",0.450632905960083,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,512,"rect",0.450632905960083,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,256,"diavolo",0.450632905960083,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,2,1,512,"rect",0.450632905960083,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,2,1,256,"diavolo",0.446835434436798,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,1024,"diavolo",0.436708852648735,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,16,0.1,1024,"diavolo",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,0.1,1024,"diavolo",0.434177207946777,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,512,"diavolo",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,4,1,1024,"rect",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,4,1,1024,"rect",0.434177207946777,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,4,1,1024,"diavolo",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,4,1,256,"rect",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,4,1,256,"diavolo",0.434177207946777,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,3,1,1024,"rect",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,3,1,1024,"rect",0.434177207946777,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,256,"rect",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,3,1,256,"rect",0.434177207946777,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,2,1,512,"rect",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,2,1,512,"diavolo",0.434177207946777,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,512,"diavolo",0.434177207946777,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,256,"rect",0.434177207946777,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,512,"diavolo",0.432911384105682,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,512,"diavolo",0.430379739403725,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,0.1,1024,"rect",0.426582270860672,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,1024,"diavolo",0.426582270860672,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,1024,"diavolo",0.422784802317619,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,4,1,1024,"diavolo",0.421518978476524,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,0.1,1024,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,16,1,1024,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,1024,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,16,1,512,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,512,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,512,"diavolo",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,256,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,256,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,16,1,256,"diavolo",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,16,1,256,"diavolo",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,1024,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,8,1,1024,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,8,1,1024,"diavolo",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,8,1,1024,"diavolo",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,512,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,512,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,512,"diavolo",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,256,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,256,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,256,"diavolo",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,8,1,256,"diavolo",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052604913712,4,1,512,"diavolo",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,4,1,256,"diavolo",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052604913712,3,1,1024,"diavolo",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,3,1,512,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,1024,"rect",0.417721509933472,0.25
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,1024,"rect",0.417721509933472,0.5
"oocytes_trisopterus_nucleus_2f",0.421052634716034,2,1,1024,"diavolo",0.417721509933472,0.5
