"dataset","nblocks","bottleneck","learningrate","nhidden","blockForm","testAccuracy","valAccuracy"
"twonorm",3,0.25,0.01,512,"diavolo",0.968108117580414,0.968024790287018
"twonorm",3,0.25,0.01,256,"rect",0.972432494163513,0.96802476644516
"twonorm",2,0.25,0.01,512,"diavolo",0.971351385116577,0.968024742603302
"twonorm",8,0.5,0.1,256,"diavolo",0.973513543605804,0.967901289463043
"twonorm",2,0.25,0.01,1024,"diavolo",0.969729781150818,0.967407459020615
"twonorm",3,0.5,0.01,256,"diavolo",0.965405464172363,0.967160534858704
"twonorm",3,0.5,0.01,1024,"diavolo",0.965405404567719,0.966790181398392
"twonorm",16,0.25,0.1,512,"diavolo",0.97891891002655,0.966419786214828
"twonorm",2,0.25,0.1,256,"diavolo",0.975135087966919,0.966049426794052
"twonorm",16,0.5,0.01,512,"diavolo",0.970270276069641,0.965926003456116
"twonorm",16,0.25,0.01,1024,"rect",0.970270276069641,0.965802538394928
"twonorm",2,0.5,0.01,256,"diavolo",0.968648672103882,0.965802526473999
"twonorm",3,0.25,0.01,1024,"diavolo",0.960000097751617,0.96567907333374
"twonorm",3,0.25,0.1,256,"diavolo",0.969729781150818,0.965555626153946
"twonorm",16,0.25,0.01,256,"rect",0.967027068138123,0.965555626153946
"twonorm",4,0.25,0.01,256,"diavolo",0.970810830593109,0.965185242891312
"twonorm",2,0.25,0.01,256,"diavolo",0.967026948928833,0.96506177186966
"twonorm",8,0.5,0.01,1024,"diavolo",0.964324355125427,0.964938318729401
"twonorm",16,0.25,0.01,512,"rect",0.967567622661591,0.964814871549606
"twonorm",4,0.5,0.01,512,"diavolo",0.964324355125427,0.964567971229553
"twonorm",16,0.25,0.01,1024,"diavolo",0.965405404567719,0.964444494247437
"twonorm",3,0.5,0.01,1024,"rect",0.964324295520782,0.963703787326813
"twonorm",4,0.5,0.01,256,"rect",0.966486513614655,0.963703781366348
"twonorm",16,0.5,0.01,256,"rect",0.969189167022705,0.963333380222321
"twonorm",8,0.25,0.01,1024,"rect",0.96486485004425,0.963209927082062
"twonorm",16,0.5,0.01,512,"rect",0.970270276069641,0.96271613240242
"twonorm",16,0.25,0.01,512,"diavolo",0.963783860206604,0.962716108560562
"twonorm",8,0.25,0.01,1024,"diavolo",0.966486513614655,0.962345749139786
"twonorm",8,0.25,0.01,512,"rect",0.971891939640045,0.962098836898804
"twonorm",8,0.5,0.1,512,"rect",0.97459465265274,0.960493886470795
"twonorm",4,0.5,0.01,1024,"diavolo",0.951891958713531,0.959753161668778
"twonorm",3,0.5,1,1024,"rect",0.500540554523468,0.528395062685013
"twonorm",16,0.25,0.1,1024,"rect",0.500540614128113,0.528395056724548
"twonorm",16,0.5,0.1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.5,0.1,1024,"diavolo",0.500540554523468,0.528395056724548
"twonorm",16,0.25,0.1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.5,0.1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.25,1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.25,1,1024,"diavolo",0.500540614128113,0.528395056724548
"twonorm",16,0.5,1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.5,1,1024,"diavolo",0.500540614128113,0.528395056724548
"twonorm",16,0.25,1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.25,1,512,"diavolo",0.500540554523468,0.528395056724548
"twonorm",16,0.5,1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.5,1,512,"diavolo",0.500540614128113,0.528395056724548
"twonorm",16,0.25,1,256,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.25,1,256,"diavolo",0.500540554523468,0.528395056724548
"twonorm",16,0.5,1,256,"rect",0.500540554523468,0.528395056724548
"twonorm",16,0.5,1,256,"diavolo",0.500540554523468,0.528395056724548
"twonorm",8,0.25,0.1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",8,0.5,0.1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",8,0.25,1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",8,0.25,1,1024,"diavolo",0.500540614128113,0.528395056724548
"twonorm",8,0.5,1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",8,0.5,1,1024,"diavolo",0.500540554523468,0.528395056724548
"twonorm",8,0.25,1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",8,0.25,1,512,"diavolo",0.500540614128113,0.528395056724548
"twonorm",8,0.5,1,512,"rect",0.500540614128113,0.528395056724548
"twonorm",8,0.5,1,512,"diavolo",0.500540554523468,0.528395056724548
"twonorm",8,0.25,1,256,"rect",0.500540614128113,0.528395056724548
"twonorm",8,0.25,1,256,"diavolo",0.500540614128113,0.528395056724548
"twonorm",8,0.5,1,256,"rect",0.500540614128113,0.528395056724548
"twonorm",8,0.5,1,256,"diavolo",0.500540614128113,0.528395056724548
"twonorm",4,0.25,1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",4,0.25,1,1024,"diavolo",0.500540614128113,0.528395056724548
"twonorm",4,0.5,1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",4,0.5,1,1024,"diavolo",0.500540554523468,0.528395056724548
"twonorm",4,0.25,1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",4,0.25,1,512,"diavolo",0.500540614128113,0.528395056724548
"twonorm",4,0.5,1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",4,0.5,1,512,"diavolo",0.500540554523468,0.528395056724548
"twonorm",4,0.25,1,256,"rect",0.500540614128113,0.528395056724548
"twonorm",4,0.25,1,256,"diavolo",0.500540554523468,0.528395056724548
"twonorm",4,0.5,1,256,"rect",0.500540554523468,0.528395056724548
"twonorm",4,0.5,1,256,"diavolo",0.500540554523468,0.528395056724548
"twonorm",3,0.25,1,1024,"rect",0.500540614128113,0.528395056724548
"twonorm",3,0.25,1,1024,"diavolo",0.500540554523468,0.528395056724548
"twonorm",3,0.5,1,1024,"diavolo",0.500540554523468,0.528395056724548
"twonorm",3,0.25,1,512,"rect",0.500540614128113,0.528395056724548
"twonorm",3,0.25,1,512,"diavolo",0.500540614128113,0.528395056724548
"twonorm",3,0.5,1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",3,0.5,1,512,"diavolo",0.500540554523468,0.528395056724548
"twonorm",3,0.25,1,256,"rect",0.500540614128113,0.528395056724548
"twonorm",3,0.25,1,256,"diavolo",0.500540614128113,0.528395056724548
"twonorm",3,0.5,1,256,"rect",0.500540554523468,0.528395056724548
"twonorm",3,0.5,1,256,"diavolo",0.500540554523468,0.528395056724548
"twonorm",2,0.25,1,1024,"rect",0.500540614128113,0.528395056724548
"twonorm",2,0.25,1,1024,"diavolo",0.500540554523468,0.528395056724548
"twonorm",2,0.5,1,1024,"rect",0.500540554523468,0.528395056724548
"twonorm",2,0.5,1,1024,"diavolo",0.500540554523468,0.528395056724548
"twonorm",2,0.25,1,512,"rect",0.500540614128113,0.528395056724548
"twonorm",2,0.25,1,512,"diavolo",0.500540614128113,0.528395056724548
"twonorm",2,0.5,1,512,"rect",0.500540554523468,0.528395056724548
"twonorm",2,0.5,1,512,"diavolo",0.500540614128113,0.528395056724548
"twonorm",2,0.25,1,256,"rect",0.500540554523468,0.528395056724548
"twonorm",2,0.25,1,256,"diavolo",0.500540614128113,0.528395056724548
"twonorm",2,0.5,1,256,"rect",0.500540614128113,0.528395056724548
"twonorm",2,0.5,1,256,"diavolo",0.500540554523468,0.528395056724548
