"dataset","valAccuracy","bottleneck","nhidden","nblocks","blockForm","testAccuracy","learningrate"
"cylinder-bands",0.462711870670319,0.25,512,16,"rect",0.5234375,0.01
"cylinder-bands",0.457627123594284,0.25,512,4,"rect",0.390625,1
"cylinder-bands",0.454237300157547,0.25,1024,8,"diavolo",0.4296875,0.1
"cylinder-bands",0.454237294197083,0.25,1024,16,"diavolo",0.390625,0.1
"cylinder-bands",0.454237294197083,0.25,256,4,"rect",0.390625,1
"cylinder-bands",0.454237294197083,0.25,256,4,"diavolo",0.390625,1
"cylinder-bands",0.454237294197083,0.25,1024,3,"rect",0.390625,1
"cylinder-bands",0.454237294197083,0.25,1024,3,"diavolo",0.390625,1
"cylinder-bands",0.454237294197083,0.25,512,3,"diavolo",0.390625,1
"cylinder-bands",0.454237294197083,0.25,256,3,"rect",0.390625,1
"cylinder-bands",0.454237294197083,0.25,256,3,"diavolo",0.390625,1
"cylinder-bands",0.454237294197083,0.5,256,3,"rect",0.390625,1
"cylinder-bands",0.454237294197083,0.25,1024,2,"rect",0.390625,1
"cylinder-bands",0.454237294197083,0.25,1024,2,"diavolo",0.390625,1
"cylinder-bands",0.454237294197083,0.5,512,2,"rect",0.390625,1
"cylinder-bands",0.454237294197083,0.25,256,2,"rect",0.390625,1
"cylinder-bands",0.450847464799881,0.5,512,8,"diavolo",0.5859375,0.01
"cylinder-bands",0.450847452878952,0.25,1024,16,"diavolo",0.3984375,0.01
"cylinder-bands",0.449152553081512,0.25,256,16,"diavolo",0.390625,0.1
"cylinder-bands",0.449152553081512,0.25,512,8,"diavolo",0.390625,0.1
"cylinder-bands",0.449152553081512,0.25,512,2,"diavolo",0.390625,1
"cylinder-bands",0.442372891306877,0.5,1024,2,"diavolo",0.390625,1
"cylinder-bands",0.440677976608276,0.5,1024,4,"rect",0.390625,1
"cylinder-bands",0.438983058929443,0.25,1024,16,"rect",0.390625,0.1
"cylinder-bands",0.438983058929443,0.5,256,16,"rect",0.390625,0.1
"cylinder-bands",0.438983058929443,0.25,1024,4,"diavolo",0.390625,1
"cylinder-bands",0.438983058929443,0.5,1024,4,"diavolo",0.390625,1
"cylinder-bands",0.438983058929443,0.25,512,4,"diavolo",0.390625,1
"cylinder-bands",0.438983058929443,0.5,512,4,"diavolo",0.390625,1
"cylinder-bands",0.438983058929443,0.5,256,4,"rect",0.390625,1
"cylinder-bands",0.438983058929443,0.5,512,3,"diavolo",0.390625,1
"cylinder-bands",0.438983058929443,0.5,1024,2,"rect",0.390625,1
"cylinder-bands",0.438983058929443,0.25,512,2,"rect",0.390625,1
"cylinder-bands",0.435593229532242,0.5,1024,3,"rect",0.390625,1
"cylinder-bands",0.433898311853409,0.5,256,4,"diavolo",0.390625,1
"cylinder-bands",0.430508482456207,0.5,256,16,"diavolo",0.390625,0.01
"cylinder-bands",0.428813570737839,0.5,1024,8,"diavolo",0.390625,1
"cylinder-bands",0.427118653059006,0.25,512,16,"diavolo",0.390625,1
"cylinder-bands",0.425423738360405,0.5,512,16,"diavolo",0.390625,1
"cylinder-bands",0.425423735380173,0.5,256,16,"diavolo",0.390625,0.1
"cylinder-bands",0.423728823661804,0.5,1024,16,"rect",0.390625,0.1
"cylinder-bands",0.423728823661804,0.25,512,16,"diavolo",0.390625,0.1
"cylinder-bands",0.423728823661804,0.5,512,16,"diavolo",0.390625,0.1
"cylinder-bands",0.423728823661804,0.25,1024,16,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.25,1024,16,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.5,1024,16,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.5,1024,16,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.25,512,16,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.5,512,16,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.25,256,16,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.25,256,16,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.5,256,16,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.5,256,16,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.25,1024,8,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.25,1024,8,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.5,1024,8,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.25,512,8,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.25,512,8,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.5,512,8,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.5,512,8,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.25,256,8,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.25,256,8,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.5,256,8,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.5,256,8,"diavolo",0.390625,1
"cylinder-bands",0.423728823661804,0.25,1024,4,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.5,512,4,"rect",0.390625,1
"cylinder-bands",0.423728823661804,0.5,1024,3,"diavolo",0.390625,1
