"dataset","nblocks","valAccuracy","nhidden","learningrate","bottleneck","testAccuracy","blockForm"
"spambase",3,0.5981818318367,256,1,0.5,0.60608696937561,"diavolo"
"spambase",2,0.5981818318367,512,1,0.25,0.60608696937561,"diavolo"
"spambase",2,0.5981818318367,512,1,0.5,0.60608696937561,"diavolo"
"spambase",4,0.598181825876236,1024,1,0.5,0.60608696937561,"diavolo"
"spambase",4,0.598181825876236,256,1,0.25,0.60608696937561,"rect"
"spambase",4,0.598181825876236,256,1,0.5,0.60608696937561,"rect"
"spambase",3,0.598181825876236,256,1,0.5,0.60608696937561,"rect"
"spambase",4,0.598181819915771,512,1,0.5,0.60608696937561,"diavolo"
"spambase",3,0.598181819915771,256,1,0.25,0.60608696937561,"rect"
"spambase",8,0.598181813955307,512,1,0.5,0.60608696937561,"diavolo"
