"dataset","nblocks","valAccuracy","blockForm","learningrate","testAccuracy","bottleneck","nhidden"
"musk-2",16,0.986069017648697,"diavolo",0.01,0.977562189102173,0.5,1024
"musk-2",2,0.984965568780899,"rect",0.01,0.979987800121307,0.5,256
"musk-2",3,0.984827637672424,"rect",0.01,0.983626425266266,0.25,512
"musk-2",3,0.984413844347,"rect",0.1,0.98726499080658,0.5,1024
"musk-2",4,0.984413844347,"rect",0.01,0.983019948005676,0.5,512
"musk-2",3,0.984275913238525,"diavolo",0.1,0.982413530349731,0.25,1024
"musk-2",4,0.984275913238525,"diavolo",0.01,0.982413649559021,0.25,256
"musk-2",3,0.984000051021576,"diavolo",0.1,0.980594277381897,0.5,1024
"musk-2",2,0.984000051021576,"diavolo",0.1,0.986658573150635,0.5,1024
"musk-2",2,0.983310395479202,"rect",0.1,0.988477826118469,0.5,1024
"musk-2",2,0.982758671045303,"rect",0.01,0.973923623561859,0.25,1024
"musk-2",8,0.982620739936829,"rect",0.01,0.975136458873749,0.25,512
"musk-2",16,0.982620739936829,"diavolo",0.01,0.973317205905914,0.25,512
"musk-2",2,0.982206946611405,"rect",0.01,0.983626425266266,0.5,512
"musk-2",16,0.98179315328598,"rect",0.01,0.969072222709656,0.5,512
"musk-2",4,0.98179315328598,"rect",0.01,0.979987859725952,0.25,512
"musk-2",4,0.981517291069031,"rect",0.01,0.976955771446228,0.5,256
"musk-2",2,0.981517291069031,"diavolo",0.1,0.984232783317566,0.25,1024
"musk-2",3,0.981379359960556,"rect",0.01,0.981807112693787,0.5,512
"musk-2",4,0.981103497743607,"diavolo",0.01,0.975742876529694,0.25,512
"musk-2",4,0.980965566635132,"diavolo",0.1,0.981807172298431,0.25,1024
"musk-2",2,0.980551773309708,"rect",0.01,0.974530041217804,0.5,1024
"musk-2",3,0.980413842201233,"diavolo",0.01,0.97149783372879,0.5,512
"musk-2",8,0.980275911092758,"rect",0.01,0.981807172298431,0.5,256
"musk-2",3,0.980137979984284,"diavolo",0.01,0.978775024414062,0.5,256
"musk-2",2,0.978896600008011,"rect",0.01,0.979381442070007,0.25,512
"musk-2",2,0.978620737791062,"diavolo",0.01,0.978168606758118,0.5,512
"musk-2",16,0.978344875574112,"diavolo",0.01,0.97331714630127,0.5,512
"musk-2",8,0.978344875574112,"rect",0.01,0.982413530349731,0.5,512
"musk-2",2,0.977931082248688,"diavolo",0.01,0.983020007610321,0.5,256
"musk-2",4,0.977793151140213,"diavolo",0.01,0.973923563957214,0.5,512
"musk-2",4,0.977793151140213,"diavolo",0.01,0.972710728645325,0.25,1024
"musk-2",3,0.977655220031738,"rect",0.01,0.984232842922211,0.5,256
"musk-2",3,0.977517288923264,"diavolo",0.01,0.983019948005676,0.25,256
"musk-2",3,0.97682763338089,"rect",0.01,0.97089147567749,0.25,1024
"musk-2",4,0.976689702272415,"rect",0.01,0.981200754642487,0.25,256
"musk-2",16,0.976275908946991,"rect",0.01,0.97331714630127,0.25,256
"musk-2",4,0.975724184513092,"diavolo",0.01,0.975136458873749,0.5,256
"musk-2",8,0.975310391187668,"diavolo",0.01,0.976349353790283,0.25,256
"musk-2",8,0.975172460079193,"rect",0.01,0.97331714630127,0.25,256
"musk-2",16,0.975172460079193,"rect",0.01,0.963007926940918,0.5,256
"musk-2",8,0.974896597862244,"rect",0.01,0.949060022830963,0.25,1024
"musk-2",3,0.974758666753769,"diavolo",0.01,0.981200695037842,0.25,512
"musk-2",16,0.974344873428345,"rect",0.01,0.970285058021545,0.25,512
"musk-2",8,0.97420694231987,"diavolo",0.01,0.97331714630127,0.25,512
"musk-2",16,0.973931080102921,"rect",0.01,0.979987859725952,0.5,1024
"musk-2",16,0.972965562343598,"diavolo",0.01,0.959975779056549,0.25,1024
"musk-2",8,0.972000044584274,"diavolo",0.01,0.967859327793121,0.5,256
"musk-2",2,0.971310389041901,"diavolo",0.01,0.97331714630127,0.25,1024
"musk-2",16,0.971310389041901,"diavolo",0.01,0.974530041217804,0.25,256
"musk-2",8,0.971310389041901,"diavolo",0.01,0.963007926940918,0.5,512
"musk-2",4,0.970482802391052,"rect",0.01,0.97149783372879,0.25,1024
"musk-2",16,0.96924142241478,"diavolo",0.01,0.979987859725952,0.5,256
"musk-2",16,0.968000042438507,"rect",0.01,0.967859387397766,0.25,1024
"musk-2",3,0.966482800245285,"rect",0.01,0.965433597564697,0.5,1024
"musk-2",3,0.966206938028336,"diavolo",0.01,0.97210431098938,0.5,1024
"musk-2",8,0.965931075811386,"rect",0.01,0.967252910137177,0.5,1024
"musk-2",4,0.962620729207993,"rect",0.01,0.961794972419739,0.5,1024
"musk-2",8,0.962482798099518,"diavolo",0.01,0.953911483287811,0.5,1024
"musk-2",2,0.960137969255447,"diavolo",0.01,0.970285058021545,0.5,1024
"musk-2",8,0.955862104892731,"diavolo",0.01,0.94420862197876,0.25,1024
"musk-2",3,0.953931069374085,"diavolo",0.01,0.947847187519073,0.25,1024
"musk-2",4,0.951448309421539,"diavolo",0.01,0.961188554763794,0.5,1024
"musk-2",16,0.831724166870117,"rect",0.1,0.845967233181,0.25,1024
"musk-2",16,0.831724166870117,"rect",0.1,0.845967233181,0.5,1024
"musk-2",16,0.831724166870117,"rect",1,0.845967233181,0.25,1024
"musk-2",16,0.831724166870117,"rect",1,0.845967233181,0.5,1024
"musk-2",16,0.831724166870117,"diavolo",1,0.845967292785645,0.25,1024
"musk-2",16,0.831724166870117,"diavolo",1,0.845967292785645,0.5,1024
"musk-2",16,0.831724166870117,"rect",1,0.845967233181,0.25,512
"musk-2",16,0.831724166870117,"rect",1,0.845967233181,0.5,512
"musk-2",16,0.831724166870117,"diavolo",1,0.845967233181,0.25,512
"musk-2",16,0.831724166870117,"diavolo",1,0.845967233181,0.5,512
"musk-2",16,0.831724166870117,"rect",1,0.845967233181,0.25,256
"musk-2",16,0.831724166870117,"rect",1,0.845967233181,0.5,256
"musk-2",16,0.831724166870117,"diavolo",1,0.845967292785645,0.25,256
"musk-2",16,0.831724166870117,"diavolo",1,0.845967292785645,0.5,256
"musk-2",8,0.831724166870117,"rect",1,0.845967292785645,0.25,1024
"musk-2",8,0.831724166870117,"rect",1,0.845967233181,0.5,1024
"musk-2",8,0.831724166870117,"diavolo",1,0.845967292785645,0.25,1024
"musk-2",8,0.831724166870117,"diavolo",1,0.845967233181,0.5,1024
"musk-2",8,0.831724166870117,"rect",1,0.845967233181,0.25,512
"musk-2",8,0.831724166870117,"rect",1,0.845967233181,0.5,512
"musk-2",8,0.831724166870117,"diavolo",1,0.845967233181,0.25,512
"musk-2",8,0.831724166870117,"diavolo",1,0.845967292785645,0.5,512
"musk-2",8,0.831724166870117,"rect",1,0.845967233181,0.25,256
"musk-2",8,0.831724166870117,"rect",1,0.845967233181,0.5,256
"musk-2",8,0.831724166870117,"diavolo",1,0.845967233181,0.25,256
"musk-2",8,0.831724166870117,"diavolo",1,0.845967233181,0.5,256
"musk-2",4,0.831724166870117,"rect",1,0.845967292785645,0.25,1024
"musk-2",4,0.831724166870117,"rect",1,0.845967233181,0.5,1024
"musk-2",4,0.831724166870117,"diavolo",1,0.845967292785645,0.25,1024
"musk-2",4,0.831724166870117,"diavolo",1,0.845967233181,0.5,1024
"musk-2",4,0.831724166870117,"rect",1,0.845967233181,0.25,512
"musk-2",4,0.831724166870117,"rect",1,0.845967233181,0.5,512
"musk-2",4,0.831724166870117,"diavolo",1,0.845967233181,0.25,512
"musk-2",4,0.831724166870117,"diavolo",1,0.845967233181,0.5,512
"musk-2",4,0.831724166870117,"rect",1,0.845967292785645,0.25,256
"musk-2",4,0.831724166870117,"rect",1,0.845967233181,0.5,256
"musk-2",4,0.831724166870117,"diavolo",1,0.845967233181,0.25,256
"musk-2",4,0.831724166870117,"diavolo",1,0.845967233181,0.5,256
"musk-2",3,0.831724166870117,"rect",1,0.845967233181,0.25,1024
"musk-2",3,0.831724166870117,"rect",1,0.845967292785645,0.5,1024
"musk-2",3,0.831724166870117,"diavolo",1,0.845967233181,0.25,1024
"musk-2",3,0.831724166870117,"diavolo",1,0.845967233181,0.5,1024
"musk-2",3,0.831724166870117,"rect",1,0.845967233181,0.25,512
"musk-2",3,0.831724166870117,"rect",1,0.845967233181,0.5,512
"musk-2",3,0.831724166870117,"diavolo",1,0.845967233181,0.25,512
"musk-2",3,0.831724166870117,"diavolo",1,0.845967233181,0.5,512
"musk-2",3,0.831724166870117,"rect",1,0.845967292785645,0.25,256
"musk-2",3,0.831724166870117,"rect",1,0.845967233181,0.5,256
"musk-2",3,0.831724166870117,"diavolo",1,0.845967233181,0.25,256
"musk-2",3,0.831724166870117,"diavolo",1,0.845967292785645,0.5,256
"musk-2",2,0.831724166870117,"rect",1,0.845967292785645,0.25,1024
"musk-2",2,0.831724166870117,"rect",1,0.845967233181,0.5,1024
"musk-2",2,0.831724166870117,"diavolo",1,0.845967292785645,0.25,1024
"musk-2",2,0.831724166870117,"diavolo",1,0.845967292785645,0.5,1024
"musk-2",2,0.831724166870117,"rect",1,0.845967233181,0.25,512
"musk-2",2,0.831724166870117,"rect",1,0.845967233181,0.5,512
"musk-2",2,0.831724166870117,"diavolo",1,0.845967292785645,0.25,512
"musk-2",2,0.831724166870117,"diavolo",1,0.845967292785645,0.5,512
"musk-2",2,0.831724166870117,"rect",1,0.845967233181,0.25,256
"musk-2",2,0.831724166870117,"rect",1,0.845967233181,0.5,256
"musk-2",2,0.831724166870117,"diavolo",1,0.845967233181,0.25,256
"musk-2",2,0.831724166870117,"diavolo",1,0.845967233181,0.5,256
