"dataset","nhidden","blockForm","testAccuracy","bottleneck","learningrate","nblocks","valAccuracy"
"plant-shape",1024,"diavolo",0.389999985694885,0.25,0.1,3,0.389024367928505
"plant-shape",256,"diavolo",0.375,0.25,0.1,8,0.379268285632133
"plant-shape",256,"diavolo",0.347499996423721,0.25,0.1,2,0.371341452002525
"plant-shape",512,"diavolo",0.360000014305115,0.5,0.1,8,0.364634129405022
"plant-shape",1024,"diavolo",0.28999999165535,0.25,0.1,2,0.362804868817329
"plant-shape",256,"rect",0.262499988079071,0.5,0.01,4,0.314024379849434
"plant-shape",256,"diavolo",0.365000009536743,0.5,0.1,8,0.304878038167954
"plant-shape",256,"rect",0.297499984502792,0.25,0.01,2,0.301829254627228
"plant-shape",512,"diavolo",0.287499994039536,0.25,0.01,16,0.289634129405022
"plant-shape",512,"rect",0.284999996423721,0.25,0.01,16,0.287195116281509
"plant-shape",256,"rect",0.262499988079071,0.5,0.01,16,0.279268270730972
"plant-shape",256,"rect",0.262499988079071,0.25,0.01,3,0.277439007163048
"plant-shape",256,"rect",0.284999996423721,0.5,0.01,3,0.275609755516052
"plant-shape",256,"rect",0.284999966621399,0.25,0.01,4,0.27317071557045
"plant-shape",1024,"rect",0.307500004768372,0.5,0.01,16,0.269512192904949
"plant-shape",256,"diavolo",0.22749999165535,0.5,0.01,2,0.260365843772888
"plant-shape",1024,"rect",0.269999980926514,0.25,0.01,2,0.249390232563019
"plant-shape",256,"rect",0.22749999165535,0.5,0.01,2,0.245731697976589
"plant-shape",512,"rect",0.274999976158142,0.25,0.01,3,0.2341463342309
"plant-shape",512,"rect",0.269999980926514,0.5,0.01,16,0.231707301735878
"plant-shape",256,"diavolo",0.269999980926514,0.25,0.01,8,0.229268282651901
"plant-shape",512,"rect",0.252499997615814,0.25,0.01,8,0.228658527135849
"plant-shape",512,"rect",0.267499983310699,0.5,0.01,4,0.224999991059303
"plant-shape",1024,"diavolo",0.202499985694885,0.5,0.01,16,0.224390237033367
"plant-shape",256,"diavolo",0.292499989271164,0.5,0.01,8,0.215243896842003
"plant-shape",1024,"diavolo",0.232499986886978,0.25,0.1,16,0.214634138345718
"plant-shape",256,"diavolo",0.247500002384186,0.25,0.01,16,0.213414625823498
"plant-shape",1024,"rect",0.267499983310699,0.25,0.01,16,0.210975600779057
"plant-shape",512,"diavolo",0.219999998807907,0.25,0.01,3,0.206097549200058
"plant-shape",512,"diavolo",0.252499997615814,0.5,0.01,16,0.205487802624702
"plant-shape",512,"rect",0.267499983310699,0.25,0.01,4,0.204268282651901
"plant-shape",512,"rect",0.224999994039536,0.5,0.01,3,0.203048773109913
"plant-shape",1024,"rect",0.22749999165535,0.25,0.01,8,0.195121940970421
"plant-shape",256,"diavolo",0.142499983310699,0.5,0.01,3,0.194512186944485
"plant-shape",1024,"rect",0.197499990463257,0.5,0.01,8,0.185975603759289
"plant-shape",256,"diavolo",0.234999999403954,0.25,0.01,4,0.185365843772888
"plant-shape",512,"diavolo",0.187499985098839,0.25,0.01,2,0.182317067682743
"plant-shape",512,"rect",0.214999988675117,0.5,0.01,8,0.182317064702511
"plant-shape",256,"diavolo",0.230000004172325,0.5,0.01,16,0.178048774600029
"plant-shape",1024,"diavolo",0.202500000596046,0.25,0.01,16,0.176219503581524
"plant-shape",512,"rect",0.197499990463257,0.5,0.01,2,0.174999998509884
"plant-shape",1024,"rect",0.199999988079071,0.5,0.01,4,0.174999992549419
"plant-shape",512,"diavolo",0.169999986886978,0.5,0.01,3,0.167073164880276
"plant-shape",1024,"rect",0.204999983310699,0.5,0.01,2,0.16036584675312
"plant-shape",1024,"rect",0.159999996423721,0.25,0.01,3,0.160365843772888
"plant-shape",512,"diavolo",0.224999994039536,0.25,0.01,4,0.1597560942173
"plant-shape",1024,"rect",0.177499994635582,0.5,0.01,3,0.159146337211132
"plant-shape",512,"rect",0.154999986290932,0.25,0.01,2,0.156707310676575
"plant-shape",1024,"diavolo",0.224999994039536,0.5,0.01,8,0.15548779964447
"plant-shape",512,"diavolo",0.179999992251396,0.5,0.01,2,0.15548779964447
"plant-shape",1024,"diavolo",0.142499998211861,0.25,0.01,2,0.149999988079071
"plant-shape",512,"diavolo",0.197499990463257,0.5,0.01,8,0.148780483007431
"plant-shape",1024,"diavolo",0.162499994039536,0.25,0.01,8,0.144512192904949
"plant-shape",1024,"diavolo",0.122499987483025,0.5,0.01,3,0.143292680382729
"plant-shape",1024,"diavolo",0.127499997615814,0.5,0.01,2,0.141463406383991
"plant-shape",1024,"diavolo",0.140000000596046,0.25,0.01,3,0.140853646397591
"plant-shape",512,"diavolo",0.189999982714653,0.25,0.01,8,0.139024384319782
"plant-shape",1024,"rect",0.180000007152557,0.25,0.01,4,0.13841462880373
"plant-shape",256,"diavolo",0.152500003576279,0.5,0.01,4,0.135365849733353
"plant-shape",1024,"diavolo",0.135000005364418,0.25,0.01,4,0.124999995529652
"plant-shape",256,"diavolo",0.0674999952316284,0.25,0.01,3,0.100609753280878
"plant-shape",1024,"diavolo",0.125,0.5,0.01,4,0.0957317039370537
"plant-shape",256,"diavolo",0.0849999934434891,0.25,0.01,2,0.0926829241216183
"plant-shape",512,"diavolo",0.0975000038743019,0.5,0.01,4,0.079878044873476
"plant-shape",512,"rect",0.10249999165535,0.5,0.1,3,0.0743902392685413
"plant-shape",256,"rect",0.0625,0.5,0.01,8,0.0396341441199183
"plant-shape",256,"rect",0.0424999967217445,0.25,0.01,8,0.0335365841165185
"plant-shape",256,"diavolo",0.0524999983608723,0.25,0.1,16,0.026219511218369
"plant-shape",1024,"diavolo",0.00999999977648258,0.5,0.1,16,0.0256097551435232
"plant-shape",256,"rect",0.0124999992549419,0.5,0.1,8,0.0207317065447569
"plant-shape",256,"rect",0.0449999943375587,0.25,0.1,16,0.0195121942088008
"plant-shape",256,"rect",0.0124999992549419,0.25,0.01,16,0.0158536579459906
"plant-shape",1024,"diavolo",0.0350000001490116,0.5,0.1,8,0.0152439018711448
"plant-shape",512,"diavolo",0.0199999995529652,0.5,0.1,16,0.01158536542207
"plant-shape",512,"diavolo",0.00999999977648258,0.25,0.1,16,0.0109756093472242
"plant-shape",256,"rect",0.0124999992549419,0.5,0.1,16,0.0109756093472242
"plant-shape",512,"rect",0.00999999977648258,0.5,0.1,16,0.0103658532723784
"plant-shape",1024,"rect",0.00999999977648258,0.25,0.1,8,0.00914634112268686
"plant-shape",256,"diavolo",0.00999999977648258,0.25,1,3,0.00853658504784107
"plant-shape",1024,"rect",0.00999999977648258,0.5,0.1,8,0.00792682897299528
"plant-shape",512,"diavolo",0.00999999977648258,0.25,1,3,0.00792682897299528
"plant-shape",256,"diavolo",0.00999999977648258,0.5,1,2,0.00792682897299528
"plant-shape",512,"rect",0.00999999977648258,0.25,0.1,16,0.00731707289814949
"plant-shape",1024,"rect",0.00999999977648258,0.5,0.1,16,0.00731707289814949
"plant-shape",256,"diavolo",0.00999999977648258,0.5,0.1,16,0.00731707289814949
"plant-shape",256,"diavolo",0.00999999977648258,0.25,1,4,0.00731707289814949
"plant-shape",1024,"diavolo",0.00999999977648258,0.5,1,3,0.00731707289814949
"plant-shape",256,"rect",0.00999999977648258,0.25,1,3,0.00731707289814949
"plant-shape",256,"diavolo",0.00999999977648258,0.5,1,3,0.00731707289814949
"plant-shape",1024,"diavolo",0.00999999977648258,0.5,1,2,0.00731707289814949
"plant-shape",512,"diavolo",0.00999999977648258,0.5,1,2,0.00731707289814949
"plant-shape",256,"diavolo",0.00999999977648258,0.25,1,2,0.00731707289814949
"plant-shape",1024,"diavolo",0.00999999977648258,0.5,1,4,0.0067073168233037
"plant-shape",1024,"rect",0.00999999977648258,0.25,1,3,0.0067073168233037
"plant-shape",512,"rect",0.00999999977648258,0.25,1,3,0.0067073168233037
"plant-shape",512,"rect",0.00999999977648258,0.5,1,3,0.0067073168233037
"plant-shape",256,"rect",0.00999999977648258,0.5,1,3,0.0067073168233037
"plant-shape",256,"rect",0.00999999977648258,0.25,1,2,0.0067073168233037
"plant-shape",256,"rect",0.00999999977648258,0.5,1,2,0.0067073168233037
"plant-shape",1024,"rect",0.00999999977648258,0.25,0.1,16,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.25,1,16,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.5,1,16,0.00609756074845791
"plant-shape",1024,"diavolo",0.00999999977648258,0.25,1,16,0.00609756074845791
"plant-shape",1024,"diavolo",0.00999999977648258,0.5,1,16,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.25,1,16,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.5,1,16,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.25,1,16,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.5,1,16,0.00609756074845791
"plant-shape",256,"rect",0.00999999977648258,0.25,1,16,0.00609756074845791
"plant-shape",256,"rect",0.00999999977648258,0.5,1,16,0.00609756074845791
"plant-shape",256,"diavolo",0.00999999977648258,0.25,1,16,0.00609756074845791
"plant-shape",256,"diavolo",0.00999999977648258,0.5,1,16,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.25,1,8,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.5,1,8,0.00609756074845791
"plant-shape",1024,"diavolo",0.00999999977648258,0.25,1,8,0.00609756074845791
"plant-shape",1024,"diavolo",0.00999999977648258,0.5,1,8,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.25,1,8,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.5,1,8,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.25,1,8,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.5,1,8,0.00609756074845791
"plant-shape",256,"rect",0.00999999977648258,0.25,1,8,0.00609756074845791
"plant-shape",256,"rect",0.00999999977648258,0.5,1,8,0.00609756074845791
"plant-shape",256,"diavolo",0.00999999977648258,0.25,1,8,0.00609756074845791
"plant-shape",256,"diavolo",0.00999999977648258,0.5,1,8,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.25,1,4,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.5,1,4,0.00609756074845791
"plant-shape",1024,"diavolo",0.00999999977648258,0.25,1,4,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.25,1,4,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.5,1,4,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.25,1,4,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.5,1,4,0.00609756074845791
"plant-shape",256,"rect",0.00999999977648258,0.25,1,4,0.00609756074845791
"plant-shape",256,"rect",0.00999999977648258,0.5,1,4,0.00609756074845791
"plant-shape",256,"diavolo",0.00999999977648258,0.5,1,4,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.5,1,3,0.00609756074845791
"plant-shape",1024,"diavolo",0.00999999977648258,0.25,1,3,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.5,1,3,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.25,1,2,0.00609756074845791
"plant-shape",1024,"rect",0.00999999977648258,0.5,1,2,0.00609756074845791
"plant-shape",1024,"diavolo",0.00999999977648258,0.25,1,2,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.25,1,2,0.00609756074845791
"plant-shape",512,"rect",0.00999999977648258,0.5,1,2,0.00609756074845791
"plant-shape",512,"diavolo",0.00999999977648258,0.25,1,2,0.00609756074845791
