"dataset","nhidden","nblocks","valAccuracy","blockForm","testAccuracy","learningrate","bottleneck"
"ilpd-indian-liver",512,2,0.720634996891022,"rect",0.698630154132843,0.01,0.25
"ilpd-indian-liver",512,3,0.71746039390564,"rect",0.66438353061676,0.01,0.5
"ilpd-indian-liver",1024,4,0.715873092412949,"rect",0.698630154132843,0.01,0.25
"ilpd-indian-liver",256,3,0.715873092412948,"rect",0.623287677764893,0.01,0.25
"ilpd-indian-liver",256,3,0.715873092412948,"diavolo",0.712328732013702,0.01,0.5
"ilpd-indian-liver",256,3,0.715873092412948,"diavolo",0.719178020954132,0.1,0.25
"ilpd-indian-liver",256,3,0.715873092412948,"diavolo",0.705479443073273,0.1,0.5
"ilpd-indian-liver",1024,2,0.715873092412948,"diavolo",0.657534241676331,0.01,0.5
"ilpd-indian-liver",512,2,0.714285790920258,"diavolo",0.705479502677917,0.1,0.25
"ilpd-indian-liver",1024,16,0.714285790920257,"rect",0.719178020954132,0.01,0.25
"ilpd-indian-liver",1024,16,0.714285790920257,"rect",0.719178080558777,0.01,0.5
"ilpd-indian-liver",512,16,0.714285790920257,"rect",0.719178080558777,0.01,0.25
"ilpd-indian-liver",512,16,0.714285790920257,"rect",0.719178020954132,0.01,0.5
"ilpd-indian-liver",512,16,0.714285790920257,"diavolo",0.719178020954132,0.01,0.5
"ilpd-indian-liver",256,16,0.714285790920257,"diavolo",0.719178080558777,0.01,0.25
"ilpd-indian-liver",1024,16,0.714285790920257,"rect",0.719178020954132,0.1,0.25
"ilpd-indian-liver",1024,16,0.714285790920257,"rect",0.719178080558777,0.1,0.5
"ilpd-indian-liver",1024,16,0.714285790920257,"diavolo",0.719178020954132,0.1,0.25
"ilpd-indian-liver",512,16,0.714285790920257,"rect",0.719178080558777,0.1,0.25
"ilpd-indian-liver",512,16,0.714285790920257,"rect",0.719178080558777,0.1,0.5
"ilpd-indian-liver",512,16,0.714285790920257,"diavolo",0.719178020954132,0.1,0.25
"ilpd-indian-liver",512,16,0.714285790920257,"diavolo",0.719178080558777,0.1,0.5
"ilpd-indian-liver",256,16,0.714285790920257,"rect",0.719178080558777,0.1,0.25
"ilpd-indian-liver",256,16,0.714285790920257,"rect",0.719178080558777,0.1,0.5
"ilpd-indian-liver",256,16,0.714285790920257,"diavolo",0.719178020954132,0.1,0.5
"ilpd-indian-liver",1024,16,0.714285790920257,"rect",0.719178020954132,1,0.25
"ilpd-indian-liver",1024,16,0.714285790920257,"rect",0.719178020954132,1,0.5
"ilpd-indian-liver",1024,16,0.714285790920257,"diavolo",0.719178020954132,1,0.25
"ilpd-indian-liver",1024,16,0.714285790920257,"diavolo",0.719178020954132,1,0.5
"ilpd-indian-liver",512,16,0.714285790920257,"rect",0.719178080558777,1,0.25
"ilpd-indian-liver",512,16,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",512,16,0.714285790920257,"diavolo",0.719178020954132,1,0.25
"ilpd-indian-liver",512,16,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",256,16,0.714285790920257,"rect",0.719178020954132,1,0.25
"ilpd-indian-liver",256,16,0.714285790920257,"rect",0.719178080558777,1,0.5
"ilpd-indian-liver",256,16,0.714285790920257,"diavolo",0.719178020954132,1,0.25
"ilpd-indian-liver",256,16,0.714285790920257,"diavolo",0.719178080558777,1,0.5
"ilpd-indian-liver",1024,8,0.714285790920257,"diavolo",0.719178080558777,0.01,0.25
